title,type,address,unclear.address,city,state,description,stars,star.type,mentions.race,mentions.disability,notes
Austin Lesbian/Gay Political Caucus,Group,,checked,Austin,TX,Tel. 474 2717.,,Organizations,,,PO Box 822 78767
Boathouse Bar,Bars,407 Colorado St,,Austin,TX, Tel. 474 9667.,**,"Bars, Clubs, Coffeehouses",checked,,
Metropolitan Community Church,Religious Groups,,checked,Austin,TX,"Tel. 443 3332. The Christian Church with an
outreach to the gay community. Social as well as religious activities plus counselling and
referrals. Services 2pm Sun, 7 .30pm Weds.",,,,,
Connections,Publication,2330 Guadalupe,,Austin,TX,Tel. 474 1660 or 472 0018. Gay newspaper $9.00 per year,,,,,
Houston Guest House,Personal Contacts/Housing,106 Avendale,,Austin,TX,"Tel. 520 9767. A small, all gay hotel in a fine
old mansion. It's near the women's bars, has a swimming pool. Where the world meets
Houston'. Very, very highly recommended. Be sure to say hi from GAIA to your host, Rick.
Rooms with baths $40, rooms with shared baths $30. Reservations advised. (May change
hands, may change completely).",,,,,
Womanspace,Organization,2330 Guadalupe,,Austin,TX,"Tel. 472 3053. Social and political activities, counselings
and referrals service, including bar info, plus lesbian mothers group.",****(*),Organizations,,,
Metro Times,Publication,,checked,Dallas,TX,Tel. 528 9944 (taped message).,,,,,PO Box 225914
Gayline,Service,,checked,Dallas,TX,Tel. 748 6790 7.30pm-12am 7 days. Serves Dallas and Fort Worth.,,,,,
Sassi's,Bars,4516 McKinney,,Dallas,TX,Tel. 5269328.,****,"Bars, Clubs, Coffeehouses",,,
High Country,Bars,3121 Inwood Rd,,Dallas,TX, Tel. 351 2278.,****,"Bars, Clubs, Coffeehouses",,,
Metropolitan Community Church,Religious Groups,2701 Reagan St ,,Dallas,TX,Tel. 526 6221.,,,,,
Old Plantation,Bars,3911 Cedar Springs Rd ,,Dallas,TX, Tel. 526 5590,**,"Bars, Clubs, Coffeehouses",,,
Jugs,Bars,2812 North Henderson Ave,,Dallas,TX, Tel. 823 0746.,****,"Bars, Clubs, Coffeehouses",,,
Gala,Bars,1006 Arizona No 6,,El Paso,TX,Tel. 542-1197/544 7475,*,"Bars, Clubs, Coffeehouses",,,
Dignity,Bars,,checked,El Paso,TX,"Tel. 779 0293. Gay Catholics and their friends participating in
political, social and religious services together. ",,,,,PO Box 26523
El Rancho Vista,Hotel/Motel,,checked,Glenrose,TX,Tel. 897 4982/8974 972.,,,,,PO Box 245 76043
Gay Resource Services,Service,,checked,Houston,TX,"Tel. 7493 489.  All people
who are sympathetic to the gay rights cause are invited to attend and contribute to our meetings
",,,,,PO Box 309 University of Houston 7704
The Twins,Bars,535a Westheimer Rd,,Houston,TX,"Tel. 520 0244. Disco. Good dancing,
intimate atmosphere, special nights. Open 8pm-2am, Fri-Sat til 4am. Closed Mon & Tues,
very highly recommended.",****,"Bars, Clubs, Coffeehouses",,,
Steak N Eggs,Restaurant,4321 Montrose,,Houston,TX,"Tel. 528 8135. Open 24 hours a day, 7 days a week. Cheap
food. Gay owned and operated. Recommended.",*,Restaurants,,,
Wilde'n'stein Books,Bookstores,802 Westheimer,,Houston,TX,"Tel. 529 7014. A very well established gay
bookstore. Texas gay archives. Records/buttons/posters/magazines/T shirts. Bulletin board,
referral services and GAIA'S GUIDE. Open 11am-7pm Mon-Sat.",,,,,
Kindred Spirits,Bars,5245 Buffalo Speedway,,Houston,TX,"Tel. 665 9756. Mellow bar, community-minded, predominantly lesbian, never a cover charge. Happy hour 4.00-7.00pm, free live
entertainment 5.30pm-8.30pm, Very comfortable relaxed atmosphere, nice interior. (Ample lighted parking, nightly security). DJ Thurs-Sun 8pm-2am. Very, very highly recommended.",****,"Bars, Clubs, Coffeehouses",,,
Women's Info Referral ,Service,,checked,Houston,TX,"Tel. 792 4664 or 528 2121. Resources for lesbians,i includingbar info. Operates 9am-9pm Mon-Sat.",,,,,
The King Frederik Hotel on the Beach,Hotel/Motel,,checked,Saint Croix,Virgin Islands,"Direct dial (809) 772 1205. Small hotel with 22 units and 2 beach front homes. Maximum
privacy, personalized service, friendly atmosphere. Outdoor balconies. The hotel is surrounded
by tropical foliage and immaculate grounds. The patio, bar, and fresh water pool are steps
away from emerald blue Caribbean. KING FREDERIK is our home and we.take the utmost
pride and pleasure in operating a 1st class resort hotel. Prices from $32-54. No children
allowed. Clientele: gay women, gay men and a few others.",,,,,PO Box 1908 Frederiksted 00840.
Andrews Inn,Resort,,checked,Bellows Falls,VT,"Tel. 463 3966. Hotel/resort, bar, disco, shops, coffee
shop, gourmet dining room. Conference facilities. Clientele: gay women and men. Friday
night in the downstairs lounge is women only. However, the comment has also been made
'the people are very nice but the ambience is that of a male pick-up place-very stark- not at
all homey",,,,,
The Safari,Bars,,checked,St Thomas,Virgin Islands,,**,"Bars, Clubs, Coffeehouses",,,
The Open Closet,Publication,,checked,Brattleboro,VT,No Phone Listing. from Southern Vermont Lesbians/Gay Men's Coalition,,,,,"P O Box 1034;
05301."
Common Ground,Coffeehouse,25 Elliot S,,Brattleboro,VT,Tel. 257 0855. Excellent source of local informat10n,,,,,
Book Stacks Inc,Bookstores,118 Pine St,,Burlington,VT,"Tel. 862 8513. Alternative book store with gay/
lesbian and women's titles. MAIL ORDERS SERVICE. Gallery space, bulletin board, reading
tables. Coffee/tea are served. 'We sell GAIA'S GUIDE'.",,,,,
Gay Student Union,Group,,checked,Burlington,VT,"Tel. 656 4173. Gay
Hotline Monday-Friday7-9pm. Dances, meetings, other activities etc.",*,Organizations,,,
Bailey's Music,Records/Music,88 Church St,,Burlington,VT,"Tel. 863 3210. Complete up to date selection of Women's
Music. Special orders at no extra charge.",,,,,
Vermont Women's Health Center,Centers,336 North Ave,,Burlington,VT,"Tel. 8631386. Counseling
for gay women and men. General gym. PMS counseling",,,,,
Inwood Manor,,,checked,East Barnet,VT,"Tel. 633 4047. Head for the hills! Relax and enjoy the splendor of the
countryside. Country Inn. Bar and restaurant. Gay clientele. Very much in touch with the local
gay community.",,,,,
Central Vermont Gays,,,checked,Montpelier,VT,"No Phone Listing. Male membership. Newsletter.I n contact
with lesbian groups in area.",,,,,P O Box 1264; 05602
Charlottesville Lesbian/Feminists Organization,Group,,checked,Charlottesville,VI,"No Phone Listing. Sponsors social events such as dances, picnics, and volleyball games. Encourages local
political participation and sponsors the annual weekend lesbian conference. Very friendly and
helpful women",**,Organizations,,,"CLFO PO Box 3 2962
2903"
Shirley's,Bar/Restuarant,811 Colley Ave,,Norfolk,VI,"Tel. 625 8828. Small, intimate beer and wine bar. Sometimes a full liquor license-also a restaurant, is open 24 hours. On weekends, it's women singers and DJ/disco.
'Not just a lady's place - a women's space.' A very, very highly recommended community
minded bar. 'Great breakfasts - full menu.'",****,"Bars, Clubs, Coffeehouses",,,
Dignity/Tidewater,Religious Groups,,checked,Norfolk,VI,Tel. 489 4075 or 623 3120 or 622 1636.,,,,,PO Box 434 23501
Gay Information Line,Service,,checked,Norfolk,VI,"Tel. 6251130. Information, counseling, referrals service.",,,,,
The Cue,Bars,4601 Killam Street,,Norfolk,VI,"Tel. 625 1130. Bar/restaurant show bar. Sunday buffet and
weekly drag shows. Beer, wine, and mixed drinks. Plush atmosphere, a great disco. Highly
recommended. Clientele: 50% gay women.",**,"Bars, Clubs, Coffeehouses",,,
Norfolk Women's Space,Group,408 Elmshurst Lane,,Norfolk,VI,Tel. 465 0960,**,Organizations,,,
The Late Show,Bars,113 East Princess Anne Road,,Norfolk,VI,"Tel. 625 8797 or 625 8965. An after hours
club with private membership. At least 50% gay women.",***,"Bars, Clubs, Coffeehouses",,,
The Park,Bar/Restuarant,615 Salem Ave SW,checked,Richmond,VI,"Tel. 342 0946.
Dancing/pool tables and other games. Community benefit nights, special women's nights.
It's a private club but you can get in with a copy of GAIA'S GUIDE plus valid ID. Closed on
certain nights, so ring up first !answering machine with current times, etc). They sell GAIA'S
GUIDE.",***,"Bars, Clubs, Coffeehouses",,,PO Box 1061
Cary Towne Inn,Bars,3028 West Cary St,,Richmond,VI,"Tel. 355 9963. Women's bar. DJ's 7 nights a week.
Drag show, Sunday nights. Restaurant during day. Bar after Bpm. Hard liquor.",****,"Bars, Clubs, Coffeehouses",,,
Upstairs Lounge,Bars,,checked,Richmond,VI,Tel. 355 0549. Exact address unknown.,**,"Bars, Clubs, Coffeehouses",,,
Cause Celebre,Restaurant,524 15th East Lake Avenue ,,Seattle,WA,Tel. 322 1057.,*,Restaurants,,,
Storefront Press,Printing,514 E Pine,,Seattle,WA,Tel. 322-3150. Quality printing by a worker-run collective.,,,,,
Red & Black,Bookstores,524 15th East Lake Ave East,,Seattle,WA,"Tel. 322 READ (322 7323) Open 7 days a week,
10am-10pm. Gay, lesbian and feminist books. Collectively run. They sell GAIA'S GUIDE",,,,,
Foxes,Bar/Restuarant,233 Westlake Avenue N,,Seattle,WA,"Tel. 682 0389. Gay owned and operated. The
food is reasonable and excellent. Open 11 a m-2amd daily.",****,"Bars, Clubs, Coffeehouses",,,
Lesbian Separatist Potluck Brunches,Group,,checked,Seattle,WA,Tel. 632-3829 (for information). 1st Sunday of every month.,***,Organizations,,,
Canterbury Ale and Eats,Bars,534 15th East,,Seattle,WA,Tel. 322-3130.,**,"Bars, Clubs, Coffeehouses",,,
Seattle Gay News,,910 a East Pike,,Seattle,WA,"Tel. 323-7882. Bi-weekly gay newspaper.
Includes a bar guide and community events calendar. $15.00 for one year.",,,,,
The Golden Crown,Show Bar,1608 Times Square Alley,,Seattle,WA,"Tel. 622 5304. Show bar on the
ground floor, restaurant on the main floor. But upstairs it's a straight new-wave pub.",**,"Bars, Clubs, Coffeehouses",,,
Left Bank Book Collective,Bookstores,92 Pike Street,,Seattle,WA,Tel. 622-0195. Gaya and lesbian titles.,,,,,
It's About Time Women's Bookcenter,Bookstores,5241 University Way ,,Seattle,WA,"Tel. 525-0999. Very well stocked women's bookstore which sells GAIA'S GUIDE. Open Monday thru
riday 1 pm-7pm. Sat: 1 1 am-5pm. Sun. 1 pm-5pm. Bookstore and information center.",,,,,
Eastlake East,Bars,101 Eastlake E,,Seattle,WA,"Tel. 623-1089. Open 8pm-2am daily. Monday is
Pool Night and Tuesday is Happy Hour all night. Local comment: 'It's supposed to be a
women's bar",**,"Bars, Clubs, Coffeehouses",,,
Lesbian Resource Center,Centers,4253 Roosevelt Way,,Seattle,WA,"Tel. 632-9631. We have
'Older women's nite, forums, social events, speakers bureau, Drop-In Center, counselling
groups and classes and much, much more.' 'Come down and see us some time.'",*****,Organizations,,,
Out & About,,"4253 Roosevelt Way, North East",,Seattle,WA,"Tel. 632-9631. Seattle feminist
lesbian newsletter- $8.00 per year (monthly) resource list.",,,,,
Sappho's,Bar/Restuarant,706 East Pike,,Seattle,WA,"Tel. 329-7563. Beer/wine/electronic games/pool tables/disco.
Women only-women owned and operated and very, very highly recommended.",****,"Bars, Clubs, Coffeehouses",,,
Tug's Belltown Tavern,Show Bar,2207 First Avenue,,Seattle,WA,Tel. 623 2813.,**,"Bars, Clubs, Coffeehouses",,,
Seattle Gay Hotline,,,checked,Seattle,WA,Tel. 329 8707 Mon to Fri 10am-10pm.,,,,,
A Different Drummer,Bookstores,420 Broadway East,,Seattle,WA,"Tel. 324-0525.O pen 7 days a week.
Gay and lesbian newspapers and magazines. Feminist literature and gay lesbian women's
titles. They sell GAIA'S GUIDE so be sure and say hi from GAIA.",,,,,
Lamda Nearly New & Wonderfully Old Shop,Store,600 East Pike,,Seattle,WA,Tel. 323-5120.,,,,,
"Dianic Wicca Shoppe, Goddess Rising","Occult, Astrology",4006 1st Ave N E,,Seattle,WA,"Tel. 632 3829.
Lesbian owned, women only. Free catalogue of matriarchal/spiritual supplies, incense, candles,
oils, tarot, books, jewelry and more.",,,,,
Morningtown,Restaurant,4110 Roosevelt Way,,Seattle,WA,"Tel 632-6317 Collectively-owned
Open11:30am-midnight/2am Fri & Sat.",*,Restaurants,,,
Oliver's at the Mayflower Hotel,Bars,14th and Olive,checked,Seattle,WA,Tel. 623-8700.,***,"Bars, Clubs, Coffeehouses",,,
It's Your World Travel Inc,Travel Agents,1411 Fourth Ave,,Seattle,WA,Tel. 682-5651.,,,,,
Lesbian Mother's National Defense Fund,Group,,checked,Seattle,WA,"Tel. 325-2643.
'We offer legal, emotional and financial support to lesbian mothers undergoing custody
battles.' Their publication: MOM'S APPLE PIE - bi-monthly, $5.00 per year. 'We also work on
educating judges, lawyers and the public around the issue of Lesbian custody problems and
we are working with other groups across the country to form an informational network round this issue. We operate mostly for gay women but we do offer advice for gay men too.'",**,Organizations,,,PO Box 21567
Ruth Roten,Jewelry,3403 19th Ave S Seattle,,Seattle,WA,"Tel. 725-1125. Metalsmith/designer. 'I work
in silver, brass, copper and gold. I make pendants, rings, earrings, beltbuckles and other
meaningful objects.'",,,,,
Aradia Women's Health Center,,182712th Avenue,,Seattle,WA,"Tel. 323-9388. Counseling,
gynecological health services- lesbian health worker available on request.",,,,,
Gay Clinic,,,checked,Seattle,WA,Tel. 329 8390.,,,,,
Seattle Counselling Service,,1505 Broadway,,Seattle,WA, Tel. 329-8737. Women support groups and series of rap sessions for different groups. Other counselling.,,,,,
Homestead Book Company,Bookstores,4009 Stoneway North,,Seattle,WA,Tel. 634-2212.,,,,,
Innerspace Women's Coffee House,Coffee Bar,5241 University Way,,Seattle,WA,Tel. 525 7186.,****,"Bars, Clubs, Coffeehouses",,,
A Special Place,Restaurant,109 Eastlake East,,Seattle,WA,"No Phone Listing. Woman owned and operated. Open: Mon-Thurs,
9am-1 0pm. Fri, 6pm-3am, Sat 6pm-3am, Sun 11 am-4pm.",****,"Bars, Clubs, Coffeehouses",,,
The Women's Information Center,,,checked,Seattle,WA,Tel. 545-1090.,,,,,
Lesbian Support Group,Group,,checked,Seattle,WA,Tel. 543-6106.,**,Organizations,,,
Cafe Intermezzo,Restaurant,4th St,,Olympia,WA,No Phone Listing. 'Frequented by lesbians'.,*,Restaurants,,,
Oasis,Group,,checked,Olympia,WA,"Tel. 946 4357. Gay support group. Social functions
attended by over 100 people and offer rap groups, counseling, film nights and much, much
more.",*,Organizations,,,"PO Box 6371, Kennewick; 99336"
Women's Center,Centers,305 The Evergreen State Colleg,,Olympia,WA,"Tel. 866-6162 (plus can
be reached through College Switchboard). Very helpful people - large lesbian participation.
Social activities, counseling and referrals",****(*),Organizations,,,
Oasis,Group,,checked,Tri-Cities,WA,"Tel. 946 4357. A gay support for women and men.
Social functions (attended by over 100 people) and rap groups, counselling, film nights and
much more.",*,Organizations,,,PO Box 6371
Metropolitan Community Church of Morgantown,Religious Groups,,checked,Morgantown,WV,Tel. 292 3128.,,,,,PO Box 576 26505
Beloit Gay Alliance,Group,,checked,Beloit,WI,Tel. 365 3391 ext 730.,*,Organizations,,,"Box 209, Beloit College; 53511"
The Women's Health Information Service,Group,,checked,Beloit,WI,Tel. 365 3391 ext331.,,,,,PO Box 317 Beloit College5 3511
Beloit Women's Center,Centers,732 Church St,,Beloit,WI,"Tel. 365 3391
ext 730. Outreach/support groups/library.",****,Organizations,,,"PO Box 317 Beloit College, 53511"
Out,Publication,,checked,Madison,WI,"Tel. 251 0698 (publisher) 256 7952 (editor). Political orientation,
gay/lesbian issues. Calendar. Free in bars or sliding scale subscription of $8.00/$10.00/
$15.00.",,,,,PO Box 148 53701
Lesbian Center,Centers,953 Jennifer,,Madison,WI,"Tel. 257 7378 Weds 6pm-9pm or taped message. Support
groups/socials/chemical free dances/information enter.",****,Organizations,,,
Lesbian and Gay Crisis Line,Service,,checked,Madison,WI,"Tel. ALL-GAYS (255 4297) Hotline. 255 8582 Office.
9am-6pm Mon-Sat.",,,,,
National Lesbian Feminist Organization,Group,,checked,Madison,WI,Tel. 257 7378.,,,,,
Madison Gay Center,Centers,1127 University Ave,,Madison,WI,"Tel. 257 7575. Peer counseling/
housing/library/drop ins. DAILY CALENDAR OF EVENTS.",***,Organizations,,,
Sam's,Bars,1206 Regent St,,Madison,WI,"Tel. 257 9930. Disco bar but gay women might find it a bit difficult.
Your comments, please.",MGM**,"Bars, Clubs, Coffeehouses",,,
Cardinal Bar,Bars,418 East Wilson St,,Madison,WI,"Tel. 251 0080. Thurs and Sat nights are women only and
really good. Feminist crowd. Open from 4pm. Closed Mon.",**(**),"Bars, Clubs, Coffeehouses",,,
Local Resource List,Service,,checked,Madison,WI,Tel. 263 3100 ask for tape no 333.,,,,,
Lesbian AA,Group,,checked,Madison,WI,Tel. 255 2577 Meet everyT hursa t 8.30pm in members' houses.,,,,,
A Room of One's Own,Bookstores,317 West Johnson St,,Madison,WI,"Tel. 257 7888. Records/buttons/
jewelry/posters/magazines/T shirts and bulletin board/referrals services& GAIA'S GUIDE.",,,,,
Nothing to Hide,TV Show,,checked,Madison,WI,Tel. 266 9060. Cable 4/Thurs 8.30pm,,,,,
Cafe Palms,Restaurant,636 West Washington,,Madison,WI,Tel. 256 0166. Gay owned.,*,Restaurants,,,
Blue Bus Clinic,Centers,1552 University,,Madison,WI,Tel. 262 7330.,,,,,
Finale,Bars,808 E Center St,,Milwaukee,WI,Tel. 372 6664.,**,"Bars, Clubs, Coffeehouses",,,
M&M Restaurant ,Bar/Restuarant,124 N Water St,,Milwaukee,WI,,**,"Bars, Clubs, Coffeehouses",,,
The Beer Garden,Bar/Restuarant,3743 West Vliet,,Milwaukee,WI,"Tel. 344 5760. Dance bar restaurant with
games. Open 7 days a week and all holidays. Lunch from 11am. Tuesday-Beer Mug Night.
Sunday brunch 11 am-4pm. Friday Fish Fry. Clientele: 90% gay women. Highly recommended.
Say 'hi' from GAIA.",***,"Bars, Clubs, Coffeehouses",,,
1000 East,Bars,1000 East North Ave,,Milwaukee,WI,No Phone Listing. Quiet bar/pool table/good juke box. Recommended,***,"Bars, Clubs, Coffeehouses",,,
Milwaukee Now,Group,,checked,Milwaukee,WI,"Tel.964 6117. Task forces: ERA, reproductive rights,
sexism in education, minority women, consciousness-raising, sexuality, women and poverty.
$30 regular dues.",,,,,PO Box 174 53201
Dignity ,Religious Groups,2506 Wauwatosa Ave,,Milwaukee,WI,"Tel. 9611965or6451490. 'Mass
for gay and lesbian Catholics'. Lesbian retreats. See GPU NEWS for current activities. Chapel ",,,,,
Women's Crisis Line,Centers,,checked,Milwaukee,WI,Tel. 964 7535 (tape-your call will be returned).,,,,,
Tina's RTI,Bars,219 East Keefe Ave,,Milwaukee,WI,"Tel. 263 9918. Comfortable and friendly.
Recommended.",***,"Bars, Clubs, Coffeehouses",,,
The Women's Coalition ,Organization,2211 East Kenwood Blvd,,Milwaukee,WI,"Tel. 964 6117. Includes
GRAPEVINE the feminist support and social group for lesbians and their publication is
AMAZON.",*****,Organizations,,,
Sugar Shack,Bars,135 East National Avenue,,Milwaukee,WI,"Tel. 643 9758. Juke box/dancing/pool
table/other games. Owned and operated by women. Clientele: 100% women. Open daily
7pm; Sundays 2pm. Very highly recommended.",****,"Bars, Clubs, Coffeehouses",,,
Sistermoon ,Bookstores,128 East Locust St,,Milwaukee,WI,"Tel. 962 3323. Records/buttons/jewelry/posters/magazines/Tshirts plus reading tables/bulletin boards/referrals.
Pottery/paintings/weaving.Mail order service. They serve coffee and tea and sell GAIA'S GUIDE",,,,,
Bread and Roses Women's Health Center,Centers,238 W Wisoonsin Ave,,Milwaukee,WI,Tel. 278 0260.,,,,,
The Lost'N'Found,Bars,618 North 27th,,Milwaukee,WI,"Tel. 931 9114. 'A place where women go to enjoy
themselves.' And: 'Nice crowd, young/disco a bit loud, but OK'.",***,"Bars, Clubs, Coffeehouses",,,
Psyche Out,Religious Groups,571 Marshall,,Memphis,TN," Tel. 523 1940. Disco/show bar/patio. Open 8pm-3am Closed
Monday-Thursdla",****,Organizations,,,
MCC ,Religious Groups,672 South McClean ,,Memphis,TN,Tel. 2781091. Meets Sunday eves 11am.,,,,,
Gay Switchboard,Organization,,checked,Memphis,TN,"Tel. 726 4299 726  Gay but: busy, busy, busy).7 pm-1am nightly.",**,Organizations,,,
P W Bumps,Religious Groups,238 N Cleveland,,Memphis,TN,"Tel. 7269953. Pizzas, shuffleboard,d raft beer, pinball.( Is it true
that PW stands for Pussy Whip?)",**,Organizations,,,
George's,Gay Complex,600 Marshall St ,,Memphis,TN,"Tel. 5261038.Disco/show bar/boutique/gameroom/restaurant/
patio bar. The only gay liquor bar in Memphis. It's on 3 levels and open 8pm-3am. Clientele:
50% gay men, 50% gay women. Recommended",,,,,
J Wags,Restaurant,1268 Madison,,Memphis,TN,"Tel. 725 4670. BAR/Restaurant after hours. Most gay people go
thereafter the other bars close.",*,Restaurants,,,
P&H Poor and Hungry,Restaurant,1528 Madison Ave,,Memphis,TN,"Tel. 274 5522. Short orders/light lunches, etc. Opens 1 am. Closed Sundays",*,Restaurants,,,
Walker Street Expresso,Restaurant,3547 Walk St,,Memphis,TN,Tel. 454 9248. Vegetarian ,*,Restaurants,,,
Brazil ,Bars, 86 Mills Ave,,Staten Island,NY,"Tel. 447 9590. Bar& restaurant, free parking. disco plus piano bar
& patio. 'The best chili anywhere'. Friendly people. Open 7 days a week: 2pm-4am/Sundays
4pm-4am.",***,"Bars, Clubs, Coffeehouses",,,
Beach Haven,Bars,901 Seaside Blvd,,Staten Island,NY,Tel. 351 9625. 'Still going strong'. ,***,"Bars, Clubs, Coffeehouses",,,
Liberty Hall,Bars,208 Richmond Ave,,Staten Island,NY,"No Phone Listing. Open 7 days a week until 8pm. Free video games. Open
to lesbians and gay men. 75% women. ",***,"Bars, Clubs, Coffeehouses",,,
Midnite Mary's,Bars, 308 Columbia at Broadway,,Utica,NY,Tel. 732 8306.,**,,,,
The Lesbian Survival Center ,Centers,2708 East Lake (Suite 229) ,,Minneapolis/St Paul,MN,"Tel 721 4666 The Circle of Ishtar, a group of lesbians of color meet in the Survival Center.",*****,Organizations,checked,,
A Woman's Coffeehouse,Coffeehouse,1 Groveland ,,Minneapolis/St Paul,MN,Tel 871 1005 All women and their children welcome ,****,"Bars, Clubs, Coffeehouses",,,
The Blaisdell Place,Private Club,2322 Blaisdell Ave ,,Minneapolis/St Paul,MN,Tel 872 2325 Private health and dining club,,,,,
Christopher Street Inc,Centers,2344 Micollet,,Minneapolis/St Paul,MN,Tel 874 7877 Center for treatment of chemical dependency. Incest victim counseling,,,,,
Gay Community Services Inc.,Centers,2855 Park Avenue South ,,Minneapolis/St Paul,MN,Tel 827 2821 Providing individual and group therapy.,***,Organizations,,,
Gay Nineties ,Bars,408 Hennepin Ave ,,Minneapolis/St Paul,MN,Tel 333 7755 Scores high points for atmosphere and friendliness ,**,"Bars, Clubs, Coffeehouses",,,
Laverne's Diner (Previously Shirley's Diner) ,Restaurant,717 W Lake,checked,Minneapolis/St Paul,MN,Tel 823 0151,*,"Bars, Clubs, Coffeehouses",,,
Womynscope,"Occult, Astrology",1925 Nicollet Ave ,,Minneapolis/St Paul,MN,Tel 870 8288 Compatibility and research ,,,,,
Nineteen Bar,Bars,19 West 15 Street,,Minneapolis/St Paul,MN,Tel 871 5553 Some drag queens frequent,***,"Bars, Clubs, Coffeehouses",,,
New French Cafe,Restaurant,124 North 4th St,,Minneapolis/St Paul,MN,Tel 332 3822 Women owned,*,"Bars, Clubs, Coffeehouses",,,
Woodswoman ,Group,3716 4th Avenue South ,,Minneapolis/St Paul,MN,Tel 823 1900 Travel and outdoor education,,,,,
Mud Pie,Restaurant,2549 Lyndale Ave South ,,Minneapolis/St Paul,MN,Tel 823 3432 Vegetarian restaurant/home made food,*,"Bars, Clubs, Coffeehouses",,,
May Day Bookstore,Bookstores,Chicago and Franklin ,checked,Minneapolis/St Paul,MN,Tel 291 7041,,,,,
Amazon Bookstore,Bookstores,2607 Hennepin Ave ,,Minneapolis/St Paul,MN,Tel 374 5507 Feminist Bookstore,,,,,
Come Back Saloon,Bars,830 Hennepin ,,Minneapolis/St Paul,MN,Tel 335 0835 Cowboy bar and good disco,MGM**,"Bars, Clubs, Coffeehouses",,,
Morning Star Women's Center,Centers,2830 Cedar Ave S ,,Minneapolis/St Paul,MN,"Tel 722 4448 Individual, group and family therapy ",,,,,
Foxy's,Bars,249 West 7th,,Minneapolis/St Paul,MN,Tel 222 9621 By lesbians for lesbians,****,"Bars, Clubs, Coffeehouses",,,
Savrans ,Bookstores,301 Cedar Ave ,,Minneapolis/St Paul,MN,Tel 333 0098 They sell Gaia's Guide,,,,,
The Townhouse,Bars,1415 University Ave ,,Minneapolis/St Paul,MN,Tel 646 7087 Disco and restaurant ,****,"Bars, Clubs, Coffeehouses",,,
Duck Type,Graphic Design,1406 West Lake St 108,,Minneapolis/St Paul,MN,"Tel 824 9990 Typesetting, layout, design for flyers, ads, books, magazines, posters, cards lesbian worker/owned",,,,,
Puss and Boots,Bars,940  South Redwood Rd,,Salt Lake City,UT,"Tel. 972 9730. Community minded,
woman-owned, women-only bar. Women's entertainment nights and highly recommended.",****,"Bars, Clubs, Coffeehouses",,,
Waking Owl Book Co,Bookstores,1260 E 4th South ,,Salt Lake City,UT,Tel. 582 7323. Good selection of gay literature etc. They sell GAIA'S GUIDE.,,,,,
The Sun,Bars,1 South 400 West,,Salt Lake City,UT,"Tel. 532 9052. Disco bar and restaurant, and show bars.
Open 12 noon-1.00am in the winter and until 2am in the summer. We usually have 400 or
more people on the weekends. 30 gay employees.' A very, very highly recommended place.
This is a private club. Full Bar. Annual dues are currently $20.00. Be sure and say hi from
GAIA.",****,"Bars, Clubs, Coffeehouses",,,
Cosmic Aeroplane Books,Bookstores,258 East First,,Salt Lake City,UT,"Tel. 533 9409. Gay, lesbian and
feminist titles.",,,,,
Berea Books,Bookstores,2 Berea Commons,checked,Berea,OH, Tel. 243-5936,,,,,
Raffles,Bars,3 Farewell St,,Newport,RI,"Tel. 847 9663. A very pleasant and friendly place. Nice decor -
mirrored walls in dancing area. OJ. Clientele: gay women and men. Winter: open 7am-1am
during the week and 7am-2am during the weekends. Summer: 4pm-2am nightly.",**,"Bars, Clubs, Coffeehouses",,,
28 Prospect Hill,Bars,28 Prospect Hill,checked,Newport,RI,"Tel. 847 9698. DJ on weekends.
Neighborhood gay bar atmosphere. 25% gay women.",**,"Bars, Clubs, Coffeehouses",,,
Papillon's,Bars,4th and Tyler,checked,Abilene,TX,No Phone Listing. ,**,"Bars, Clubs, Coffeehouses",,,
Walnut Street Pub,Bars,4th and Walnut,checked,Abilene,TX,"Tel. 677 2522. Multi level dance floor and class
enclosed balcony bar. Giant TV and fireside lounge. Shows and women's nights. Highly
recommended.",**(**),"Bars, Clubs, Coffeehouses",,,
Gatsby's,Bars,2310 W Marriton Pk,,Camden,NJ,Tel 663 8744 Disco,**,"Bars, Clubs, Coffeehouses",,,
Lamplighter,Bars,5 North Gate Plaza,,Camden,NJ,Tel 966 1421 Ring up for directions because it's hard to find ,**,"Bars, Clubs, Coffeehouses",,,
The New Prelude,Bars,408 York Road,,New Hope,PA,"Tel. 862 5171. 'Bar and disco that's still jumping.
Clientele: gay women and men. Atmosphere: lots of fun. $4.00 cover charge now but that
does get you two drinks.' Closed Sundays.",**,"Bars, Clubs, Coffeehouses",,,
The Raven,Bar/Restuarant,385 West Bridge Street,,New Hope,PA,"Tel. 862 2081/2. Sunday brunch
1pm.",**,"Bars, Clubs, Coffeehouses",,,
The Baron,Bar/Restuarant,Route 202/437 York Road,checked,New Hope,PA,"Tel. 862 9431.
Viscount Lounge overlooking the Garden, intimate living room atmosphere. The Fireside
Room is run by two friendly women who make you feel at home beside a cheerful fire or at the
Piano Bar. Open 1 pm till 2am.",**(**),"Bars, Clubs, Coffeehouses",,,
