Name of Site/Org,Site Type,Address,Unclear Address?,City,State,Description (copy & paste),Stars,Star Type,Mentions Race?,Mentions Disability?,Notes to review (if any)
The Women's Center,Centers,243 West 20th Street ,,New York City ,NY,Tel 741 9114 Lesbian activities ,****(*),Organizations,,,(Manhattan)
Cissy's,Bars,246 East Water S,,Syracuse,NY,"Tel. 471 9392. This really is a men's bar except the restaurant part
on Friday nights. It's quite mixed and recommended for gay women as well as men.",MGM**,,,,
Candida,Bars,247 N 12th St,,Allentown,PA,Tel. 4343071.,**,"Bars, Clubs, Coffeehouses",,,
Friar's,Bars,248 Monroe Ave,,Rochester,NY,"Tel. 232 9803. Juke box, small dance floor.",MGM**,"Bars, Clubs, Coffeehouses",,,
New York Native,Publication,249 W Broadway,,New York City ,NY,Tel 925 8021 Mostly men's paper but they do go out of their way to include articles by and interests to lesbians. ,,,,,
Foxy's,Bars,249 West 7th,,Minneapolis/St Paul,MN,Tel 222 9621 By lesbians for lesbians,****,"Bars, Clubs, Coffeehouses",,,
NYC Commission on the Status of Women,Group,250 Broadway ,,New York City ,NY,Tel 566 3830 They publish resource guides,,,,,
Small World,Bars,250 Calle San Jose,,San Juan,PR,"Tel. 724 9491. Open 1 10am-2am, in tourist section of Old San Juan. Days are very mixed with many
cruise ship passengers and crew. Nights mostly gay - more men, but some women who
certainly are welcome.",*,"Bars, Clubs, Coffeehouses",,,PO Box 2221
Camelot,Bars,251 Calle Cruz,,San Juan,PR,No Phone Listing. A very friendly place with dramatic decor tapestries etc. Dancing.,MGM**,"Bars, Clubs, Coffeehouses",,,
Dignity/Philadelphia Inc,Religious Groups,252 South 12th St,,Philadelphia,PA,"Tel. 546 2093. Gay and concernedRoman Catholics. Mass is celebrated every Sunday night at 7pm at 2212 Spruce St. Also
social, counseling and referrals. Monthly newsletter.",,,,,
Venture Inn,Bars,255 S Camac St,,Philadelphia,PA,"Tel. 545 8731. Bar, restaurant. Mostly men. Particularly
friendly for women.",**,"Bars, Clubs, Coffeehouses",,,
Cosmic Aeroplane Books,Bookstores,258 East First,,Salt Lake City,UT,"Tel. 533 9409. Gay, lesbian and
feminist titles.",,,,,
Land of Pizza,Restaurant,260 South 12th Street,,Philadelphia,PA,"Tel. 735 6650. The food is good and so is the
atmosphere. Very friendly to gay women and helpful with advice about local women's bars",*,Restaurants,,,
Gertrudestein Book Collective,Bookstores,262 Central Ave,,Albany,NY,Tel 465 2718 For men and women,,,,,
262 East,Bars,262 Portion Rd Lake Ronkonkona ,,Long Island,NY,"Tel 588 9232 A mixed gay disco with 50% gay women
",**,"Bars, Clubs, Coffeehouses",,,
Neptune,Bars,268 North Street,,Harrisburg,PA,No Phone Listing. ,MGM**,"Bars, Clubs, Coffeehouses",,,
The Westbury,Bar/Restuarant,271 S 15th Street,,Philadelphia,PA,Tel. 545 9836. Sunday brunch 1pm.,**,"Bars, Clubs, Coffeehouses",,,
Pathway Lounge,Bar/Restuarant,280 Henderson Street,,Jersey City,NJ,Tel 434 3659 40% Gay men 40% Gay women ,**,"Bars, Clubs, Coffeehouses",,,
Imaginations,Bars,283 East Spring Street,checked,Columbus,OH,No Phone Listing. ,**,"Bars, Clubs, Coffeehouses",,,
Imaginations ,Bars,284 East Spring St,,Dayton,OH,No Phone Listing. ,**,"Bars, Clubs, Coffeehouses",,,
Lloyd's Restaurant ,Restaurant,289 Alexander St,,Rochester,NY,Tel. 546 2211. Gay owned. Nice atmosphere,*,Restaurants,,,
JT's Pub ,Bars,295 Union Ave ,,Paterson,NJ,Tel 595 98998 Dance Bar mostly gay women at night ,****,"Bars, Clubs, Coffeehouses",,,
Galaxie ,Private Club,300 College West ,,Springfield,MO,Tel 862 8458 non-members can get in with a valid ID plus a copy of Gaia's guide,**(**),"Bars, Clubs, Coffeehouses",,,
Savrans ,Bookstores,301 Cedar Ave ,,Minneapolis/St Paul,MN,Tel 333 0098 They sell Gaia's Guide,,,,,
Burnet Books,Bookstores,303 Burnet Ave,,Syracuse,NY,"Tel. 471 9230. Gay and lesbian titles, free papers. Gay guide to Syracuse.",,,,,
The Copa,Bars,304 Orleans,,Beaumont,TX, Tel. 832 4206.,**,"Bars, Clubs, Coffeehouses",,,
Merchant's Gallery,Art Gallery,304 West 4th,,Cincinnati,OH,No Phone Listing. Co-cooperatively run ART GALLERY accent on women's work/women's shows. Open Wed-Sat 12 noon-4pm. ,,,,,
Women's Center,Centers,305 The Evergreen State Colleg,,Olympia,WA,"Tel. 866-6162 (plus can
be reached through College Switchboard). Very helpful people - large lesbian participation.
Social activities, counseling and referrals",****(*),Organizations,,,
Mischief Mime CO,Theater/Art ,306 East State St ,,Ithaca,NY,"Tel 273 2171 Original Feminist Theater presents witty, intelligent, enjoyable theater by women for everyone. ",,,,,PO Box 725 14850
Bunk House,Bars,306 S Warren & Genessee St,,Syracuse,NY,"Tel. 471 9517. Western decor, dance floor. Cruise bar but only about 30% gay women. Open 9pm-2am. Sunday 12 noon-2am.",**,,,,
309,Bar/Restuarant,309 Delaware ,,Kansas City,MO,Tel 474 6026 Mostly men ,MGM**,"Bars, Clubs, Coffeehouses",,,
Archies,Bars,312 Cookman Ave ,,Asbury Park ,NJ,Tel 775 9741 Beer garden neighborhood gay bar atmosphere,MGM**,"Bars, Clubs, Coffeehouses",,,
42nd Street,Bars,315 West Main Street,,Durham,NC,Tel. 683-1151. Largest disco in the States. Mostly gay men but always about 30% gay women and recommended. ,**,"Bars, Clubs, Coffeehouses",,,
A Room of One's Own,Bookstores,317 West Johnson St,,Madison,WI,"Tel. 257 7888. Records/buttons/
jewelry/posters/magazines/T shirts and bulletin board/referrals services& GAIA'S GUIDE.",,,,,
Wilde Oscar,Bar/Restuarant,318 S W 3rd Ava,,Portland,OR,"Tel. 223-8620. An unique bar and restaurant with an outdoor patio and open-air theater - women's groups, very special
happenings like weekend cabarets and art shows. Community minded and 'very hospitable'.
A highly recommended old-timer open 11 am-1 am daily.",**,"Bars, Clubs, Coffeehouses",,,
Wilde Oscar,Bar/Restuarant,318 S W 3rd Ave,,Portland,OR,"Tel. 223-8620. An extremely unique bar and
restaurant with an outdoor patio and open-air theater - woman's groups, very special
happenings like weekend cabarets and art shows. Community minded and 'vary hospitable'.
A highly recommended old-timer open 11 am-1 am daily.",**,"Bars, Clubs, Coffeehouses",,,
Oregon Gay Archives,Archives,320 SW Stark,,Portland,OR,No Phone Listing.  No 506,,,,,
Rhapsody ,Bars,321 South Lincoln,,Sioux Falls,SD,"Tel. 332 9348. Under new management and
now, 50% gay women. Community-minded bar. Open Bpm-1a m/Fri-Sat 7pm-2am.",**,"Bars, Clubs, Coffeehouses",,,
Take Five II,Bars,323 West 10th St,,Amarillo,TX,"Tel. 372 9240. Two pool tables. Wednesday night is the
'Women's pool tournament. Gay women, gay men 50-50. Recommended.",**(**),"Bars, Clubs, Coffeehouses",,,
Anne Jaffe,Accomodation Agency,325 Broadway,,New York City ,NY,Tel 437 9110,,,,,
New York Feminist Art Institute,Theater/Art ,325 Spring Street,,New York City ,NY,"Tel 242 1343 Workshops, events, slide lectures",,,,,
The Voodoo,Bars,326 Central Ave ,,Albany,NY,"No Phone Listed Very nice disco, clientele mixed gays (across the street from the Eightballs)",**?,"Bars, Clubs, Coffeehouses",,,
Paper Moon,,329 South St,,Philadelphia,PA,Tel. 574-9014.,,,,,
WOW,Theater/Art ,330 East 11th St,,New York City ,NY,Tel 777 9307 A performance space in a resource center,,,,,
Switchboard Crisis Center,Service,330 S Greene St,,Greensboro,NC,"Tel. 275-0896. The only 
agency in this area that serves gay people. 24 hour hot line service 7 days a week. Counseling for gay people. Walk-in service Bam-11 pm weekdays. Weekends 1Oam-1Opm. ",,,,,
Friends of Dorothy Bookshop,Bookstores,331 East Boulevard,,Charlotte,NC,"Tel. 
332-8893. This truly marvelous shop has got to be your first stop in Charlotte. Books, records, 
greeting cards, arts and gifts. Lots of titles for women and for lesbians. Open 7pm-9pm 
Wednesdays and Thursdays. 5pm-9pm Fridays. 1 pm-9pm Saturdays and 1 pm-5pm Sundays. 
They sell GAIA'S GUIDE and have been extremely helpful to GAIA so please say 'Hi' when you 
get there. ",,,,,
Capital District Gay Community Center,Centers,332 Hudson Ave ,,Albany,NY,Tel 462 6138 Their publication is 'Alive' mostly gay men but they are really trying to reach out to the lesbian community ,***(**),Organizations,,,PO Box 131 12201 
Streetcar,Bars,336 King St,,Charlestown,SC,Tel. 722 2181. Better for women in the afternoons. Closed Sun.,MGM**,"Bars, Clubs, Coffeehouses",,,
Vermont Women's Health Center,Centers,336 North Ave,,Burlington,,"Tel. 8631386. Counseling
for gay women and men. General gym. PMS counseling",,,,,
Golden Lions,Bars,340 Ludlow Street,,Cincinnati,OH,"Tel. 281-4179. Hours: Mon-Sat 4.30pm-2.30am, Sat 3pm-2.30am Piano bar, 1 Opm-2am. Mostly gay men, but gay women always most welcome. ",MGM**,"Bars, Clubs, Coffeehouses",,,
Giovanni's Room,,345 South 12th Street,,Philadelphia,PA,Tel. 923 2960A gay bookstore with a huge variety of feminist and lesbian titles.,,,,,
Unicorn Travel,Travel Agents,347 5th Ave ,,New York City ,NY,Tel 696 9460,,,,,
New World,Restaurant,347 Ludlow Ave,,Cincinnati,OH,"Tel. 861-1101. Natural food restaurant. Open Mon-Fri, 11.30am-8.30pm. Sat 11 am-6pm, Sun 11 am-5pm. ",,,,,
Cubby Hole,Bars,348 Hudson St,,Manhattan,NY,No Phone Listing Dartboard pretty smoky few men there,***,"Bars, Clubs, Coffeehouses",,,
Church of Beloved Disciple,Religious Groups,348 W 14th St,,New York City ,NY,Tel 242 6616 ,,,,,
Van Buren's,Bars,349 West 46th St ,,Manhattan,NY,"Tel 581 0222 Women only on Thursdays, Fridays and Saturdays the rest of the week it is a Jazz club. ",****,"Bars, Clubs, Coffeehouses",,,
Roanoke Valley Trouble Center Inc,Centers,360 Washington Ave,,Roanoke,VI,"Tel. 563 0311.
Switchboard, counseling and referrals. A social service center for gay women/men and
others. Includes Trust House, which is an overnight place.",,,,,
Air Wave TV Records,Records/Music,362 Ludlow,,Cincinnati,OH, Tel. 221-0875. Large collection of women's music.,,,,,
Company Restaurant Piano Bar,Bar/Restuarant,365 Third Ave,,Manhattan,NY,Tel 532 5222. One of the best ,MGM*,"Bars, Clubs, Coffeehouses",,,
Eightballs Lounge,Bars,369 Central Ave,,Albany,NY,"Tel 445 9824 Disco
",MGM**,"Bars, Clubs, Coffeehouses",,,
Silkwood Books,Bookstores,370 Monroe Ave,,Rochester,NY,Tel. 473 8110.,,,,,
Mountain Meadow,Retreat,373 Kanawha St NW Washington,,,PA,No Phone Listing.  Sleep away program for young women located on one entire side of a mountain. The average cost per young participant is $250.00 per two week session. ,,,,,
Alternatives Corner,Bookstores,"374 Woodfield Road, West Hempstead",,Long Island,NY,Tel 483 2050 They sell Gaia's guide,,,,,
The Raven,Bar/Restuarant,385 West Bridge Street,,New Hope,PA,"Tel. 862 2081/2. Sunday brunch
1pm.",**,"Bars, Clubs, Coffeehouses",,,
Disco Cave,Bars,389 Madison Ave,,Paterson,NJ,"Tel 279 2555 Dancing, drag show, jukebox dancing, DJ tapes
",MGM**,"Bars, Clubs, Coffeehouses",,,
Underground,Bars,390 West St,,Manhattan,NY,No Phone Listing Very gay and owned by a woman. When a lesbian's feeling sleazy it is a nice place to go. ,**,"Bars, Clubs, Coffeehouses",,,
Left Bank Books,Bookstores,399 North Euclid ,,St Louis,MO,Tel 367 6371,,,,,
The Hollywood,Bars,401 South 14th ,,Omaha,NE,Tel 346 4110 Elegant and expensive disco,,,,,
Boathouse Bar,Bars,407 Colorado St,,Austin,TX, Tel. 474 9667.,**,"Bars, Clubs, Coffeehouses",checked,,
Peeches N Creem ,Bar/Restuarant,408 East 64th St,,Manhattan,NY,Tel 888 1609 or 88 1608 A bar restaurant where you can sit around and talk or go into the back room and dance. ,****,"Bars, Clubs, Coffeehouses",,,Between 1st and York Ave
Norfolk Women's Space,Group,408 Elmshurst Lane,,Norfolk,VI,Tel. 465 0960,**,Organizations,,,
Gay Nineties ,Bars,408 Hennepin Ave ,,Minneapolis/St Paul,MN,Tel 333 7755 Scores high points for atmosphere and friendliness ,**,"Bars, Clubs, Coffeehouses",,,
Portland Town Council,Service,408 SW Second Avenue,,Portland,OR,"Tel. 227-2765. The emphasis is on the political: gay civil rights/military and veterans rights
included. Their publication is OREGON GAY RIGHTS REPORT. Membership Is $20.00 per
year or just $5.00 for the publication. The Lesbian Forum, sub-group, meets the third Monday
of each month for dinner and discussion programs. Also lesbian workshops.",***(**),Organizations,checked,,Suite 408
The New Prelude,Bars,408 York Road,,New Hope,PA,"Tel. 862 5171. 'Bar and disco that's still jumping.
Clientele: gay women and men. Atmosphere: lots of fun. $4.00 cover charge now but that
does get you two drinks.' Closed Sundays.",**,"Bars, Clubs, Coffeehouses",,,
Portland Women's Counseling Collective,Centers,410 South East 12th,,Portland,OR,Tel. 233-1759.,,,,,
Sister Spirit ,Bookstores,411 24th St ,,Billings,MT,Tel 652-4325 Feminist Bookstore,,,,,
The Congress Restaurant,Bar/Restuarant,411 Main Mall East,,Oswego,NY,"Tel. 486 9068. Open everyday until 4am. 
'Fine food and beverages/dancing. Same ownership since 1949",**,Restaurants,,,
The Palms,Bars,413 North Eugene Street,,Greensboro,NC,"Tel. 272-6307. Small place. Serves beer only. Juke box, DJ weekends. Pool table. Open 8.30pm-1.30am six days a week and closed on Sundays",***,"Bars, Clubs, Coffeehouses",,,
Mr. Z's ,Bar/Restuarant,415 W Sprague Avenue,,Spokane,WA,"No Phone Listing. Cocktail bar and restaurant. Juke box/piano bar. Patio opens
up in April. Avery friendly place. Clientele: at least 50% gay women.",**,"Bars, Clubs, Coffeehouses",checked,,
Cardinal Bar,Bars,418 East Wilson St,,Madison,WI,"Tel. 251 0080. Thurs and Sat nights are women only and
really good. Feminist crowd. Open from 4pm. Closed Mon.",**(**),"Bars, Clubs, Coffeehouses",,,
A Different Drummer,Bookstores,420 Broadway East,,Seattle,WA,"Tel. 324-0525.O pen 7 days a week.
Gay and lesbian newspapers and magazines. Feminist literature and gay lesbian women's
titles. They sell GAIA'S GUIDE so be sure and say hi from GAIA.",,,,,
The Odessey,Bars,421 Eastway Drive,,Charlotte,NC,"Tel. 568-7498. Several bars including 
a separate disco space and quiet lounge/piano bar. Clientele is about 90% gay men (cruise bar) 
and 10% of Gay women. Hours: Monday to Friday 4.30pm-2am. 
",MGM**,"Bars, Clubs, Coffeehouses",,,
Brooklyn Women's Martial Arts,Martial Arts,421 Fifth Ave ,,New York City ,NY,"Tel 788 1775 Serious Supportive classes in self-defense are taught by women for girls and women of all ages. Classes 7 days a week, childcare provided, sliding scale. Women of all races, ages, and sexual orientation are welcome, regardless of athletic ability. ",,,,,
Looking Glass Books,Bookstores,421 SW Taylor St,,Portland,OR,"Tel. 227-4760. Gay, lesbian and feminist titles.
Bulletin board. Children's section. Open Monday, Friday and Saturday 1 Oam-6.30pm. Tuesday
to Thursday 1 Oam-5.30pm. Closed on Sunday.",,,,,
Mississippi Gay Alliance-Gulf Coast Chapter,Group,424 Chartres ,checked,Gulfport,MS,Primarily concerned with the betterment of the Gay/Lesbian community ,*,Organizations,checked,,Gulfport location with a Biloxi Address PO Box 6293 39501 
First Emperor's Disco,Bars,425 West First Avenue,,Spokane,WA,"Tel. 747-9270. Disco and
show-bar, community benefits, women's entertainment nights, games and snacks. More
men than women during the week but weekends more women. Open 12 noon-2am daily and
very highly recommended.",**,"Bars, Clubs, Coffeehouses",,,
The Other Side of Midnight,Bars,426 SE Hawthome Blvd,,Portland,OR,"Tat. 233-0755. Three
pool tablas, and 3 pin-ball machines, wide screen TV. Featuring: hot and cold sandwiches,
cracker and cheese board, and home-made soups. Summer beer gardenI.t 's owneda nd
operated by women for woman. Hara are the directions: located under the eastbound
off-ramp of the Hawthome Bridge. Park your car beneath the bridge. Open: 6pm-1am Sunday
through Thursday and till 2.30am Fri & Sat. Vary highly recommended.",****,"Bars, Clubs, Coffeehouses",,,
Odyssey Club,Bars,427 Cookman Ave ,,Asbury Park ,NJ,Tel 775 9849,MGM**,"Bars, Clubs, Coffeehouses",,,
Klamath Gay Union,Group,428 South Ninth Street,,Klamath Falls,OR,No Phone Listing.,*,Organizations,,,
Sundown Lounge,Bars,429 N Mulberry St,,Lancaster,PA,Tel. 392 2737. Women's bar.,**,"Bars, Clubs, Coffeehouses",,,
Players,Bars,430 E 8th Ave,,Pittsburgh,PA,Tel. 461 9231.,*****,"Bars, Clubs, Coffeehouses",,,
Zoo Zoo's ,Restaurant,454 Williamette St,,Eugene,OR,"Tel. 344-4764. New location bigger and brighter now and still
the same great food. Natural foods restaurant. Thursday night is women's night. Open daily
Bam-1 0pm. Closed Tuesday. Wheelchair accessible. Table service.",*,Restaurants,,,
Goldstein & Drescher/Attorneys at Law,Attorneys,474 Williamette,,Eugene,OR,"Tel. 484-4435.
Serving the women's, alternative and political communities of Eugene.",,,,,
Kosher Pizza and Felafel,Restaurant,483 Washington Ave,,Albany,NY,Tel 465 5638 'Run by a Chassidic Jewish sect called the Chabad Lubavitch-dykes frequent and sometimes work there,*,Restaurants,,,
Institute for Human Identity,Centers,490 Western Ave No 3B,,New York City ,NY,Tel 799 9432 Interviews for either group of individual therapy ,,,,,
Out Publishing Company,,500 South Aiken Avenue,,Pittsburgh,PA,"Tel. 621 6577.
Monthly gay news magazine.",,,,,
The Anvil,Bars,500 W 4th St ,,Manhattan,NY,No Phone Listing Time to go is Tuesday nights after 1am when they have new wave dancing,**,"Bars, Clubs, Coffeehouses",,,
Dignity at St Francis Church,Religious Groups,501 Cherry Street ,,Toledo,OH,Tel. 865-8267. Gay catholics/women's group. The pastor is a lesbian.,,,,,
Conservative Gay Alliance,Group,506 Hudson St ,,New York City ,NY,Tel 929 3632,,,,,
Jay-Tees,Bars,507 Jefferson,,Waco,TX,Tel. 753 9189.,MGM**,"Bars, Clubs, Coffeehouses",,,
Night Light,Bars,509 22md Street ,,Union,NJ,Tel 863 9515 Rough neighborhood ,***,"Bars, Clubs, Coffeehouses",,,
Dee's Place,Restaurant,512 South St,,Philadelphia,PA,Tel. 922 5510.,*,Restaurants,,,
Mississippi Gay Alliance,Centers,513 North State Street,,Jackson,MS,Tel 355 7495 Their interests are civil rights and discrimination,***,Organizations,checked,,PO Box 8342 39204
Storefront Press,Printing,514 E Pine,,Seattle,WA,Tel. 322-3150. Quality printing by a worker-run collective.,,,,,
Come Along Inn,Bars,515 South Jennings,,Fort Worth,TX,"Tel. 332 0720. Open
Mon-Thurs, 8pm-2am. Fri/Sat 8pm-4am.",***,"Bars, Clubs, Coffeehouses",,,
Backwoods West,Bars,520 South Cannon St Pool table.,,Spokane,WA,No Phone Listing.,MGM**,"Bars, Clubs, Coffeehouses",,,
Avenue Pub,Bars,522 Monroe Ave,,Rochester,NY,Tel. 244 4960. Open 11am-2am.,**,"Bars, Clubs, Coffeehouses",,,
Red & Black,Bookstores,524 15th East Lake Ave East,,Seattle,WA,"Tel. 322 READ (322 7323) Open 7 days a week,
10am-10pm. Gay, lesbian and feminist books. Collectively run. They sell GAIA'S GUIDE",,,,,
Cause Celebre,Restaurant,524 15th East Lake Avenue ,,Seattle,WA,Tel. 322 1057.,*,Restaurants,,,
B Jay Motor Lodge,Hotel/Motel,525 W 2nd St,,Reno,NV,Tel 322 2230,,,,,
Canterbury Ale and Eats,Bars,534 15th East,,Seattle,WA,Tel. 322-3130.,**,"Bars, Clubs, Coffeehouses",,,
The Twins,Bars,535a Westheimer Rd,,Houston,TX,"Tel. 520 0244. Disco. Good dancing,
intimate atmosphere, special nights. Open 8pm-2am, Fri-Sat til 4am. Closed Mon & Tues,
very highly recommended.",****,"Bars, Clubs, Coffeehouses",,,
Charlie's West,Bars,536 Main Street,,East Orange,NJ,Tel 245 7024 and 678 5002 Gay complex super bar,**(**),"Bars, Clubs, Coffeehouses",,,
Cassady's,Bars,539 East 13th,,Eugene,OR,"Tel. 484-9983. Now it's a beer and wine bar especially for women on Friday and Saturday nights. The rest of the time the ratio is 10 men to 1 woman. Hours: 4pm-2.30am Monday to Thursday. 1 pm-2.30am Friday, Saturday and Sunday.",MGM**,"Bars, Clubs, Coffeehouses",,,
Mother Kali's Books,Bookstores,541 Blair,,Eugene,OR,"Tel. 343 4864. A dyke hangout which sells GAIA'S
GUIDE. Has a list of places where traveling women can stay. Library and bulletin board.",,,,,
Mother Kali's Books,Bookstores,541 Blair Boulevard,,Eugene,OR,"Tel. 343-4864. Feminist and lesbian titles, they sell
GAIA'S GUIDE and is the focal point lesbian and feminist activities/happenings in
Eugene.",,,,,
Identity House,Centers,544 Ave of the Americas,checked,Manhattan,NY,Tel 243 8181 Free lesbian walk-in counseling and rap groups,,,,,
Our Space,Hotel/Motel,548 Agua Fria,,Santa Fe,NM,"No Phone Listed Town house for transient women and children, coordinated by monthly volunteer from the women's community",,,,,
Women's Interart Center,Theater/Art ,549 West 52nd St Manhattan,,Manhattan,NY,"Tel 246 1050 Performance center/training programs/film, teleplay video. ",,,,,
Women's Eye Bookstore,Bookstores,554 Limit Ave ,,St Louis,MO,Tel 721 1616 Feminist Bookstore Home of Tiamat Women's Press,,,,,
Dignity/Metro New Jersey,Religious Groups,558 Ridgewood Avenue Malewood NJ,,Irvington,NJ,Tel 420 9482 Gay Catholics meet at St George Episcopal Church ,,Organizations,,,
Psyche Out,Religious Groups,571 Marshall,,Memphis,TN," Tel. 523 1940. Disco/show bar/patio. Open 8pm-3am Closed
Monday-Thursdla",****,Organizations,,,
The Playroom,Bars,590 Nepperham Av,,Yonkers,NY,Tel. 969 2320.,**,,,,
Lamda Nearly New & Wonderfully Old Shop,Store,600 East Pike,,Seattle,WA,Tel. 323-5120.,,,,,
Tranformer Club,Bars,600 Market St ,,Parkersburg,WV,,MGM**,"Bars, Clubs, Coffeehouses",,,
George's,Gay Complex,600 Marshall St ,,Memphis,TN,"Tel. 5261038.Disco/show bar/boutique/gameroom/restaurant/
patio bar. The only gay liquor bar in Memphis. It's on 3 levels and open 8pm-3am. Clientele:
50% gay men, 50% gay women. Recommended",,,,,
Women's Information Center,Centers,601 Allen Street,,Syracuse,NY,"Tel. 478 4636, 478-INFO. 'A
safe place for all women to learn and grow is the basic philosophy of the WOMEN'S
INFORMATION CENTER. Woman to woman counseling, feminist school, newsletter, library
and support groups and job bulletin board to advertise women's businesses etc. This house,s
owned by the CENTER COLLECTIVE: 'A place for any woman to come.' Annual retreat
WOMA",****,Organizations,,,
Suite 601,Bars,601 Broadway ,,Manhattan,NY,"No Phone Listing Women only on Sundays
",****,"Bars, Clubs, Coffeehouses",,,
Lutherans Concerned,Religious Groups,602 E 9th St,,New York City ,NY,Tel 596 3829/278 5066 They meet 1st and 3rd Sundays each month ,,,,,
Dahl & Penne's,Show Bar,604 SW Second,,Portland,OR,"Tel. 228-7469. Basically a man's bar. Pool tabla,
dancing, show bar restaurant. Beer garden. During the week it's about 5% gay
women and weekends about 20% gay women. It's open from 7am-2.30am 7 days a weak.
The shows which are Friday and Saturday at 9pm and 11 .30pm are free.",MGM**,"Bars, Clubs, Coffeehouses",,,
Club M&M,Bars,608 Sunrise Hwy W Bablyon,,Long Island,NY,"Tel 661 9580 Women's bar, small dance floor, juke box pool table
",****,"Bars, Clubs, Coffeehouses",,,
M&K Club,Bars,611 Hech Street,,Asbury Park ,NJ,Tel 775 9694 Almost all gay all the time now ,**,"Bars, Clubs, Coffeehouses",,,
Adventure Inn,Bars,613 Capital,,Charlestown,WV,Tel. 342 9466.,**,"Bars, Clubs, Coffeehouses",,,
Backstage,Restaurant,614 South 4th St,,Philadelphia,PA,Tel. MA7 9887.,*,Restaurants,,,
P C Club,Bar/Restuarant,615 Port Providence Rd,,Montclaire,PA,"Tel. 9359341/384 6091 (call for schedule and information).
Private women's club. Wed 9pm-3am, Fri-Sat 1 Opm-3am. Sun 1 pm-7pm. OJ dancing. Women
only Sat. Men welcome other nights. Sun $1 cover includes buffets",***(**),"Bars, Clubs, Coffeehouses",,,
The Park,Bar/Restuarant,615 Salem Ave SW,checked,Richmond,VI,"Tel. 342 0946.
Dancing/pool tables and other games. Community benefit nights, special women's nights.
It's a private club but you can get in with a copy of GAIA'S GUIDE plus valid ID. Closed on
certain nights, so ring up first !answering machine with current times, etc). They sell GAIA'S
GUIDE.",***,"Bars, Clubs, Coffeehouses",,,PO Box 1061
Grande Palace,Bars,617 Brooke St,,Charlestown,WV,Tel. 342 9532,**,"Bars, Clubs, Coffeehouses",,,
The Lost'N'Found,Bars,618 North 27th,,Milwaukee,WI,"Tel. 931 9114. 'A place where women go to enjoy
themselves.' And: 'Nice crowd, young/disco a bit loud, but OK'.",***,"Bars, Clubs, Coffeehouses",,,
Doops,Bars,630 Central Avenue,,East Orange,NJ,Tel 678 7060 Club on three floors a lesbian bar complex,****,"Bars, Clubs, Coffeehouses",,,
Silkwood Books,Bookstores,633 Monroe Ave,,Rochester,NY,No Phone Listing ,,,,,
Cafe Palms,Restaurant,636 West Washington,,Madison,WI,Tel. 256 0166. Gay owned.,*,Restaurants,,,
Gaslite Inn,Bars,638 W Main St,checked,Springfield,OH,"Tel. 324-9300 or 324-0383. Dance bar with games. Clientele all gay- even mixture of
men and women. Open 7.00pm-2.30am. Closed Sundays. Highly recommended. Friendly
place. Just say that GAIA sent you. 'The owners go out of their way to please.'",**?,"Bars, Clubs, Coffeehouses",,,PO Box 621 Springfield
Willow Secretarial Service,Secretarial Typing Services,645 Water St ,,New York City ,NY,Tel 619 3431 Tape Transcriptions,,,,,
14 Karat,Bars,659 West Market St.,,York,PA,No Phone Listing. Bar: mixed clientele.,*,"Bars, Clubs, Coffeehouses",,,
Metropolitan Community Church,Religious Groups,663 Madison Street,,Eugene,OR,"Tel. 485-3665. Serving the Willamette Valley Area. The Gay and Lesbian community counseling services
have emerged through this MCC effort.",,,,,
Snake Sisters Cafe,Restaurant,666 South Ave,,Rochester,NY,"Tel. 271 6405. A women's collective restaurant. Sunday Brunch: great food and the Times (New York and New Women's) around the 
woodstove. Linger over a chess game or chat with the cooks. regular (but not routine) weekend cottee house. Call for details. Open Wed-SAt 5.30-11.00pm. Sun 11am-3pm. 
Vegetarian meals, music, films, poetry.",****,"Bars, Clubs, Coffeehouses",,,
MCC ,Religious Groups,672 South McClean ,,Memphis,TN,Tel. 2781091. Meets Sunday eves 11am.,,,,,
Dobees,Bars,674 Dexter St,,Pawtucket,RI,"Tel. 7284170. Relaxed atmosphere. Games,
pool table, sandwiches. Gay clientele, 50% women. Located hall an hour from Providence.",**,"Bars, Clubs, Coffeehouses",,,
Rainbow Club,Bars,677 South Broad St ,,Trenton,NJ,Tel 393 3430 Bad neighborhood straight owned,***,"Bars, Clubs, Coffeehouses",,,
Old Cabana,Bars,681 Valley St,,Pawtucket,RI,"Tel. 331 8355. Pool table. Small dance floor (DJ). Open
7pm-1am. Clientele basically gay women.",***,"Bars, Clubs, Coffeehouses",,,
Alice Krause,Lesbian Accountants,682 Broadway,,New York City ,NY,Tel 473 5269 A really nice person,,,,,
Corner Cafe,Bar/Restuarant,700 North James St,,Hazleton,PA,Tel. 455 7889. Restaurant bar; mixed.,*,"Bars, Clubs, Coffeehouses",,,
Round Up,Bars,701 West 12th,checked,Kansas City,MO,No Phone Listed,**,"Bars, Clubs, Coffeehouses",,,
Scenic Bar,Bars,702 Monroe,,Toledo,OH,"Tel. 248-9717. New dance floor, juke box, pool tables. Clientele
varies. sometimes as much as 75% gay women, but sometimes less. Hours 1 pm-2.30am,
seven days a week. Recommended.",***,"Bars, Clubs, Coffeehouses",,,
The Rose,Bars,703 Travis St,,Wichita Falls,TX,"Tel. 322 0832. Show bar/dancing/
snacks. Recommended.",**,"Bars, Clubs, Coffeehouses",,,
