title,type,statewide.address,address,unclear.address,stars,star.type,description,city,state,Mentions Race?,Mentions Disability?,notes,Feminist Bookstores,year
Integrity,Religious Group,,,checked,,,Tel 577 3450 and 763 4186,Detroit,MI,,,,,1977
M.C.C.,Religious Group,,13100 Woodward Ave,,,,Tel 868 2122 and 869 8159 Their publication The Way,Detroit,MI,,,,,1977
Gayly Speaking,Radio and Television,,5035 Woodward,,,,Thursdays at 11:30pm Lesbian Radio. Collective: Tel 867 5764 and 963 7193,Detroit,MI,,,,,1977
Amiga's,Bar,,19326 Conant,,****,"Bars, Clubs, Coffeehouses ",,Detroit,MI,,,,,1977
Gold Coast,Bar,,2971 East 7 Mile Road,,***,"Bars, Clubs, Coffeehouses ",Tel 963 7193,Detroit,MI,,,,,1977
Cafe Gigi,Bar,,16920 West Warren ,,***,"Bars, Clubs, Coffeehouses ",Near Southfield. Tel 831 2604,Detroit,MI,,,,,1977
Palais Bar,Bar,,855 Beaubien,,***,"Bars, Clubs, Coffeehouses ",Tel 964 8374,Detroit,MI,,,,,1977
Conquest Lounge,Bar,,1500 East State Fair,,***,"Bars, Clubs, Coffeehouses ",Tel 891 9759,Detroit,MI,,,,,1977
Casbah,Bar,,14701 Plymouth at Hubble,,***,"Bars, Clubs, Coffeehouses ",Tel 837 6379,Detroit,MI,,,,,1977
Barbary Coast ,Bar,,,checked,***,"Bars, Clubs, Coffeehouses ",Inquire locally. Rough. ,Detroit,MI,,,,,1977
George's Inca Room,Bar,,13314 Jenkell,,***,"Bars, Clubs, Coffeehouses ",,Detroit,MI,,,,,1977
Let's Be An Apple Pie,Organization,,427 Spring St,,****,Organizations,Tel 517 484 3475 and 353 9488 We now have a pool table a good one. ,Detroit,MI,,,,,1977
Joe Covello's ,Bar,,533 535 East Michigan Ave,,***,"Bars, Clubs, Coffeehouses ","At Larch. Tel 517 482 4577, Very highly recommended for gay women. ",Detroit,MI,,,,,1977
Tramps Disco,Bar,,Michigan Ave,checked,**(*),"Bars, Clubs, Coffeehouses ",Thursday night is your night. ,Detroit,MI,,,,,1977
Womanself Bookstore,Feminist Bookstore,,University Mall 220 MAC,checked,,,We sell Gaia's Guides,Detroit,MI,,,,,1977
Her-Shelf,Feminist Bookstore,,2 Highland Park,,,,"Tel 313 869 4045 Books, crafts, events, workshops.",Highland Park,MI,,,,,1977
Carousel Lounge,Bar,,8 Ionia SW,,**,"Bars, Clubs, Coffeehouses ",Tel 454 2639,Grand Rapids,MI,,,,,1977
Three Suns Plus One,Bar,,61 South Division ,,**,"Bars, Clubs, Coffeehouses ",Tel 454 5002,Grand Rapids,MI,,,,,1977
Lambda of Kalamazoo,Organization,,,checked,*,Organizations,"PO Box 2213 Tel 616 344 7629 Switchboard. Regular meetings, political and social activities, counseling, referrals, speakers bureau. Free newsletter LAMBDA",Kalamazoo,MI,,,,,1977
Thurman's Restaurant & Bar,Restaurant/Bar,,224 West Kalamazoo Ave,,*,Restaurants,Gay after 9pm best night Thursday,Kalamazoo,MI,,,,,1977
Crow Bar,Bar,,16 South Gratiot Avenue,,***,"Bars, Clubs, Coffeehouses ",Not recommended. ,Mt. Clemens,MI,,,,,1977
Central Michigan Gay Liberation,Organization,,,checked,***(**),Organizations,Box 34 Warriner Hall Central Michigan University. Tel 517 774 3822,Mt. Pleasant,MI,,,,,1977
Toadville,Hotel/Bar/Restaurant,,349 Culver St,,**,"Bars, Clubs, Coffeehouses ",Tel 857 4305,Saugatuck,MI,,,,,1977
Canterbury Center,Group,,,checked,**,Organizations,On Campus,Western Michigan University,MI,,,,,1977
Saugutuck Lodge,Hotel/Bar/Restaurant,,Blue Star Highway,checked,**,"Bars, Clubs, Coffeehouses ",Tel 857 4305,Saugatuck,MI,,,,,1977
South Street Saloon,Bar,,515 South Street,,*,"Bars, Clubs, Coffeehouses ",,Mankato,MN,,,,,1977
Mankato Gay Group,Group,,,checked,*,Organizations,"Mankato State University Box 58 Counseling, bi monthly meetings. Their newsletter Tomorrow. ",Mankato,MN,,,,,1977
Gender,Publication,,6490 Excelsior Boulevard,,,,A new periodical. ,Minneapolis,MN,,,,,1977
Lesbian Resource Center,Lesbian Resource Center,,2104 Stevens Avenue South,,*****,Organizations,Tel 612 871 2601 Their publication is So's Your Old Lady,Minneapolis,MN,,,,,1977
Minnesota Committee for Gay Rights,Services,,,checked,,,Box 3589 Upper Nicollet Station Tel 612 871 3111 Their publication Together. ,Minneapolis,MN,,,,,1977
Gay Community Services,Services,,,checked,***(**),Organizations,,Minneapolis,MN,,,,,1977
Dignity,Religious Group,,,checked,,,PO Box 3565,Minneapolis,MN,,,,,1977
M.C.C.,Religious Group,,,checked,,,PO Box 8402,Minneapolis,MN,,,,,1977
Gay Quakers,Religious Group,,32080 Portland Ave South,,,,,Minneapolis,MN,,,,,1977
Sutton's Place,Bar,,114 North 7th Street,,**,"Bars, Clubs, Coffeehouses ",Tel 612 871 2601,Minneapolis,MN,,,,,1977
Women's Coffeehouse,Coffeehouse,,2104 Stevens Avenue,,,,,Minneapolis,MN,,,,,1977
Amazon Bookstore,Feminist Bookstore,,2607 Hennepin Ave,,,,,Minneapolis,MN,,,,,1977
Happy Hour,Bar,,410 Hennepin Avenue,,*,,Tel 335 74428 ,Minneapolis,MN,,,,,1977
Savrans,Bar,,301 Cedar Avenue,,,,Tel 612 333 0098 Feminist lesbian gay health titles. ,Minneapolis,MN,,,,,1977
Noble Roman,Bar,,788 Grand,,**,"Bars, Clubs, Coffeehouses ",Tel 255 41141,St. Paul,MN,,,,,1977
Townhouse,Bar,,1415 University Ave,,****,"Bars, Clubs, Coffeehouses ",Tel 612 646 9267,St. Paul,MN,,,,,1977
Commonplace Restaurant,Restaurants,,366 Selby,,**,"Bars, Clubs, Coffeehouses ",Tel 612 222 9242 Vegetarian co-operative,St. Paul,MN,,,,,1977
Mississippi Prisoners Defense Committee,Committee,checked,223 North Farish Street,,,,Tel. (601) 948-5400,Jackson,MS,,,"In the scanned issue, there is a section at the start of Mississippi that has no city assigned. It lists “Mississippi Prisoners’ Defense Committee.” Which is located in Jackson, MI. Because of this, the airtable has it as a Jackson entry and not statewide. I went in a changed the city to be blank - is this correct? ",,1977
Lesbian Front,Publication,,,checked,,,"PO Box 8342 This one is not
recommended for lesbians who live in the South. It1
insisted upon. $5.00 per year USA subscription.
56.00 per year overseas. 5.50 each.",Jackson,MS,,,,,1977
Casa Blanca,Bar,,220 Pat Harrison Avenue,,**,"Bars, Clubs, Coffeehouses ",Recommended,Biloxi,MS,,,,,1977
Mae's Cabaret,Bar,,102 South Farish,,**,Organizations,Tel 601 969 965,Jackson,MS,,,,,1977
Mississippi Gay Alliance,Organization,,,checked,***,Organizations,"PO Box 8342
Tel. (601) 353-6447 and 372-3449 (Switchboard)",Jackson,MS,,,,,1977
Jackson Women's Coalition,Organization,,,checked,**,Organizations,"PO Box 3234 Study groups, discussions and regular meetings.",Jackson,MS,,,,,1977
Pride Community Center,Gay Center,,207 West Fourth St,,***,Organizations,Their newsletter. Pride Guide Calendar of events and local news. ,Joplin,MO,,,,,1977
Opal's Play Mor,Bar,,407 Main Street,,**,"Bars, Clubs, Coffeehouses ",,Joplin,MO,,,,,1977
Windjammer,Bar,,1822 Main Street,,***,"Bars, Clubs, Coffeehouses ",,Kansas City,MO,,,,,1977
Red Head,Bar,,4048 Broadway,,**,"Bars, Clubs, Coffeehouses ",,Kansas City,MO,,,,,1977
Ivanhoe Cabaret,Bar,,1014 Oak ,,**,"Bars, Clubs, Coffeehouses ",Super bar,Kansas City,MO,,,,,1977
Dover Fox,Bar,,4334 Main Street,,**,"Bars, Clubs, Coffeehouses ",,Kansas City,MO,,,,,1977
Gazebo,Bar,,1706 West 39th Street,,**(?),"Bars, Clubs, Coffeehouses ",Tel 756 2073,Kansas City,MO,,,,,1977
First Word,Bar,,2102 St Joseph Ave,,**,"Bars, Clubs, Coffeehouses ",,St. Joseph,MO,,,,,1977
Moonstorm,Publication,,,checked,,,Box 4201 Tower Grove Station A really fine lesbian magazine. ,St. Louis,MO,,,,,1977
Potpourri,Bar,,4755 McPherson at Euclid. ,,****,"Bars, Clubs, Coffeehouses ",Tel 314 361 9203 Downstairs from the Bottom of the Pot. Recommended. ,St. Louis,MO,,,,,1977
Pat's Place,Bar,,2800 Shenandoah ,,***,"Bars, Clubs, Coffeehouses ",and California,St. Louis,MO,,,,,1977
Betty and Sandy's Place,Bar,,2258 California ,,****,"Bars, Clubs, Coffeehouses ",at Shenandoah,St. Louis,MO,,,,,1977
Herbie's ,Bar,,One Maryland Plaza at Euclid. ,checked,***,"Bars, Clubs, Coffeehouses ",,St. Louis,MO,,,,,1977
City Cousin,Restaurants,,4111 Lindfell,,*,Restaurants,,St. Louis,MO,,,,,1977
Billings Coalition for Women's Rights,Organization,,804 North 29th,,****,Organizations,"Tel. (406) 248-8892.
Newsletter. In fact, there are no lesbian activities or
even participation at this center. But: “There is
nothing happening that we know of as the gay people here tend to keep it to themselves ... in other words-
‘Billings is a straight city’. . . Hopefully by selling
your guide the subject will become more open. We
sell Gaia’s Guide.”",Billings,MT,,,,,1977
Crystal Louunge,Bar,,Broadway at First Avenue,checked,,,Might be gay might not,Billings,MT,,,,,1977
Forum Club ,Bar,,204 First Avenue,,***,"Bars, Clubs, Coffeehouses ",Tel 7611 9580 Recommended,Great Falls,MT,,,,,1977
Women's Resource Center,Organization,,University of Montana,checked,****(*),Organizations,Gay women's group,Missoula,MT,,,,,1977
Top Hat,Bar,,134 West Front,,*,Organizations,Tel 728 9865,Missoula,MT,,,,,1977
Lambda,Organization,,770 Eddy No 4,,*,Organizations,"Now it is just gay men but they are trying to start a group for women. Newsletter, office, and library",Missoula,MT,,,,,1977
Growing Season,Publication,,520 North 28th,,,,"This newspaper, started in April 1976, will focus on women's liberation and there will be a regular column on the Gay Movement, in addition to coverage of developing gay rights struggle. ",Lincoln,NE,,,,,1977
Women's Resource Center,Gay Center,,Nebraska Union 1400 R Street,checked,****,Organizations,Room 126 Tel 472 2597,Lincoln,NE,,,,,1977
University of Nebraska Gay Action Group and Lincoln Gay Action Group,Gay Group,,333 14th Street,,***,Organizations,"Tel 402 475 5710 Switchboard. Coffeehouse 9pm-midnight, Fridays. Dances, their publication Gayly Nebraskan. ",Lincoln,NE,,,,,1977
Gay Rap Line,Gay Hotline,,,checked,,,Tel 402 475 5710 Evenings,Lincoln,NE,,,,,1977
The Cave,Bar,,506 South 16th Street,,**,"Bars, Clubs, Coffeehouses ",At Howard. Tel 346 9983 40& gay women on weekends. ,Omaha,NE,,,,,1977
Bottleneck,Bar,,,checked,****,"Bars, Clubs, Coffeehouses ",Tel 472 2597 for details. Dance bar only open on Sunday evenings. ,Omaha,NE,,,,,1977
Casey's Other Place,Bar,,11020 P Street,,*,"Bars, Clubs, Coffeehouses ",Gay men but it's all we've got. ,Lincoln,NE,,,,,1977
Diamond Bar,Bar,,516 South 16th Street,,**,"Bars, Clubs, Coffeehouses ",,Omaha,NE,,,,,1977
Stage Door,Bar,,1512 Howard,,**,"Bars, Clubs, Coffeehouses ",Tel 342 8715 80% gay men. ,Omaha,NE,,,,,1977
Le Cafe,Bar,,4917 Paradise Road,,**,"Bars, Clubs, Coffeehouses ",Tel 702 736 9021,Las Vegas,NV,,,,,1977
Maxine's Cocktail Lounge,Bar,,5110 East Charleston Boulevard,,***,"Bars, Clubs, Coffeehouses ",Tel 702 452 3776,Las Vegas,NV,,,,,1977
The Ladder,Organization,,,checked,**,Organizations,,Reno,NV,,,,,1977
Stage Door,Bar,,1512 Howard,,**,"Bars, Clubs, Coffeehouses ",Dancing,Reno,NV,,,,,1977
Red Barn ,Bar,,1317 East Tropicana Ave,,**,"Bars, Clubs, Coffeehouses ",Tel 702 736 11870,Las Vegas,NV,,,,,1977
Jade Room,Bar,,214 West Commercial Row,,**,"Bars, Clubs, Coffeehouses ",Tel 322 4403,Reno,NV,,,,,1977
The Trapp,Bar,,5201 West Fourth Street,,*,"Bars, Clubs, Coffeehouses ",Tel 747 9999,Reno,NV,,,,,1977
Dave's Westside Motel & Bar,Bar,,3001 West Fourth St,,*,"Bars, Clubs, Coffeehouses ",Tel 322 4403,Reno,NV,,,,,1977
484 Club,Bar,,484 Chestnut,,**,"Bars, Clubs, Coffeehouses ",Elegant Showbar mostly gay men. ,Manchester,NH,,,,,1977
Seacoast Area Gay Alliance,Group,,,checked,,,Tel 742 2947 or 436 7196 or see Gay Community News of Boston for current details. ,Portsmouth,NH,,,,,1977
M.C.C. South Church,Group,,292 State Street,,,,Gay Community News of Boston for current details. ,Portsmouth,NH,,,,,1977
Seaport Club,Group,,77 Daniel Street,,**,Organizations,"Across from the Post Office Intimate, cozy, there's a nice atmosphere, DJ, and fireplace. Private club membership $3.00 per year. ",Portsmouth,NH,,,,,1977
King's Wilde,Restaurants,,72 Islington Street,,*,Restaurants,Tel 603 536 4324,Portsmouth,NH,,,,,1977
So Gay,Radio and Television,,,checked,,,349  3959 evenings or weekends. 539 6357 evenings or weekends. 455-9738 Monday evenings only,,NJ,,,,,1977
North Jersey M.C.C.,Radio and Television,,,checked,,,Tel 201 744 7645,,NJ,,,"In the scanned issue, it is unclear if this phone # is associated with the So Gay radio show - it may be.",,1977
South Jersey M.C.C.,Radio and Television,,,checked,,,Tel 201 744 7645,,NJ,,,"In the scanned issue, it is unclear if this phone # is associated with the So Gay radio show - it may be.",,1977
Gay Rap Lines,Gay Hotline,,,checked,,,Before noon or evenings,,NJ,,,,,1977
Chez Paree,Bar,,235 or 245 South New York Ave,checked,***,"Bars, Clubs, Coffeehouses ",,Atlantic City,NJ,,,,,1977
Other Door,Bar,,12th South Mt. Vernon Ave,checked,****,"Bars, Clubs, Coffeehouses ",Upstairs from the Brass rail,Atlantic City,NJ,,,,,1977
Lyle's Place,Bar,,120 South New York Avenue,,*,"Bars, Clubs, Coffeehouses ",Tel 345 0955,Atlantic City,NJ,,,,,1977
Mama Motts,Bar,,151 South New York Ave,,*,"Bars, Clubs, Coffeehouses ",,Atlantic City,NJ,,,,,1977
Ocean House,Bar,,127 South New York Avenue,,**,"Bars, Clubs, Coffeehouses ",Tel 345 8203,Atlantic City,NJ,,,,,1977
Mine Hill Tavern ,Bar,,Randolph Ave,checked,***,"Bars, Clubs, Coffeehouses ",,Dover,NJ,,,,,1977
Penelope's,Bar,,611 Central Ave,,**,"Bars, Clubs, Coffeehouses ",Tel 201 673 7710 Two disco bars. Weekends and Wednesday nights are highly recommended. ,East Orange,NJ,,,,,1977
The Barrel House,Bar,,40 West Grand,,**,"Bars, Clubs, Coffeehouses ",,Elizabeth,NJ,,,,,1977
The Sting,Bar,,604 Market Street at Midland Ave,,*,"Bars, Clubs, Coffeehouses ",Tel 201 796 9899,Elmwood Park,NJ,,,,,1977
United Sisters,Organization,,,checked,*****,Organizations,PO Box 41 Tel 201 233-3848 Their publication Puce Mongoose We are mostly a service organization. ,Garwood,NJ,,,,,1977
Together,Organization,,7 State street,,***,Organizations,Tel 609 881 4040,Glassboro,NJ,,,,,1977
Gay Activists,Organization,,,checked,***(**),Organizations,PO Box 137 Tel 201 347 3959 Switchboard. Their newsletter Challenge,Morristown,NJ,,,,,1977
Murphy's Tavern,Bar,,59 Madison Place,,**,"Bars, Clubs, Coffeehouses ",,Newark,NJ,,,,,1977
Other World Disco,Bar,,390 North Fifth Street,,***(?),"Bars, Clubs, Coffeehouses ",Tel 483 8866,Newark,NJ,,,,,1977
Manny's Den ,Bar,,111 Albany Street,,**,"Bars, Clubs, Coffeehouses ",,New Brunswick,NJ,,,,,1977
Italian Kitchen,Restaurant/Bar,,Route 94 off Route 206,checked,**(?),Organizations,Gay on weekends dinner and dancing,Newton,NJ,,,,,1977
The Coach,Bar,,541 Union Ave,,***,"Bars, Clubs, Coffeehouses ",,Paterson,NJ,,,,,1977
Joan's Key Club,Bar,,Union Ave,checked,***,"Bars, Clubs, Coffeehouses ",,Paterson,NJ,,,,,1977
Pad I,Bar,,389 Madison Ave,,***,"Bars, Clubs, Coffeehouses ",,Paterson,NJ,,,,,1977
Musical Bar,Bar,,216 South Main St,,**,"Bars, Clubs, Coffeehouses ",Tel 454 9085,Phillipsburg,NJ,,,,,1977
Colonial House,Bar,,Corner of 7th and Park Ave,checked,*,"Bars, Clubs, Coffeehouses ",Tel 201 756 4434 Dinner and dancing,Plainfield,NJ,,,,,1977
The Other Half,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ",Inquire locally,Sayreville,NJ,,,,,1977
The Seashell,Bar,,21 Ferry St,,****,"Bars, Clubs, Coffeehouses ",Tel 932 4678 Thursdays and Sundays are recommended. ,South River,NJ,,,,,1977
Zodiac,Bar,,South Clinton Ave,checked,**,"Bars, Clubs, Coffeehouses ",,Trenton,NJ,,,,,1977
Forty West,Bar,,40 West State St,,**,"Bars, Clubs, Coffeehouses ",,Trenton,NJ,,,,,1977
Aladin's Lamp,Bar,,677 South Broad,,*,"Bars, Clubs, Coffeehouses ",,Trenton,NJ,,,,,1977
Agora,Bar,,,checked,**(?),"Bars, Clubs, Coffeehouses ",Willowbrook Mall at the junction of Route I-80 and Route 23. Next to JC Penney's Parking lot. ,Wayne,NJ,,,,,1977
Nite Light,Bar,,509 22nd Street,,***,"Bars, Clubs, Coffeehouses ",,Union City,NJ,,,,,1977
Women's Crisis Center,Organization,,,checked,****(*),Organizations,Tel 201 828 7273,New Brunswick,NJ,,,,,1977
The Women's Center,Women's Center,,1824 Las Lomas NW,,****,Organizations,Tel 505 277 3716,Albuquerque,NM,,,,,1977
M.C.C. ,Religious Group,,1113 Alvarado NE,,,Organizations,Parsonage: 9905 Bellamah North East Tel 505 299 0512. Office and library social activities and counseling plus religious activities. Their publication Cornerstone. ,Albuquerque,NM,,,,,1977
Wellington Lounge,Bar,,3900 Central Avenue SE,,**,"Bars, Clubs, Coffeehouses ",Recommended,Albuquerque,NM,,,,,1977
A Woman's Gallery,Feminist Bookstore and Art Gallery,,3007 Central NE,,,,"Comment number one: it doesn't exist. Comment number two; it is fabulous. Well, they have ordered Gaia's Guide ???",Albuquerque,NM,,,,,1977
Foxes Booze'n'Cruise,Bar,,8521 Central NE,,**,"Bars, Clubs, Coffeehouses ",Tel 255 3060 Mostly gay men but it's gay owned and community minded supportive of all gay concerns. ,Albuquerque,NM,,,,,1977
Cricket's Country Club,Bar,,2037 Fourth NW,,****,"Bars, Clubs, Coffeehouses ",Tel 242 00720 A very highly recommended private club. ,Albuquerque,NM,,,,,1977
Kindly Yours,Bar,,113 Alvarado North East,,**,"Bars, Clubs, Coffeehouses ","After hours only. Game room disco small kitchen. No booze, no drugs. Same owners as Foxes. ",Albuquerque,NM,,,,,1977
The Heights,Bar,,4621 Central NE,,**,"Bars, Clubs, Coffeehouses ",Tel 265 9955 Not gay owned! ,Albuquerque,NM,,,,,1977
The Rythm Cafe,Bar,,,checked,*,"Bars, Clubs, Coffeehouses ",,Gallup,NM,,,,,1977
The Senate,Bar,,221 Galisteo,,**,"Bars, Clubs, Coffeehouses ","Definitely a gay bar with potential. Roomy, many tables, large dance floor, disco style music but no customers. ",Santa Fe,NM,,,,,1977
Lesbians for Liberation ,Organization,,332 Hudson Ave,checked,***(**),Organizations,PO Box 131 Tel 518 462 6138,Albany,NY,,,,,1977
Eightballs Lounge,Bar,,369 Central Ave,,**,,,Albany,NY,,,,,1977
A Woman's Place,Resort,,,checked,,,Tel 518 623 9541 Address A Woman's Place Athol. An Adirondack Mountain Retreat for women only. Send for their brochure. ,Athol,NY,,,,,1977
Gaslight House,Bar,,219 Washington,,****,"Bars, Clubs, Coffeehouses ",,Binghampton,NY,,,,,1977
Granny Goodness,Bar,,1180 Hertel Ave,,**,"Bars, Clubs, Coffeehouses ",Tel 716 877 9044,Buffalo,NY,,,,,1977
Sisters of Sappho,Organization,,1350 Main Street,,*****,Organizations,Tel. 881 5335 Switchboard. Their newsletter Lavendar Grapevine,Buffalo,NY,,,,,1977
Hibachi Room,Bar,,274 Delaware Ave,,**,"Bars, Clubs, Coffeehouses ",Tel 854 1453,Buffalo,NY,,,,,1977
Downtowner Lounge,Bar,,212 Franklin,,**,"Bars, Clubs, Coffeehouses ",Nice gay bar owner supportive to Gay Center,Buffalo,NY,,,,,1977
Emma,Bookstore,,17 Brewster Street,,,,,Buffalo,NY,,,,,1977
Mary's Grill,Bar,,112 Lake Street,,***,"Bars, Clubs, Coffeehouses ",,Elmira,NY,,,,,1977
Green Onion,Bar,,,checked,***,"Bars, Clubs, Coffeehouses ",,Elmira,NY,,,,,1977
The Laurel Tree,Bar,,,checked,***,"Bars, Clubs, Coffeehouses ",About 2 miles south on Falls Boulevard off Route 5. Conflicting reports (1) all gay weekends and holidays (2) It's gone totally straight. ,Chittenango,NY,,,,,1977
Mr. Chips,Hotel/Bar,,,checked,**,"Bars, Clubs, Coffeehouses ",RD No 1 Tel 518 792 9434,Lake George,NY,,,,,1977
Porthole,Bar,,75 Route 9 West,,***,"Bars, Clubs, Coffeehouses ",In Congers,Congers,NY,,,"In the scanned issue, it is listed under ""Jamestown/Congers/Nyack"" The description places it in Congers, so during the clean up process, I changed it to Congers",,1977
The Barn,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ","Route 9, about 20 minutes north of Albany. A
beautifully converted barn with downstairs lounge
and upstairs disco. “Right now it’s 80% gay men but
the gay women in the area are catching on fast and
catching up in numbers.”",Latham,NY,,,,,1977
Pat & Scottie's Lounge,Bar,,24 Ackerson,,**,"Bars, Clubs, Coffeehouses ",,Long Island,NY,,,,,1977
The Millstone,Bar,,,checked,*(?),"Bars, Clubs, Coffeehouses ",Across from the Racetracks,Bridgehampton,NY,,,,,1977
Out of this World,Bar,,Montauk Highway,checked,***,"Bars, Clubs, Coffeehouses ",Voyeuristic tourists in great abundance. ,Easthampton,NY,,,,,1977
Yoghurt Heaven,Restaurants,,23 Hewton Lane,,,,Woman owned,Easthampton,NY,,,,,1977
Chez Patchez,Bar,,,checked,***,"Bars, Clubs, Coffeehouses ",Ask locally,Easthampton,NY,,,,,1977
The Monster,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ",,Easthampton,NY,,,,,1977
Sea Shack,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ",,Easthampton,NY,,,,,1977
Blue Whale,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ",Home of the tea dance. Daily 5:30-7:30pm,Easthampton,NY,,,,,1977
Les Girls,Bar,,,checked,****(?),"Bars, Clubs, Coffeehouses ",,Easthampton,NY,,,,,1977
Sandpiper,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ",,Easthampton,NY,,,,,1977
Chardy's ,Bar,,2850 Ponds Road,,**,"Bars, Clubs, Coffeehouses ",Tel 516 588 6868 Lindernhurst/West Babylon,Lake Ronkonoma,NY,,,,,1977
Dockside,Bar,,771 South Ninth,,**,"Bars, Clubs, Coffeehouses ",Tel. 226 9838,Lake Ronkonoma,NY,,,,,1977
All the Queen's Women,Center,,163-23 Depot Road,,****,"Bars, Clubs, Coffeehouses ",Tel 762 9140 Lesbian Raps,Flushing,NY,,,,,1977
Guys and Dolls,Bar,,918 Straight Path,,**(?),"Bars, Clubs, Coffeehouses ",Tel 888 7557,Lake Ronkonoma,NY,,,,,1977
T.C. and Company,Bar,,121 Woodfield Road,,****,"Bars, Clubs, Coffeehouses ",Tel 516 486 95116 Open 7pm-4am Call for directions. We are friendly a different kind of women's bar. ,West Hempstead,NY,,,,,1977
Sister Bear,Feminist Bookstore,,401 First Street,,,,We sell Gaia's Guide,Liverpool,NY,,,,,1977
Majority Report,Newspaper,,74 Grove Street,,,,"Tel. (212) 691-4950. The most widely
circulated feminist newspaper in the world. International in scope and thoroughly revolutionary in
concept. Lots of lesbian news and information. 95.00
Per year",New York City,NY,,,,,1977
Betsy Ross Room,Bar,,73-13 37th Road,,**,"Bars, Clubs, Coffeehouses ",Tel 429 8605,Jackson Heights,NY,,,"Scanned issue lists this entry under ""Jackson Heights/Queens"" when I put the address in the geocoding tool, it came up as Jackson Heights, so I changed it to that",,1977
The Alley,Bar,,37th Avenue,checked,*,"Bars, Clubs, Coffeehouses ",Jackson Heights,Jackson Heights,NY,checked,,"Scanned issue has this listed under ""Jackson Heights/Queens"" and the description for this one states it is in Jackson Heights. During the clean up process I changed it to be Jackson Heights with no /",,1977
What a Dump,Bar,,7607 Roosevelt Ave,,***,"Bars, Clubs, Coffeehouses ",Jackson Heights,Jackson Heights,NY,,,"Scanned issue has this listed under ""Jackson Heights/Queens"" and the description for this one states it is in Jackson Heights. During the clean up process I changed it to be Jackson Heights with no /",,1977
Lesbian Switchboard,Services,,,checked,,,Tel 212 741 2610 Mon-Fri 6-9pm,Manhattan,NY,,,,,1977
Christopher Street,Services,,60 East 42nd Street room 411,,,,,Manhattan,NY,,,,,1977
Lesbian Feminist Liberation,Organization,,243 West 20th Street,,***(**),Organizations,,Manhattan,NY,,,,,1977
Identity House,Organization,,544 Sixth Avenue,,***(**),Organizations,"Tel.
243-8181. Free walk-in peer counseling for lesbians.
",Manhattan,NY,,,,,1977
The Homosexual Community Counseling,Organization,,30 East 60th Street,,,,Tel 212 688 0628,Manhattan,NY,,,,,1977
Lesbian and Lesbian Mothers at M.C.C.,Organization,,201 West 13th Street,,***(**),Organizations,7th Street Tel 212 688 0628,Manhattan,NY,,,,,1977
Beth Simchat Torah,Organization,,151 Bank Street,,,,Tel. 212 255 2599,Manhattan,NY,,,,,1977
The Women's Coffeehouse,Coffeehouse,,54  7th Ave South,,,,"Tel 691 8745 Events and happenings. Very, very highly recommended Monday is showcase night. ",Manhattan,NY,,,,,1977
Peeches,Bar,,Lexington Avenue between 81st and 82nd,checked,****,"Bars, Clubs, Coffeehouses ",Tel 650-0667. A place for cocktails and old fashioned dancing a place for us. Opened October 19 1976,Manhattan,NY,,,,,1977
Sahara,Bar,,1234 Second Ave at 65th Street,,****,"Bars, Clubs, Coffeehouses ",Tel 212 628 6099 An intimate private bar plus a showbar disco. It's about as highly recommended as you can get. ,Manhattan,NY,,,,,1977
The Other End,Bar,,149 Bleecker St,,**,"Bars, Clubs, Coffeehouses ",,Manhattan,NY,,,,,1977
El Cafe,Bar,,116 MacDougal Street,,****,"Bars, Clubs, Coffeehouses ","Tel 673 2970 Exclusively gay and very private on Fridays, Saturdays and Wednesday nights Latin Salsa music. ",Manhattan,NY,,,,,1977
Bonnie's Place,Bar,,100 Ninth Avenue,,****,"Bars, Clubs, Coffeehouses ",Tel 675 9401 Dancing,Manhattan,NY,,,,,1977
Bonnie & Clyde's,Bar,,82 West Third Street,,****,"Bars, Clubs, Coffeehouses ",Tel GR 39304 and upstairs there is Bonnie's Tel MS 3-9551. Open 4pm daily for cocktails. Dinner 5:30-11:30pm Sunday Brunch 1-4pm.,Manhattan,NY,,,,,1977
The Duchess,Bar,,70 Grove Street,,****,"Bars, Clubs, Coffeehouses ",,Manhattan,NY,,,,,1977
Ronnie's Roost,Bar,,2130 Broadway near 74th Street,,****,"Bars, Clubs, Coffeehouses ",In the basement of the Hotel Beacon Tel 874 9083 Quadrophonic music and pool table open 9pm-4am ever night. ,Manhattan,NY,,,,,1977
Tigress,Bar,,22nd Street,checked,****,"Bars, Clubs, Coffeehouses ","Between Broadway and Park Avenue South. Super bar/disco. $3.00 admission charge Friday and Saturday nights, get you one free drink. ",Manhattan,NY,,,,,1977
La Femme,Bar,,85 Washington Place,,****,"Bars, Clubs, Coffeehouses ",,Manhattan,NY,,,,,1977
Casa Maria,Bar,,53 West 19th Street,,****,"Bars, Clubs, Coffeehouses ",Between 5th and 6th Cocktail Lounge,Manhattan,NY,,,,,1977
Bon Soir,Bar,,40 West 8th Street,,**,"Bars, Clubs, Coffeehouses ",Tel 473 9879,Manhattan,NY,,,,,1977
