title,type,address,unclear.address,city,state,description,stars,star.type, mentions.race,mention.disability,notes,year
Wooden Shoe Books and Records,Alternative Bookstore,112 South 20th Street,,Philadelphia,PA,"(at Chestnut), -Tel 569-2477. Lesbian titles/ non-'adult' gay titles / women's studies/ magazines and newspapers/ posters/ buttons. MAIL ORDER They sell GAIA'S GUIDE",,,,,,1989
P.C. Club,Bars,615 Port Providence Road,,Montclaire,PA,-Tel 935 9341 & 384-6091,***(**),"Bars, Clubs, Coffeehouses",,,,1989
Town Tavern,Bars,41 North George St.,,York,PA,-Tel. 843-8591,**,"Bars, Clubs, Coffeehouses",,,,1989
Zack's Fourth Avenue,Bar / Restaurants,333 Fifth Ave,,Pittsburgh,PA,Spacious disco / comfortable dining area/ balcony bar. Thursday night is 'Ladies Night' (sic),**,"Bars, Clubs, Coffeehouses",,,,1989
Au Courant,Publications,222 North 11th St.,,Philadelphia,PA,19107 -Tel. (215)592-4615 Lesbian/ Gay newspaper. weekly. $34.00 p.a.,,,,,,1989
Metropolitan Community Church of Pittsburgh,Religious Groups,PO Box 19155,checked,Pittsburgh,PA,PO Box 19155. 15213 -Tel.681-1053.,,,,,,1989
The Springhouse,Guest Houses,PO Box 1234,checked,Doylestown,PA,"PO Box 1234, 18901 -Tel 794-7718 'exclusively for discriminating women.'",,,,,,1989
Gay Switchboard,Service,,checked,Philadelphia,PA,-Tel 546-7100. 6pm-11pm 7 nights a week.,,,,,,1989
Mildred's Sanitarium & Luncheonette,Restaurants,603 South 9th St.,,Philadelphia,PA,"-Tel. 925-1855 'Lesbian and Gay Pride, every day, every week, every year''. a fixed percentage of their weekly take is donated to local gay/ lesbian community projects and don'tcha love the name?",*,Restaurants,,,,1989
Rainbow Mountain Resort,Resorts/Hotels/Guest Houses,PO Box 788,checked,East Stroudsburg,PA,"Mail to R D 5, PO Box 788, East Stroudsberg,
18301; Tel 223 8484 A great resort all gay and 50% women",,,,,,1989
Elizabeth Blackwell Health Center for Women,"Health Centers / Counseling and Therapy, etc.",1124 Walnut Street,,Philadelphia,PA,-Tel. 923-7577.,,,,,,1989
The Bar,Bars,307 North River St,,Wilkes-Barre,PA,-Tel. 829-4444.,**,"Bars, Clubs, Coffeehouses",,,,1989
Candida,Bars,247 North 12th St.,,Allentown,PA,"-Tel. 434-3071
",**,"Bars, Clubs, Coffeehouses",,,,1989
Traveler's,Bars,6525 Hamilton Ave,,Pittsburgh,PA,Tel 661 0340. Restaurant/intimate lounge area / video screens / green room. Private club. Women's nights. Conflicting reports.,**,"Bars, Clubs, Coffeehouses",,,,1989
Tel-A-Woman,Service,,checked,Philadelphia,PA,Tel 563-8599 Women's info. exchange.,,,,,,1989
Wedgewood Bed and Breakfast Inn,Inn,111 West Bridge Street,,New Hope,PA,"18938 -Tel
(215)862-2570.",,,,,,1989
The Brewery,Bar / Restaurants,,checked,Pittsburgh,PA,Liberty at Herron Ave. (Arsenal) Tel 681 7991,*,"Bars, Clubs, Coffeehouses",,,,1989
Book Gallery,Feminist Bookstore,19 West Mechanic Street,,New Hope,PA,"18938-Tel (215)862-5110. Lesbian and feminist books/ stationery and ceramics. Fabulous selection of lesbian and feminist publications, music tapes/ CD's 7 videos. Run by friendly and knowledgable women Gallery upstairs, changing art exhibits.",,,,,,1989
Rainbow Mountain ,Resort,RD 5,checked,East Stroudsburg,PA,"RD 5, Box 788. 18301 Tel. 717-223-8484. Lodging/ disco/ swimming pool/ their own lake on 85 acres/ lots of seasonal activities. Gay women and men, about 50-50",,,,,,1989
Norreh Social Club,Bars,1226 Herron Ave,,Pittsburgh,PA,"Tel 682 9869 Private club-women
only on the top floor",**(**),"Bars, Clubs, Coffeehouses",,,,1989
Ladies for the 80's Hotline,Bars,,checked,Philadelphia,PA,Tel. (609)784-8341. Special women-only events that are attended by lesbians from PA / & NJ & NY... great parties and highly recommended.,(****),"Bars, Clubs, Coffeehouses",,,"Filed under Bars, but seems like a Service or Org",1989
The Raven,Bar / Restaurants,385 West Bridge St.,,New Hope,PA,at Raven Hall Motel; Tel. 862-2081 / 2,**,"Bars, Clubs, Coffeehouses",,,,1989
La Pierre,Bars,2523 Union Ave,,Altoona,PA,16602;. -Tel. 943-9134. Good sized bar/pool tables/drag shows,**,"Bars, Clubs, Coffeehouses",,,,1989
Metropolitan Community Church ,Religious Groups,,checked,Harrisburg,PA,-Tel 238-3746,,,,,,1989
The Westbury,Restaurants,13th Street at Spruce,checked,Philadelphia,PA,"13th Street at Spruce, -Tel 546-5170. Bar and restaurant, for lunch, dinner and Sunday brunch",*,Restaurants,,,,1989
Psychological Alternatives,"Health Centers / Counseling and Therapy, etc.",1326 Spruce Street,,Philadelphia,PA, 19107 -Tel. 546-1767.,,,,,,1989
Vaudeville,Bars,,checked,Scranton,PA,,,,,,,1989
C.R. Club,Bars,6405 Market St,,Upper Darby,PA,(Millbourne): -Tel. 352-9762,**,"Bars, Clubs, Coffeehouses",,,,1989
Raffles ,Bars,243 S. Camac St.,,Philadelphia,PA,Tel. 545-6969,**,"Bars, Clubs, Coffeehouses",,,,1989
Latimer Deli & Restaurant,Restaurants,255 South 15th St.,,Philadelphia,PA,-Tel 545-9244 / 545-9150,,,,,,1989
Strawberry Cafe,Bars,704 North Front St.,,Harrisburg,PA,(across from William Penn Museum),**,"Bars, Clubs, Coffeehouses",,,,1989
Blueberry Ridge,Resorts/Hotels/Guest Houses,67 Sullivan Trail,,Scotrun,PA,"Mail to: ROI-Box 67, Scotrun, PA; 18533-Location: 67,
Sullivan Trail, Scotrun, PA; 18355. -Tel. (717)629-5036 (PA) / or:
(718)729-1748(NY)-or write: G. Moran, 45-05 50th Avenue, Woodside, Queens, NY; 11377. Womyn's guest house. Pat & Greta offer you friendship and warmth in the company of women. 'Come & share a beautiful modern house with other women. Relax In our hot tub, sit on the
deck or next to the wood/ coal burning stove and have a panoramic view of the Delaware Water Gap. Stroll in the woods, or cook a romantic dinner. Spend time with your friends and I or share time with new friends.
In the winter, Camelback downhill ski area is closest or try cross-country skiing, ice skating
or sleigh riding. In the summer, canoe the Delaware, go white-water ratting, horseback riding, hiking, picnicing, golf, tennis, etc. Auctions are year round as is antique shopping and candle
shopping.' Say 'hi' to Pat & Greta from GAIA ..",,,,,,1989
Jackson's,Bar / Restaurants,1241 Penn Ave.,,Pittsburgh,PA,Strip District; -Tel. 391-1593,*,"Bars, Clubs, Coffeehouses",,,,1989
Waldorf,Restaurants,20th & Lombard Street,checked,Philadelphia,PA,20th & Lombard Street:· Tel. 985-1836,*,Restaurants,,,,1989
Les Femmes Unies,Archives / Libraries,PO Box 42833,checked,Philadelphia,PA,"PO Box 42833. Phila, 19101. Black Lesbians. Also see AU
COURANT",,,,,,1989
Drury Lane / Cafe Lafitte,Restaurants,1302-04 Drury Lane,,Philadelphia,PA,-Tel 546-2656.,,,,,,1989
The Pegasus,Bars,400-402 Forester St.,,Harrisburg,PA,nee (La Cage) -Tel 233-6800,**,"Bars, Clubs, Coffeehouses",,,,1989
The Archives,Bars,714 North 3rd Street,,Harrisburg,PA,-Tel 234-4207,**,"Bars, Clubs, Coffeehouses",,,,1989
Sundown Lounge,Bars,429 N. Mulberry St.,,Lancaster,PA,392-2737.,**,"Bars, Clubs, Coffeehouses",,,,1989
Paper Moon Restaurant,Restaurants,272 North Street,,Harrisburg,PA,Tel 233-0581,,,,,,1989
Gay / Lesbian Community Center,Gay / Lesbian Center,800 Wood Street,,Pittsburgh,PA,(suite 212) (Wilkinsburg). 15221. -Tel 243-4522. HOTLINE: M-F 6pm-9pm & Sun 1 pm-3pm,***,Organizations,,,,1989
R & K's Club (nee Lizzy Borden's),Bars,3412 W. 12th St.,,Erie,PA,"Tel 833 4360 ALL GAY
bar",**,"Bars, Clubs, Coffeehouses",,,,1989
Sneaker's,Bars,7 North 3rd St,,Philadelphia,PA,"-Tel. 922-9306. Disco / pool tables / highly
recommended.",**,"Bars, Clubs, Coffeehouses",,,,1989
The Marci,Bar / Restaurants,76 Walnut St,,Johnstown,PA,"- Tel 539 7214 Disco/ lounge / restaurant. Open 7 days
a week.",**,"Bars, Clubs, Coffeehouses",,,,1989
K'Saan,Retreat,,checked,Shohola,PA,"for reservations, write or call: Karen Doherty I Christine Nusse, 311
West 83rd Street, ('B'), New York, NY; 10024 -Tel. (212)595-2768. Located
about six miles west of the New Jersey and New York borders, K'saan is a
resort I cottage with a large, screened in porch with picnic table/ large kitchen
/ dining room/ 3 bedrooms/ full bath/ meditation room & books and tapes by
well known theologians and spiritual leaders, some recorded exclusively for
K'saan. Nearby are pre-colonial historical sites/ the Delaware River/ cross-country and downhill skiing. For rental by the week only from Memorial Day to
Labor Day at $300. 00 I weekends the rest of the year $150. -the cabin sleeps
6 comfortably. Fully furnished and equipped, you need bring only sheets,
towels and food. Available for use by individuals, couples or groups. Be sure
and say 'hi' from GAIA.",,,,,,1989
Philadelphia Gay News,Publications,254 South 11th St,,Philadelphia,PA,"Lots of local info. On sale at GIOVANNI'S ROOM,
or order from: 254 South 11th St; 19107 -Tel (215)625-8501.",,,,,,1989
Lavender Archives,Archives / Libraries,,checked,Philadelphia,PA,Tel 849-4612 also see AU COURANT.,,,,,,1989
Judy's ,Restaurants,3rd & Bainbridge,checked,Philadelphia,PA,"Tel 928-1968 Recommended by GIOVANNI'S ROOM.
'elegant food' apparently a bit on the expensive side, but worth it for a really special eating night out. Owned by 2 very nice women.",*,Restaurants,,,,1989
Combinations,Bars,,checked,White Haven,PA,"-Tel. 443-8616 PA turnpike to exit 35. rte 940 t0 White Haven, go
over Bridge, cross Main St take first right after RR tracks, 2 miles over 2nd RR track, then first right to large grey& brick building. Dance bar open 9pm-2am except Sunday",**,"Bars, Clubs, Coffeehouses",,,,1989
Lesbian Hotline,Service,,checked,Philadelphia,PA,"'-Tel. (215)222-5110 / operates from 6pm-9pm M/T/Th. -
their tape is fabulous: everything you need to know about the current lesbian
scene in Philadelphia-including SISTERSPACE happenings, local group info
& info about new and projected lesbian groups. (Nice voice, too)",,,,,,1989
Sisterspace,Service, PO Box 7935,checked,Philadelphia,PA,"Tel (215)476 2424- or write: PO Box 7935; 19101 Great events.
retreats. etc.",,,,,,1989
The Baron,Bar / Restaurants,437 York Road,,New Hope,PA,route 202; Tel. 862-9431,**(**),"Bars, Clubs, Coffeehouses",,,,1989
Golden Arrow,Bars,134 East Pittsburgh St.,,Greensburg,PA,Tel 834-9757,**(MGM),"Bars, Clubs, Coffeehouses",,,,1989
The Gay Beach,Gay Beach,,checked,Erie,PA,On Presquite Isle. Beach three & a half Weekends are best o.k. for gay women,,,,,,1989
Labyrinth,Publications," PO Box 42614,",checked,Philadelphia,PA,"PO Box 42614, Philadelphia; 19101 -Tel. (215)236-2096. Women's
newspaper.",,,,,,1989
Giovanni's Room,Gay / Lesbian / Feminist Bookstore,345 South 12th Street,,Philadelphia,PA,"19107-Tel. (215)923-2960 & mail order service phone: (800)222-6996. An FIFTEEN year old bookstore with a huge variety of feminist and lesbian titles, including many imports, foreign languages, etc. -non-sexist children's literature, posters, buttons, records, (women's music), videos, cards and gifts .. plus periodicals and newspapers, (Including LABYRINTH, PHILADELPHIA GAY NEWS, &AUCOURANT), guides, including GAIA'S GUIDE & feminist tarot cards and jewelry. Monthly MAIL ORDER BOOKLIST of new arrivals-. Bulletin board, ticket sales, local info, reading couches, authors nights. Your first stop in lesbian / feminist Philadelphia. Say 'hi' from GAIA . .. For your mail ordering convenience, they now have a toll-free number: 1-800-222-6996. (with credit card). A great way to buy GAIA'S GUIDE for $12.50 including postage and discretion.",,,,,,1989
D-Gem,Bars,4425 North Front St.,,Harrisburg,PA,-Tel 255-9488,**,"Bars, Clubs, Coffeehouses",,,,1989
Stonewall,Bars,28-30 North Tenth St,,Allentown,PA,-Tel. 432-0706.,**,"Bars, Clubs, Coffeehouses",,,,1989
Bloomer's ,Bars,27th & Jones Streets,checked,Pittsburgh,PA,-Tel 381-1700 Show bar Tape with events.,****,"Bars, Clubs, Coffeehouses",,,,1989
Lesbian and Gay Library of Philadelphia,Archives / Libraries,2500 Lancaster Ave,,Philadelphia,PA,"Community Education Center. -Tel. 726- 1970 for more information. Over 1000 books/periodicals, etc. -open 2 5pm.",,,,,,1989
Time Piece Lounge,Bars,1244 Argonne Drive,,Natrona Heights,PA,-Tel 224-5035,**,"Bars, Clubs, Coffeehouses",,,,1989
The Railroad House,Bar / Restaurants,Front & Perry Sts.,checked,Marietta,PA,Tel 426-4141,*,"Bars, Clubs, Coffeehouses",,,,1989
Mr. C's,Bars,112 West College Ave,,State College,PA,Tel. 234-1031 Gay Monday evenings only,(**),"Bars, Clubs, Coffeehouses",,,,1989
Women's Yellow Pages,Publications,PO Box 42397,checked,Philadelphia,PA,PO Box 42397; 19101 -Tel. 446-4747. Pick up your copy at GIOVANNI'S ROOM.,,,,,,1989
Newport Tavern ,Bars,149 Brown Street,,Philadelphia,PA,"Tel. 627-9152. Weds -Th. 5pm-midnight /
Fri. 9pm-2am / Sat. 9pm-2am / Sunday 4pm-midnight.",****,"Bars, Clubs, Coffeehouses",,,,1989
Tender Trap,Bars,229 S. Highland Ave,,Pittsburgh,PA,(Shadyside); -Tel. 362-8200. Two floor disco & piano bar,**,"Bars, Clubs, Coffeehouses",,,,1989
Karla's,Bar / Restaurants,5 West Mechanic,,New Hope,PA,Tel. 862-2612,**,"Bars, Clubs, Coffeehouses",,,,1989
Discrimination and Violence Information and Referral Service of the Philadelphia Lesbian and Gay Task Force,Service,,checked,Philadelphia,PA,"'-Tel. (215)563-4581-hours: Tuesday, Thurs & Fri. 5pm-9pm. If you have been the victim of. or witnessed: physical assault/ sexual abuse/ verbal abuse / vandalism, robbery or arson/ police harassment or brutality-or been fired or evicted, denied health care or admittance to bars. etc.",,,checked,checked,,1989
The Taco House,Restaurants,1218 Pine Street,,Philadelphia,PA,-Tel. PE5 1880.,*,Restaurants,,,,1989
Gay Switchboard,Gay Switchboard,,checked,Harrisburg,PA,'-Tel. 234-0328 (MON. -FRI. 6PM-10PM). -extremely helpful people.,,,,,,1989
Custody Action for Lesbian Mothers,Lesbian Mothers Organization ,PO Box 281,checked,Narbeth,PA,"PO Box 281,  19072. Tel. (215)667 -7508. Volunteer legal counseling and courtroom representation.",,,,,,1989
Gertrude Stein Memorial Bookstore,Feminist Bookstore,1003 East Carson Street,,Pittsburgh,PA,(Southside) Open Fri. 4-8pm / Sat & Sun noon-6pm,,,,,,1989
Safari Lounge,Bars,108 West Pittsburgh St.,,Greensburg,PA,-Tel 837-9948,**,"Bars, Clubs, Coffeehouses",,,,1989
Beth Ahava,Religious Groups,2116 Walnut St,,Philadelphia,PA,"19103. -Tel 569-3109. (LOX 3109). Gay Jews(why
else would they have LOX in their phone number??)-Services 1st /3rd/ 5th Friday of
each month",,,,,,1989
Amazon Country,Radio Program,,checked,Philadelphia,PA,"WXPN-FM. 88. 9FM. Sunday at 1-2pm. See AU COURANT for
other related programs including AMAZON GAYDREAMS",,,,,,1989
Glow,Special Interest Groups,PO Box 53431,checked,Philadelphia,PA,"PO Box 53431, Phila: 19105 Lesbians over 40. Also see AU COURANT.",,,,,,1989
Smitty's,Bars,330 West 26th St,,Erie,PA,(814)454 0877,**,"Bars, Clubs, Coffeehouses",,,,1989
Uncle's,Restaurants,1220 Locust,,Philadelphia,PA,"-Tel 546-6660. -Dinner· 5pm 11pm Sunday brunch
11am-5pm",*,Restaurants,,,,1989
Liza's Hideaway,Bars,Rte 618 Conneaut Lake,checked,Conneaut Lake,PA,16316 Tel 382 0081,**,"Bars, Clubs, Coffeehouses",,,,1989
Cartwheel,Bar / Restaurants,,checked,New Hope,PA,Route 202 -Tel. 862-0880,**,"Bars, Clubs, Coffeehouses",,,,1989
Woman Vision Books,Feminist Books - Mail Order,PO Box 387,checked,Springfield,PA,"PO Box 387, Springfield; PA; 19064 -Tel.
(215)622-2492.",,,,,,1989
Two-Four Club,Bars,1224 St. James Street,,Philadelphia,PA,"at DCA; Tel. 732-4377. After hours dance bar, a private club with lots of privacy. Recommended. ",****,"Bars, Clubs, Coffeehouses",,,,1989
Venture Inn,Bars,255 South Camac St. ,,Philadelphia,PA,"-Tel. 545-8731. Usually more gay men than women, but still o.k.--this is the oldest gay bar in the U.S.! --great food, it's extremely fresh and extremely cheap. Recommended.",**,"Bars, Clubs, Coffeehouses",,,,1989
J.J.'s Grotto,Restaurants,21st & Chestnut Streets,checked,Philadelphia,PA,"21st & Chestnut Streets: -Tel 988-9255. Restaurant bar featuring
pizza. pasta & salad",*,Restaurants,,,,1989
Nostalgia,Bars,1101 North 9th St,,Reading,PA,Tel 372 5557,****,"Bars, Clubs, Coffeehouses",,,,1989
Raffles,Bars,3 Farewell St,,Newport,RI,-Tel. 847-9663. Pleasant and friendly.,**,"Bars, Clubs, Coffeehouses",,,,1989
Gay Helpline,Service,,checked,Providence,RI,"-Tel. 751-3322, 7pm-11 pm daily.",,,,,,1989
Dorrwar Bookstore,Alternative / Feminist Bookstores,107 1/2 Hope St.,checked,Providence,RI,"Tel 5213230. Gay and feminist titles / posters / records / jewelry / T shirts / buttons / used books / periodicals / postcards / greeting cards. Children's section. Bulletin board and free films on women's and gay issues. They sell GAIA'S GUIDE. Say 'hi' from GAIA. Open 10am-6pm, Monday-Sat",,,,,,1989
Rhode Island Alliance for Lesbian & Gay Civil Rights,Gay / Lesbian Political Group,PO Box 5758,checked,Providence,RI,"PO Box 5758, Weybosset Hill Station. 02903,",,,,,,1989
Women's Growth Center,Service,97 Knowles St,,Pawtucket,RI,-Tel. 728-6023. This is a lesbian owned business offering a variety of social services and support groups utilizing a feminist approach. Call for appointment. Newsletter.,,,,,,1989
Sarah Doyle Women's Center,Centers,185 Meeting Street,,Providence,RI,"Tel. 863-2189. Home of the Brown Lesbian Collective, also open to all interested women in the Providence area. The center has a referral service, an extensive feminist library and resource files. They sponsor social, political and cultural activities and events of interest to women. Say 'hi' from GAIA. ",****(*),Organizations,checked,,"Unsure of historical use of ""brown"" at this time, but assuming its a signifier of race
",1989
Marty's ,Bars,176 Railroad Street,,Providence,RI,"(Central Falls), Tel 728 5460 3pm 1am, closed on
Mondays",****,"Bars, Clubs, Coffeehouses",,,,1989
Club 28,Bars,28 Prospect Hill,,Newport,RI,"-Tel. 847-9698. Neighborhood gay bar atmosphere
Weekends it's disco. Sunday tea-dance and 'Attitude Adjustment. all day Thursday, outdoor patio. open 7 days a week-noon-1 am.",**,"Bars, Clubs, Coffeehouses",,,,1989
Kings & Queens,Bars,285 Front St,,Woonsocket,RI,02895 -Tel. 762-9538,**,"Bars, Clubs, Coffeehouses",,,,1989
Brinley Victorian Inn,Guest Houses,23 Brinley Street,,Newport,RI,"02840. -Tel. 849-7645. 17 roomed, 9 with private bath, newly restored victorian guest house. Home baked continental breakfast/ immaculately clean / friendly service. Charming patio area. Rates: $65.00-$80. 00 with private bath (double). No dogs allowed. Clientele: gay and straight. Gay owned and operated, say 'hi' to Amy for GAIA.",,,,,,1989
Old Cabana,Bars,681 Valley St.,,Providence,RI,"02908 Tel 331 8355 Bar and restaurant. disco, pool tables. entertainment women entertainers every weekend Open Weds / Th / Sun 7pm-1 am & weekends and holidays 7pm-2am Very highly recommended Say 'hi' from GAIA",****,"Bars, Clubs, Coffeehouses",,,,1989
The Loft,Bar / Swimming Pool,,checked,Smithfield,RI,Farnum Pike. Tel 231-1180 Open 6pm-1am 7 days a week,**(MGM),"Bars, Clubs, Coffeehouses",,,,1989
The Narragansett Pier Inn,Guest Houses,7 Prospect Ave,,Narragansett,RI,02882 -Tel. 783-8090 Turn of the century ocean resort. Comfortable lodgings and hearty breakfasts. spacious treed grounds. Bed and breakfast from $40. 00-$50 00-year round. Judy Alexander. Innkeeper.,,,,,,1989
Dignity / Piedmont,Religious Groups,,checked,Greenville,SC,-Tel. 299-1847. Gay Catholics,,,,,,1989
Crews Inn,Bars,8 Pope Avenue,,Hilton Head,SC,"Executive Park; -Tel. 785-CREW. Disco/ late night dancing. Sat. & sun. beer busts, 3pm.",**,"Bars, Clubs, Coffeehouses",,,,1989
Dudley's ,Bars,346 King Street,,Charlestown,SC,(near Burns Alley): -Tel. 723-2784.,*,"Bars, Clubs, Coffeehouses",,,,1989
Metropolitan Community Church,Religious Groups,37 East Hillcrest Drive,,Greenville,SC,"29609-4706. write PO Box 6322: Greenville, SC: 29606-6322. -Tel. 233-0919.",,,,,,1989
Fifty Folly Place,Guest Houses,50 Folly Road,,Charlestown,SC,"-Tel. 571-4171. Bed & breakfast for gay
women & men.",,,,,,1989
Games,Bars,,checked,Columbia,SC,-Tel. 254-3077,**,"Bars, Clubs, Coffeehouses",,,,1989
Traces,Bars,416 Lincoln ,,Columbia,SC,-Tel. 256-1084.,**,"Bars, Clubs, Coffeehouses",,,,1989
Rap Around,Discussion Group,,checked,Greenville,SC,-Tel. 233-5780,,,,,,1989
The Mix,Bars,,checked,Charlestown,SC,-Tel. 723-4347,**,"Bars, Clubs, Coffeehouses",,,,1989
Partners,Bars,,checked,Columbia,SC,-Tel. 254-3077,**,"Bars, Clubs, Coffeehouses",,,,1989
Club Gemini,Bars,443 East Stone Avenue,,Greenville,SC,-Tel. 235-8175.,**,"Bars, Clubs, Coffeehouses",,,,1989
Metropolitan Community Church,Religious Groups,8 Archdale St,,Charlestown,SC,"-Tel. 723-2847.
Answering machine.",,,,,,1989
Sioux Empire Gay & Lesbian Coalition,Gay / Lesbian Organization,PO Box 220,checked,Sioux Falls,SD,"Box 220, Sioux Falls; 57101 -Tel. (605)332-4599. switchboard hours: 12 noon-3pm / 6pm-midnight. local info and referrals/ counseling and outreach/ educational services/ political and social interests. say 'hi' from GAIA.",,,,,,1989
Club 332,Bars,332 South Phillips,,Sioux Falls,SD,"Sioux Falls; -Tel. 335-9874. 8pm-2am 7 days a
week.",**,"Bars, Clubs, Coffeehouses",,,,1989
Gay Alternative - WEVL FM90.3,Radio Program,,checked,Memphis,TN,"Presented by MEMPHIS GAY COALITION,
Sundays 3pm.",,,,,,1989
The 8th Day,Bars,1382 Popular St,,Memphis,TN,Predominantly women.,****,"Bars, Clubs, Coffeehouses",,,,1989
R.M. Mills Bookstore,Bookstores,1817 21st Ave,,Nashville,TN,South; -Tel. 383-5520,,,,,,1989
The Chute,Bar / Restaurants,2535 Franklin Rd,,Nashville,TN,Tel 297-4571,*,"Bars, Clubs, Coffeehouses",,,,1989
Alternative (nee French Connection),Bars,598 Marshall ,,Memphis,TN,-Tel. 526-1038. Liquor-by-the-drink / free valet parking/master card & visa accepted / Sunday brunch & show-bar.,****,"Bars, Clubs, Coffeehouses",,,,1989
Dignity,Religious Groups,PO Box 9451,checked,Knoxville,TN,PO Box 9451: 37940-0451: -Tel. 577-3772,,,,,,1989
Go-Go Club,Bars,1077 Duncan Avenue,,Chatanooga,TN,-Tel. 698-1023,**,"Bars, Clubs, Coffeehouses",,,,1989
Gay Rights,Gay / Lesbian Group,,checked,Clarksville,TN,Tel. (615)645-7118,,,,,,1989
Book Cottage,Gay / Lesbian Bookstore,2113 Madison,,Memphis,TN,"(Overton Square), -Tel. 726-5857. Gay, lesbian &
feminist titles.",,,,,,1989
Latitude 85,Bars,2106A 8th Ave,,Nashville,TN,South; 37204- -Tel. 269-9150. Highly recommended. Say 'hi' from GAIA.,***,"Bars, Clubs, Coffeehouses",,,,1989
ETAL,Gay / Lesbian Group,PO Box 23063,checked,Johnson City,TN,"write ETAL, Box 23063: 37614 -Tel. 753-6237",,,,,,1989
World's End,Bar / Restaurants,1713 Church St.,,Nashville,TN,-Tel. 329-3480,**,"Bars, Clubs, Coffeehouses",,,,1989
Women's Resource Center,Centers,1608 Woodmont ,,Nashville,TN,1608 Woodmont YWCA. -Tel. 385-3952. General services for women.,,,,,,1989
B. Palola's ,Bar / Restaurants,1812 Hayes St,,Nashville,TN,Tel.320-0713,*,"Bars, Clubs, Coffeehouses",,,,1989
J-Wag's Lounge and Restaurant,Bar / Restaurants,1268 Madison Ave,,Memphis,TN,"38104/(at Claybrook)
-Tel. 726-9011. Memphis' only 24-hour gay bar(BYOB). Patio/food /wide screen TV / twin bar/ game room/ mixed crowd: drag/ leather/ -men and women. J-WAGS is the home of WINGS, a leather club & MEN OF LEATHER, shop is also located in the bar. The gay card and gift shop ENCORE has a door into the bar. Say 'hi' from GAIA",**(MGM),"Bars, Clubs, Coffeehouses",,,,1989
The Office,Bars,130 Franklin St,,Clarksville,TN,-Tel. 645-1157.,**,"Bars, Clubs, Coffeehouses",,,,1989
Warehouse 28,Bars,2529 Franklin Road,,Nashville,TN,"37204-(near Woodmont). -Tel. 385-9689.
Disco and show bar. Closed Mon. & Tues. , open all other days, 9pm-3am.",**,"Bars, Clubs, Coffeehouses",,,,1989
The Cabaret,Bars,1711 Hayes Street,,Nashville,TN,-Tel. 320-7082,**,"Bars, Clubs, Coffeehouses",,,,1989
Dr's,Bars,12 N. Cleveland,,Memphis,TN,-Tel. 726-9245. Mixed gay women & men.,**,"Bars, Clubs, Coffeehouses",,,,1989
National Organization for Women (NOW),Organizations,PO Box 40928,checked,Memphis,TN,Box 40928: 38104. -Tel 458-1661,,,,,,1989
The Pepper Tree,Bar / Restaurants,317 North Gay Street,,Knoxville,TN,"-Tel. 525-5647. Disco, deli restaurant, lounge and bar & 2 level patio. Open 11. 30am-2: 30am. closed Mondays Recommended gay complex.",**,"Bars, Clubs, Coffeehouses",,,,1989
Veteran's Cab,Taxi Cabs,,checked,Memphis,TN,-Tel. 525-3535,,,,,,1989
Nashville Metropolitan Community Church ,Religious Groups,131 15th Ave,,Nashville,TN,"North;
-Tel. 320-0288",,,,,,1989
Upstage 54,Bar / Restaurants,1501 White,,Knoxville,TN,Tel 522-6966,**,"Bars, Clubs, Coffeehouses",,,,1989
P.W. Bumps,Bars,238 N. Cleveland,,Memphis,TN,-Tel. 726-9953,**,"Bars, Clubs, Coffeehouses",,,,1989
The Connection,Bars,429 West Walnut,,Johnson City,TN,-Tel. 928-9925,**,"Bars, Clubs, Coffeehouses",,,,1989
Metropolitan Community Church of the Tri-Cities,Religious Groups,PO Box 1512-37605-1612,checked,Johnson City,TN,"PO Box 1512-37605-1612: -Tel. 349-7707 Services at: Holston Valley Unitarian Church. Route 6: Box 451 A, Exit 45, Interstate Highway 181, in Gray.",,,,,,1989
Womankind Health Service,Health Clinic,1727 Church St,,Nashville,TN,"-Tel. 329-1478. Feminist, confidential clinic.",,,,,,1989
George's,Gay Complex,600 Marshall St,,Memphis,TN,-Tel. 526-1038. Recommended.,**,"Bars, Clubs, Coffeehouses",,,,1989
Healthy Trading,Restaurants,1783 Union Ave,,Memphis,TN,,*,Restaurants,,,,1989
Lord Lindsay's,Restaurants,615 Hill Ave,,Knoxville,TN,"-Tel. 522-2178. Gay owned and operated. Open
11am-12am.",,,,,,1989
The Office,Bars,130 Franklin St,,Chatanooga,TN,-Tel. 645-1157.,**,"Bars, Clubs, Coffeehouses",,,,1989
Alan Gold's,Bar / Restaurants,1100 McCallie Ave,,Chatanooga,TN,"37404. Write: PO Box 1093; 37401 -Tel. 629-8080. Lesbian / Gay bar and restaurant. Dancing, live entertainment. women entertainers. Open daily 5pm-3am. TV lounge, patio. pool table. great deli sandwiches. Say 'hi' from GAIA.",**,"Bars, Clubs, Coffeehouses",,,,1989
The Jungle,Bar / Restaurants,306 4th Ave,,Nashville,TN,Tel. 256-9411. Plus shows and patio.,*,"Bars, Clubs, Coffeehouses",,,,1989
Women's Music and Camping Retreat,Retreat,,checked,Counce,TN,"write: Guinn-Gaylor WMCR, Rt. 1, Counce. TN; 38326-located 40 miles east of Memphis. Say 'hi' from GAIA.",,,,,,1989
Georgetown Inn,Hotel,628-630 Madison Ave,,Memphis,TN,38103-Tel. 525-0725,,,,,,1989
