title,type,statewide.address,address,unclear.address,city,state,description,stars,star.type,Mentions Race?,Mentions Disability?,notes,year
Klamath Gay Union c/o Tomera,Group,,428 S 9th St,,Klamath Falls,OR,97601. Newsletter. ,*,"Bars, Clubs, Coffeehouses",,,,1979
The Book and Tea Shop,Feminist Bookstore,,146 E 19th St,,Eugene,OR,Tel. 344-3422. A unique Tea Shop. ,,,,,,1979
Book Stall,Bookstores,,Hermiston Ave ,checked,Hermiston,OR,"Creamery Annexe, Hermiston Avenue; 97838. Feminist titles. ",,,,,,1979
Portland Town Counsil,Organization and Service,,320 SW Stark ,,Portland,OR,"Room 506; 97204. Tel. (503) 227-2765. Office, library, regular meetings, social and political activities, referrals and education. Their publ: 'Gay Rights' free upon request, has monthly events calendar. ",***(**),Organizations,,,,1979
Women's Place and Resource Center,Organization and Service,,1915 NE Everett,,Portland,OR,97232. Tel. (503) 234-7044. Lesbian rap groups and all women school. ,****,Organizations,,,,1979
Continuity Guild ,Organization and Service,,,checked,Portland,OR,contact Portland Town Council for full details. An organization designed to serve the older gay woman and man. ,,,,,,1979
Rising Moon ,Bars,,413 W. Burnside,,Portland,OR,"97209. Tel. 223-0363. Open: 6:30pm-2:30am daily. ""We serve a variety of sandwiches, including a vegie, fruit juices, chips, etc. We have disco dancing Friday and Saturday nites from 9:30pm (50 cent cover charge), 2 pool tables (free pool between 6:30 and 8:30 pm Friday and Saturday nites and all nite Sundays), pin ball, football. We do community benefits, dance marathons and sponsor a softball team. Occasional entertainment. We are a pretty mellow bar during the week and usually crowded at weekends because of the disco. We have a cross-section of women from political to professional. We feel that women can be as comfortable here as they choose to be."" Highly recommended. ",****,"Bars, Clubs, Coffeehouses",,,,1979
Darcelle XV Tavern ,Bars,,208 NW 3rd St,,Portland,OR,Tel. 222-5338. Open: 11am-2:30am Mon-Fri; 4:30pm-2:30am Sat and Sun. Shows. ,***,"Bars, Clubs, Coffeehouses",,,,1979
Magic Garden,Bars,,217 NW 4th Ave,,Portland,OR,,***,"Bars, Clubs, Coffeehouses",,,,1979
Wilde Oscar's ,Restaurants,,318 SW 3rd ave,,Portland,OR,"(Bar/Restaurant), 318 SW 3rd Avenue; 97201. Tel. 223-8620. Open: Mon-Fri: 11am-1am; Sat: Noon-2:30am; Sunday; 4pm-midnite. ""We serve high quality, varied menu. Each order is done individually. Such specialities as French onion soup, English pork pies, beef cornish pasties and hot seafood sandwiches. Pool table. Outdoor courtyard in warm weather. Chequers, chess and cribbage. Wilde Oscar's specializes in good pub-style food mellow music (folk, classical, jazz) and a highly conversational, relaxed atmosphere. We boast a vintage turn-of-the-century oak bar in tasteful ambience."" Gay community minded and very highly recommended. ",**,Restaurant,,,,1979
Rhondee's ,Restaurants,,1014 SW Stark,,Portland,OR,,*,Restaurant,,,,1979
Dahl & Penne's  ,Bars,,604 SW 2nd ,,Portland,OR,"(at Alder). Tel. 228-7469. Shows, pin ball, pool table, future plans include stage shows. ",**,"Bars, Clubs, Coffeehouses",,,,1979
Zorba's ,Bars,,626 SW Park Ave,,Portland,OR,"97205. Tel. 227-0867. Open: 6pm-2:30am. ""My establishment is mixed gay women and men and that's the way it should be in all gay bars. We are all in this gay life together and we should should work together..."" No full dinners as yet, just sandwiches for now. Dancing, pool table, future plans include stage shows. ",**,"Bars, Clubs, Coffeehouses",,,,1979
Mountain Moving Cafe,Feminist Coffeehouse,,532 SE 39th St,,Portland,OR,"97215. Tel. 236-7541. Open: Thurs Sun: 11am-11pm; Sunday Brunch: 10am-1pm. ""Nice atmosphere, live music and assorted types of entertainmetn. We welcome gay people- we are a collective of lesbian women."" Vegetarian menu, dancing, films, speakers, poetry kids nite (Fridays). ",**(**),"Bars, Clubs, Coffeehouses",,,,1979
The Embers,Restaurants,,739 SW Park,,Portland,OR,,MGM*,Restaurant,,,,1979
A Woman's Place Bookstore,Bookstores,,1300 SW Washington,,Portland,OR,"97205. Tel. (503) 226-0848. ""We sell books periodicals, posters, records, buttons, notecards and more. Also, a free lending library; referrals and bulletin board with monthly newsletter, bookvan; space for women to enjoy but since we are a business, law says we cannot turn men away though sometimes we do."" Their newsletter: 'Women's Place', monthly. ",,,,,,1979
Portland Thrift Center,Shop,,4609 11 SE Hawthorne,,Portland,OR,"(S.E. 26th and Clinton). Tel. 232-2699. ""We have a huge supply of clothing, books, albums, small appliances, household items.""",,,,,,1979
Don's Breezewood,Bars,,3600 N River Road,,Salem,OR,,**,"Bars, Clubs, Coffeehouses",,,,1979
Tara's Pub,Bars,,2290 Front St,,Salem,OR,(Pine Street). Just gay men??,**,"Bars, Clubs, Coffeehouses",,,,1979
Keep Listening ,Wilderness Trips,,PO Box 446,checked,Sandy ,OR,"97055. Tel. (503) 622-3895. Wilderness trips for women. ""Keep listening offers a year round program of guided backpacking, bicycling and cross-country skiing trips for women (some trips for women and children), led by women. Equipment, food, transportation, instruction are provided. Camping skills and environmental awareness are taught. Financial aid is available for all sessions."" ",,,,,,1979
The Wooden Shoe Tavern,Bars,,1391 Broadway,,Salem,OR,(Hood Street). Tel. 585-2221. Just gay men??,**,"Bars, Clubs, Coffeehouses",,,,1979
The Castaway's Inn,Bars,,629 Front St,,Cresson,PA,"16630. Tel. (814) 886-9931. Open: Mon-Sat 90m-2am. ""We welcome gay women, about 40% gay women on Friday and Saturday. Other nights it's mostly gay men."" Dancing, entertainment, pool table, four big weekend parties each year. Food (deli-style sandwiches, pizza), and they will cater for any group or person with advanced notice. Highly recommended. ",**,"Bars, Clubs, Coffeehouses",,,,1979
Washington Grill,Bars,,W 10th,checked,Erie,PA,West 10th and Washington. ,***,"Bars, Clubs, Coffeehouses",,,,1979
The Waterfall,Bars,,116 Market St,,Elizabeth,PA,Tel. (412) 384-9807. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Danny's Hideaway,Bars,,Route 220,checked,Duncansville,PA,R.D.1,***,"Bars, Clubs, Coffeehouses",,,,1979
The City Squire Club,Bars,,1248 Brown Ave,,Erie,PA,"16503. Tel. 454-0007. Open: 6pm-3am. Private club. Lighted dance floor disco dancing, entertainment, food. ""We are a gay nightclub with women management. We opened a year ago and now own and manage a new hotel- the Kelso Beach Hotel."" Very highly recommended. ",***,"Bars, Clubs, Coffeehouses",,,,1979
Midtown Lounge,Bars,,723 French St,,Erie,PA,Open daily till 2am. Dancing. ,*,"Bars, Clubs, Coffeehouses",,,,1979
Switchboard,Services,,PO Box 872,checked,Harrisburg,PA,(717) 234-0328. Mail P.O. Box 872; 17108. ,,,,,,1979
The Kelso Beach Hotel ,Resort/Hotel,,3188 Lake Front,,Erie,PA,"Tel. 838-7913. ""The Kelso Beach Hotel is the beginnings of a gay resort. It has two floors (one with entrance to the beach). There are rooms for rent weekdays and/or weekends. Female management. Breakfast and lunch are served. Lighted dance floor and live bands on occasions."" Very highly recommended. Owned and managed by same people as City Squire Club (See Bar listing). ",,,,,,1979
The Golden Arrow,Bars,,103 W Pittsburgh St,,Greensburg,PA,,*,"Bars, Clubs, Coffeehouses",,,,1979
La Rose Rouge,Bars,,400 N 2nd St,,Harrisburg,PA,"(formerly Dandelion Tree), 400 North 2nd Street. Open: 4pm-2am. Dancing. ",**,"Bars, Clubs, Coffeehouses",,,,1979
De-Gem,Bars,,4425 N Front St,,Harrisburg,PA,17110. Dance bar. Recommended. ,***,"Bars, Clubs, Coffeehouses",,,,1979
Gay Community Services,Services,,PO Box 297,checked,Harrisburg,PA,Federal Square Station; 17108. Tel. (717) 232-2027. Their publ: 'Gay Circle'. ,*,Center,,,,1979
The Closet Lounge,Bars,,,checked,Landisville,PA,Boulevard and Auburn. Tel. (609) 697-9801. Dancing nitely. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Tally Ho,Bars,,201 W Orange,,Lancaster,PA,Also includes the Loft Restaurant. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Local Information from Lancaster Gay Switchboard,Switchboards,,,checked,Lancaster,PA,"(717) 898-2876 Wed-Sun: 7pm-10:30pm. ""We're here, but not only for gay men."" ",,,,,,1979
Lancaster Women's Center,Center,,230 W Chestnut St,,Lancaster,PA,"Women-oriented women meet every Sunday from 7-9pm. Check with 'Gay Era' (under Publications) for correct, current details. ",****(*),Center,,,,1979
Gay Era ,Publications,,332 N Mulberry St,,Lancaster,PA,"17603. Monthly: 12 issues $5. From rural Pennsylvania comes this refreshingly non-sexist new gay magazine. News and photographs, events calendar and a sense of humor. ",,,,,,1979
Prelude,Bars,,202 West St,,New Hope,PA,Tel. 862-5025. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Old Cartwheel Inn,Bars,,437 Old York Rd,,New Hope,PA,"18938. Tel. (215) 862-5125. Check on their opening hours. $5 admission at weekends (plus one free drink) or annual discount cards for $10 and $2 admission plus free drink."" Early 18th century Bucks County Inn. Piano bar and disco. Soon to have hotel accommodation. Outdoor garden in summer. Snax and foods served-full scale restaurant soon. Most nights 20% gay women. Saturday nites are tourist nites and there are some straights. I.D. required fro admission. Animosity at minimum - motto over front door... 'This is a gay bar- enter with an open mind'."" Also pool table, pin ball. ",**,"Bars, Clubs, Coffeehouses",,,,1979
The Railroad House,Bars,,Front St and Perry St,checked,Marietta,PA,"Front and Perry Street. Tel. (717) 426-9811. Sundays only 4pm-2am. ""Bored on Sundays?... get dancing at the afternoon Sunday disco..."" ",**,"Bars, Clubs, Coffeehouses",,,,1979
Holiday Bar,Bar,,4620 Forbes Ave,,Oakland,PA,"(between Pit and CMU). Tel. 682-8598. Open: 2pm-2am, except Sundays. 40% gay women. ",**,"Bars, Clubs, Coffeehouses",,,,1979
Captain's Cove Bar/Riverboat Restaurant,Bar/Restaurant,,,checked,New Hope,PA,"at the Holiday Inn of New Hope; 18938. Tel. (215) 862-5221. Open: Mon-Sat: 11am-2am; Sun: 1pm-2am. Restaurant open for breakfast, lunch and dinner all the year round: 6:30am-1:30pm. ""We have a failry sizable gay crowd of women and men due to the New Hope area and the two locally gay discos. Also our staff is mixed and we are very opposed to any discrimination."" ",*,"Bars, Clubs, Coffeehouses",,,,1979
C.J.'s Phase II,Bar,,4257 Verona Rd,,Penn Hills,PA,"Tel. 243-9996. Open daily till 2am. Dancing, food. ",**,"Bars, Clubs, Coffeehouses",,,,1979
Philadelphia New Gay Life ,Magazine,,PO Box 13420,checked,Philadelphia,PA,19101. Tel. (215) 848-3915 or 545-3110. Monthly. 75 cents per copy or $7 per year. Very sophisticated and totally non-sexist. Includes a useful state-wide gay directory and a regular 'announcements' column and media coverage. ,,,,,,1979
Gay News/Philadelphia,Newspaper,,233 S 13th St,,Philadelphia,PA,"19107. Tel. (215) 732-3334. Non-sexist Gay oriented newspaper with the emphasis on local news. Detailed resource list covers Philadelphia/the rest pf Pennsylvania, New Jersey and Delaware. Also events calendar. Bi-weekly. Sample copy free upon request. Subs: $7 per year third class; $12 first class. ",,,,,,1979
Gay Switchboard of Philadelphia,Organization and Service,,326 Kater St,,Philadelphia,PA,(215) 928-1919.326 Kater Street; 19147; Mail: PO Box 15748; 19103. ,,,,,,1979
Upstairs,Bars,,26 S Front St,,Philadelphia,PA,(between Market and Chestnut). ,****,"Bars, Clubs, Coffeehouses",,,,1979
"Gay Women's Alternative at Amazons, Inc",Organization and Service,,2114 Locust St,,Philadelphia,PA,19103. Tel. (215) 928-1919. ,**,Organizations,,,,1979
"Gay Community Center of Philadelphia, Inc. ",Organization and Service,,326 Kater St,,Philadelphia,PA,"19147. Tel. (215) 922-1623- Switchboard. Center and coffeehouse. ""We provide an informal coffeehouse atmosphere for gay people, specifically geared to gays but all are welcome and some straights do attend. Regular live entertainment-folk, classical and occasional poetry and prose readings.""",***,Organizations,,,,1979
D.C.A Woman's Bar,Bars,,204 S. Camac St,,Philadelphia,PA,"Tel. 735-5772, ""Men arriving with women are welcome but not encouraged. $5 per annum membership; must have a sponsor."" Open: Wed, Fri, Sat & Sun: 10pm-3am. ",****,"Bars, Clubs, Coffeehouses",,,,1979
"Amazons, Inc. ",Organization and Service,,2114 Locust St,,Philadelphia,PA,19103. Tel. 545-9475 or SA9-2001 (Lesbian Hotline). ,*****,Organizations,,,,1979
PBL,Bars,,204 S. Quince St,,Philadelphia,PA,Tel. 924-9524. Dancing. Membership is $3 per year with a sponsor. ,***,"Bars, Clubs, Coffeehouses",,,,1979
Letters,Bars,,2201 South St,,Philadelphia,PA,"19146. Tel. (215) K16-5099. Open: Tues-Sat: 9pm-2am (may soon reopen on Sundays). ""Very sophisticated decor. Two other bars, including on quiet lounge area, on second floor. Two other bars, including one quiet lounge area, on second floor. Two dance floors, one having a 3-tier stage, laser beam light show- sound system best in Philly. Predominantly black clientele 99% gay and 30% of those women. Mixed staff. No hassles from straights . Licensed D.J. with latest music."" also snax, and live bands usually on Wednesday nites from 10pm. Recommended. ",**,"Bars, Clubs, Coffeehouses",,,,1979
"Sneakers, Inc",Bars,,7 N 3rd St,,Philadelphia,PA,"(vicinity of 3rd and Market); 19106. Tel. (215) 922-9306. Open: Mon-Sat 8pm-2am; Sun: 3pm-midnight. ""First floor is Tudor in decor with one bar and dance floor; second floor is sea decor with one bar and dance floor; third floor is the game room with juke box music. The entire atmosphere of Sneakers is warm, cozy and friendly. 100% women although when women do bring gay men in they are most welcome."" Woman-owned. Two bars, two dance floors, game room, softball and volleyball teams. Sandwiches available during week, hot and cold brunch/buffet on Sundays from 3-5pm. Recommended. ",****,"Bars, Clubs, Coffeehouses",,,,1979
The Leff Bank,Bars,,782 S 2nd St,,Philadelphia,PA,"Tel. 922-9821. Open: 3pm-2am Mon-Sat. ""Disco dancing nitely. Fine Italian food from the kitchen Weds-Sat. Weekend entertainment."" ",****,"Bars, Clubs, Coffeehouses",,,,1979
Grendel's Lair- Cafe Theater,Bars,,500 South Street,,Philadelphia,PA,"Tel. (215) WA3-5559. ""Discomania is every Wed-Sat. nites... to have one of the wildest nights in center city. Great music, theater, food and Sunday brunch... a good time had by all.""",**,"Bars, Clubs, Coffeehouses",,,,1979
Astral Plane,Restaurants,,1708 Lombard St,,Philadelphia,PA,"19147. Tel. (215) K166231. Open: Monday-Friday noon-2pm (lunch); Sun: noon-4pm(brunch); Sun-Thurs: 5:30-11pm (dinner); Fri & Sat: 5:30-midnite (dinner). ""We are a progressive bar and restaurant and we traverse the time line anywhere between ancient history and the future. All things are possible on the Astral Plane. Variety of food- creative cooking, exotic bar. Fun working staff and fine music.""",*,Restaurant,,,,1979
The New Farmer's Place,Bars,,782 S 3rd St,,Philadelphia,PA,"(Queen Village). ""Small and cozy where you can talk without being done in by loud music. There is a juke box and a dance floor. Right now it's open three nites a week: Wed, Fri & Sat."" Gay women and men, some straights. Women-owned. ",**,"Bars, Clubs, Coffeehouses",,,,1979
Backstage ,Restaurants,,614 South St,,Philadelphia,PA,"(on Fourth); 19147. Tel. (215) MA7-9887. ""East excellent food, drink fabulous cocktails, dine in an exquisite room and sit on some celebrities lips."" Recommended for women. ",*,Restaurant,,,,1979
Equus,Bars,,254 S 12th St,,Philadelphia,PA,Tel. 545-8088. bar/restaurant welcoming all gay people. MGM. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Judy's Cafe,Restaurants,,S 3rd and Bainbride,checked,Philadelphia,PA,South East Corner of Third and Bainbridge. Tel. 928-1969. ,*,Restaurant,,,,1979
Dee's Place,Restaurants,,512 South St,,Philadelphia,PA,,*,Restaurant,,,,1979
La Banane Noire,Restaurants,,201 N 3rd St,,Philadelphia,PA,Tel. 627-9429. ,*,Restaurant,,,,1979
Cafe Zaza,Restaurants,,3rd St & Race St,checked,Philadelphia,PA,"Third & Race Streets (above the Black Banana). Inexpensive meals, dancing and a cozy bar. New in June '78. ",*,Restaurant,,,,1979
Women's Cultural Trust Bookstore ,Bookstores,,3601 Locust Walk,,Philadelphia,PA,"19174. Tel. (215) 243-5110. ""We carry books, records, posters, jewelry, T-shirts, etc. of interest to lesbians and other women."" ",,,,,,1979
Together Books,Bookstores,,233 S 13th St,,Philadelphia,PA,"19107. Tel. (215) 732-3334. ""A gay-feminist bookstore carrying magazines, newspapers from around the country, jewelry, house plants as well as books. We publish 'Gay News' on the premises and we sell Gaia's Guide."" ",,,,,,1979
Cafe Lafitte,Restaurants,,1304 Drury St,,Philadelphia,PA,Tel. 545-8954. ,*,Restaurant,,,,1979
Giovanni's Room,Bookstores,,1426 Spruce St,,Philadelphia,PA,"19102. Tel. (215) 732-9612. ""The world's largest gay bookstore- we also carry records, jewelry, T-shirts, etc. Large herstory/non-sexist children's literature, sections on psychology, feminist science fiction. Reviews and mail order catalog: $1. We sell Gaia's Guide.""",,,,,,1979
The Parrot's Perch,Gay Gift Shop,,1125 Walnut St,,Philadelphia,PA,Gay greeting cards and gifts. ,,,,,,1979
Shawn's ,Bars,,1209 5th Ave,,Pittsburgh,PA,"15219. opne: Mon-Sat: 7:30-2am. ""Warm and friendly, very comfortable."" Dancing, entertainment, pool table, pin ball, food. Very highly recommended. ",****,"Bars, Clubs, Coffeehouses",,,,1979
"Pittsburgh Gay Life, c/o GNC Inc. ",Publications,,5907 Penn Mall,,Pittsburgh,PA,"Room 210; 15206. Tel. (412) 361-8704. $7.50 per year. Gay bar oriented. Small, glossy, snappy, full of groovy, camp photos and up-to-the-minute references and information. Very Pittsburgh. Published 1st of each month. ",,,,,,1979
Pittsburgh Gay News,Publications,,233 S 13th St,,Philadelphia,PA,19107. $12 per year. Monthly. Big and gay-good resources. ,,,,,,1979
Norreh Social Club,Bars,,1226 Herron Ave,,Pittsburgh,PA,"15219. Tel. 682-6839. Private Club. Open: Mon-Sat: 8pm-3am; Sun: 3pm-3am. ""This is a three-floor bar: first floor is mixed 50/50 gay women and men; second floor is females only; basement is western and leather. Dancing, occasional entertainment, pool table, pin ball. We serve the best food in town."" Highly recommended. ",**(**),"Bars, Clubs, Coffeehouses",,,,1979
"Persad Center, Inc. ",Center,,5100 Center Ave,,Pittsburgh,PA,"Suite 226 (Shadyside). Tel. (412) 681-5330, 24-hour emergency phone. Individual and group counseling, C-F, library, research, education, speakers bureau, women's courses. ",,,,,,1979
Home Circle Club,Bars,,100 Vinial St,,Pittsburgh,PA,"(Northside); 15212. Tel. (412) 231-9963. Private club. Open: 8pm-3am daily, except Sundays when they open at 4pm. ""Large bar, piano bar, game room, disco dancing (oldies once a month), live shows (not drag), seating for 100, kitchen (general cuisine, we specialize in late-nite breakfasts), club 'outings' during the summer."" Very highly recommended. ",***,"Bars, Clubs, Coffeehouses",,,,1979
2001 Club,Bars,,W General Robinson St,checked,Pittsburgh,PA,West General Robinson Street (next to 3 Rivers Stadium Northside). B.Y.O.B. disco till dawn Saturday nights only. Admission: $3. Jeans discouraged. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Venture Inn,Bars,,923 Liberty Ave,,Pittsburgh,PA,Tel. 566-8887. Open: 2pm-2am; closed Sunday's. 30% gay women. ,**,"Bars, Clubs, Coffeehouses",,,,1979
El Greco,Bars,,136 9th St,,Pittsburgh,PA,Tel. 765-2802. Open daily till 2am. Mixed. ,**,"Bars, Clubs, Coffeehouses",,,,1979
House of Tilden,Bars,,6308 Penn Ave,,Pittsburgh,PA,(East Liberty). Tel. 362-6517. Private club. ,**(**),"Bars, Clubs, Coffeehouses",,,,1979
Glass Door,Bars,,N 5th St,checked,Reading,PA,300 Block off North 5th Street. ,**,"Bars, Clubs, Coffeehouses",,,,1979
The Tender Trap,Bars,,229 S Highland Ave,,Pittsburgh,PA,"(formerly Trap-Eze), 229 South Highland Avenue (Shadyside). tel. 362-8200. ""Divided into four distinct environments- there are two dance floors, courtyards, fountains, a real living-room and a long bar."" Opened in the Spring of '78 and plans now include food service and regular entertainment. And owners Mike and Jeff say ""We welcome all gay people, women and men.""",**,"Bars, Clubs, Coffeehouses",,,,1979
This Is It,Bars,,8th and Walnut,checked,Reading,PA,8th and Walnut. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Birmingham Booksellers,Bookstores,,2222 E Carson St,,Pittsburgh,PA,"15203. Women's books, lesbian titles. ",,,,,,1979
Red Star Baloon,Bars,,143 N 10th St,,Reading,PA,,**,"Bars, Clubs, Coffeehouses",,,,1979
Paradise Cove Hotel,Hotel/Bar,,,checked,Schenley,PA,"15682. 3 miles north of Leechburg, left off Route 66N. Tel. (412) 295-2070. ""Bar open every Saturday night from 10pm. Rooms available- stay all night. Just for the gals: Bottled-beer busts on Saturday nights."" ",**,Lodging,,,,1979
Cafe de Mitri,Bars,,237 Wyoming Ave,,Scranton,PA,,**,"Bars, Clubs, Coffeehouses",,,,1979
Alternative Booksellers,Feminist Bookstore ,,10 N 4th St,,Reading,PA,"19601. Tel. (215) 373-0442. ""We are a women-owned/operated corporation. Our books are mostly feminist history and some of the less offensive best-sellers. We carry a large shelf of books for lesbians, some for gay men and we sell Gaia's Guide."" ",,,,,,1979
Silhouette Lounge,Bars,,521 Linden St,,Scranton,PA,,**,"Bars, Clubs, Coffeehouses",,,,1979
Gayline,State College,,,checked,Scranton,PA,(814) 863-0588. ,,,,,,1979
Scorpion,Bars,,232 W Calder Way ,,Scranton,PA,Tel. (814) 238-7914. Open: Mon-Thurs: 10pm-2am; Fri & Sat: 9:30pm-2am. Disco six nites a week. ,**(*?),"Bars, Clubs, Coffeehouses",,,,1979
My-O-My Bar,Bars,,128 E College St,,Scranton,PA,"""This is a mixed bar, where gays meet in the front bar and straights can see an almost-nude dancer in the back bar. Gays enter the bar on College Avenue, straights enter from. Calder Alley. Sometimes it's peaceful, sometimes not."" ",*,"Bars, Clubs, Coffeehouses",,,,1979
Women's Resource Center,Center,,108 E Beaver Ave,,Scranton,PA,"Meets every Tuesday at 8:30pm. Lesbian collective. ""A warm, social and supportive environment for women."" Also see 'Gay Era' of Lancaster for all correct current details. ",****(*),Center,,,,1979
Town Tavern ,Bars,,41 N George St,,York,PA,Tel. 843-8591. Open: Mon-Sat: 8:30pm-2am. Disco. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Rhode Island Lesbian Times,Publications,checked,73 Summit Ave,,Providence,RI,"write, ""RILT"", 73 Summit Avenue, Providence; 02906. Free.""",,,,,,1979
Marti's Lounge,Bar,,176 Railroad St,, Central Falls,RI,"Tel. (401) 728-5460. ""Almost a Gay Community Center."" ",****,"Bars, Clubs, Coffeehouses",,,,1979
Part of the Process,Publications,checked,PO Box 1829,checked,Providence,RI,"from Sarah Doyle Women's Center, PO Box 1829; 02912. Mailed and distributed free but donations are required. Includes the 'Womancott Directory'; an extremely useful and highly detailed events calendar, poetry, cartoon, in-depth local lesbian events reportage, and all very, very readable. ",,,,,,1979
Sarah Doyle Women's Center at Brown University,Centers,,188 Meeting St,,Providence,RI,"Tel. 863-2189. ""A valuable center for all women. Meetings at Brown University; coffee hours, guest lectures, art exhibits and all activities are open to the public."" Their publ: 'Half the Sky'. ",****,Center,,,,1979
The Inn at Castle Hill,Restaurant,,Ocean Dr,checked,Newport,RI,"Ocean Drive. Tel. (401) 64-3800. Sunday Brunch only, summertime only, otherwise it's straight. ",*,Restaurant,,,,1979
Venetian Room,Bars,,3 Farewell St,,Newport,RI,,***,"Bars, Clubs, Coffeehouses",,,,1979
Part of the Process,Publications,,PO Box 1829,checked,Providence,RI,"from Sarah Doyle Women's Center, PO Box 1829; 02912 (see Statewide listing). ",,,,,,1979
David's ,Bars,,28 Prospect Hill,,Newport,RI,(off Thames). Tel. (401) 847-9698.,**,"Bars, Clubs, Coffeehouses",,,,1979
The Gallery,Bars,,194 Richmond St,,Providence,RI,"02903. Tel. (401) 274-3895. Disco downstairs, quiet intimate lounge upstairs. Management... ""determined to keep the bar all gay. Friendly people and a large percentage of lesbians."" Recommended. ",**,"Bars, Clubs, Coffeehouses",,,,1979
Fife and Drum,Bars,,123 Weybosset,,Providence,RI,(upstairs over La Boheme).,**,"Bars, Clubs, Coffeehouses",,,,1979
Gay Community Services Center,Centers,,55 Eddy St,,Providence,RI,Lesbian/Feminist Union of R.I. meets Mondays at 7:30pm. ,***(**),Center,,,,1979
La Boheme,Bars,,79 Dorrence ,,Providence,RI,(below Fife and Drum). ,**,"Bars, Clubs, Coffeehouses",,,,1979
Cabana,Bars,,681 Valley St,,Providence,RI,"Tel. 621-9127. Open: 7pm-2am. ""It can be tough and it's expensive."" ",***,"Bars, Clubs, Coffeehouses",,,,1979
The Town & Country Club,Gay Oasis,,Farnum Park,checked,Smithfield,RI,"(Route 44); 02917. Tel. (401) 231-1180. Open: May to September, Sun-Thurs: 11am-1am; Fri & Sat: 11am-2am. Winter, weekends: a short way from I-295 and about 15 minutes from downtown Providence. We have disco which is open nightly with two dance floors and a spectacular light show. We also have a pub which is open nightly. A piano bar and a poolside patio bar also complement this lavish gay oasis. Weekends the bar is packed upwards of 850 people, including Sunday afternoons which boast a Tea Dance from 2pm onward and a New the Town and Country Club should not be missed when visiting Rhode Island."" Dancing, entertainment, pool table, pin ball, men's sauna and exercize room. Very highly recommended. ",***,"Bars, Clubs, Coffeehouses",,,,1979
High Street Cafe ,Bar,,281 High St,,Woonsocket,RI,"Tel. (401) 421-4037. 50% gay women. Dancing, live bands. ",***,"Bars, Clubs, Coffeehouses",,,,1979
Changing Woman ,Bookstores,,791 Hope St,,Providence,RI,"02906. Tel. (401) 272-5110. Feminist bookstore. ""We are a woman's bookstore and feminist store. Besides our women's books, we carry non-sexist children's books, jewelry, posters, tote bags, T-shirts, magazines, newspapers, stationery, records, artwork and accessories created by women. ",,,,,,1979
Dorrwar Bookstore,Bookstores,,224 Thayer St,,Providence,RI,"Tel. (401) 531-3230. ""We sell Gaia's Guide."" Feminist titles. ",,,,,,1979
Lion's Head Inn,Bars,,81 1/2 Hassel St,,Charleston,SC,29401. Private disco. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Tucker's Tavern,Bars,,336 King St,,Charleston,SC,Tel. (803) 722-9515. Opens at 11am. ,MGM**,"Bars, Clubs, Coffeehouses",,,,1979
Fortress Club,Bars,,5729 Shakespeare Rd,,Columbia,SC,Tel. (803) 754-9848. Private club. ,***,"Bars, Clubs, Coffeehouses",,,,1979
M.C.C. ,Religious Groups,,1730 Gist St,,Columbia,SC,"29201. Tel. (801) 256-7315. ""The MCC of Columbia is a Christian Church with a special ministry to the gay community. A community center is currently in the works and will be open from Thursday to Sunday evenings. The primary objective is to provide an alternative to the bar scene."" Their publ: 'MCC Community Newsletter'. Worship service: Sundays at 7pm; Community rap: Thursdays at 7pm. ",,,,,,1979
Club David,Bars,,135 Market St,,Charleston,SC,Open: 7pm-2am daily. ,MGM**,"Bars, Clubs, Coffeehouses",,,,1979
H & M Club,Bars,,2300 Two Notch Rd,,Columbia,SC,Tel. 254-0436. Private club. ,**,"Bars, Clubs, Coffeehouses",,,,1979
The End Zone Club,Bars,,2706A N Main St,,Columbia,SC,"Tel. 252-5477. Private club. Cruisy disco, game room. All drinks served. ",**,"Bars, Clubs, Coffeehouses",,,,1979
The Disco Lounge and Restaurant,Bars,,709 N Main St,,Greenville,SC,Tel. 242-5189. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Our Place,Bars,,1232 Assembly St,,Columbia,SC,Tel. 765-1623. Don't go alone. ,MGM**,"Bars, Clubs, Coffeehouses",,,,1979
Straw Hat Club ,Bars,,920 Main St,,Columbia,SC,"29201. Straight, gay and bi- mostly lesbian now. Very nice lounge area with reclining rockers. ",**,"Bars, Clubs, Coffeehouses",,,,1979
The Executive Sportsmen's Lounge,Showbar,,1243 S Pleasantburg Dr,,Greenville,SC,Tel. (803) 277-7090. Showbar and disco. ,MGM**,"Bars, Clubs, Coffeehouses",,,,1979
Club Gemini,Bars,,443 E Stone Ave ,,Greenville,SC,29601. Private club. Disco. Open every day 9pm-2am. ,**,"Bars, Clubs, Coffeehouses",,,,1979
