title,type,address,statewide.address,unclear.address,city,state,description,stars,star.type,Mentions Race?,Mentions Disability?,notes,year
The Agape Church of St. Louis,Religious Groups,4225 Choteau Ave,,,St Louis,MO,"63110; Tel. 531-0455. ""Full range of services and opportunities for fellowship and service'. Roller skating parties/coffee-house/pot-luck evenings/ holiday parties, etc. ",,,,,,1991
New Talk Of The Town Nightclub,Bars,4301 N 7th Ave,,,Phoenix,AZ,Tel. 248-0065. ,****,"Bars, Clubs, Coffeehouses",,,,1991
Sanat Rosa Inn,Bars,4302 Santa Rosa Ave,,,Santa Rosa,CA,in Santa Rosa- Tel. 584-0345. ,**,"Bars, Clubs, Coffeehouses",,,,1991
New Port In A Storm,Bars,4330 E Lombard,,,Baltimore,MD,Tel. 732-5608. Kitchen open 11am-midnight. ,***,"Bars, Clubs, Coffeehouses",,,,1991
Metropolitan Community Church,Religious Groups,4333 30th St,,,San Diego,CA,Tel. 280-4333. ,,,,,,1991
The Connection,Bars,4363 Supulveda Blvd,,,Los Angeles,CA,"(Culver City), 90230; Tel. (213) 391-6817. Pool tables/live entertainment/cocktail lounge. ",****,"Bars, Clubs, Coffeehouses",,,,1991
Club Incognito,Bars,4401 E 7 Mile Rd,,,Detroit,MI,"Tel. 892-9303. Security guard on duty 7 nights. Open: Monday-Saturday, 7pm-2am/Sundays, 2pm-2am. Daily happy hour: 7pm-10pm. ",**,"Bars, Clubs, Coffeehouses",,,,1991
Now Voyager,Travel Agency,4406 18th St,,,San Francisco,CA,"94114; Tel. 626-1169. Full service travel agency. Lesbian & gay travel experts. Gay & standard vacation packages, all airlines, cruises, Amtrak, tours, charters, car rentals, hotels. Friendly knowledgeable staff. Say 'hi' from GAIA. ",,,,,,1991
D-Gem,Bars,4425 N Front St,,,Harrisburg,PA,Tel. 255-9488.,**,"Bars, Clubs, Coffeehouses",,,,1991
Tomorrow's World,Feminist Bookstore,4471 Signal Rd,,,Columbia,OH,Tel. (216) 482-2482. Femail Book Service. But do they sell GAIA'S GUIDE???,,,,,,1991
Paradise Inn,Bars,4488 State Rd,,,Cleveland,OH,Tel. 741-9819. ,***,"Bars, Clubs, Coffeehouses",,,,1991
Metropolitan Community Church/Richmond,Religious Groups,4500 Kensington,,checked,Richmond,VA,(Friends Meeting House); Tel. 353-9477. ,,,,,,1991
Parkside Lodge-Westgate,Chemically Dependent Treatment Center,4601 Interstate 35,checked,,Denton,TX,"North Denton, TX 76201; Tel. (817) 565-8100. ""A unique new program being offered for gay/lesbian clients who are chemically dependent (alcoholism, drug addiction & related problems) and/or have an eating disorder. The program is designed to assure the client that their individual problems related to their lifestyle without negative consequences"". ",,,,,,1991
The Cue,Bars,4601 Killam Ave,,,Norfolk,VA,Tel. 489-9740. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Gipsy II,Lesbian-Gay Entertainment Complex,4605 Paradise Rd,,,Las Vegas,NV,Tel. 731-1919. Show-bar opens 10pm-until late. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Red Lantern,Bars,4618 E Belmont,,,Fresno,CA,Tel. 251-5998. Mostly gay men. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Lace,Lesbian-Gay Entertainment Complex,4633 Paradise Rd,,,Las Vegas,NV,"In the back-bar of Angles-a mixed Lesbian/Gay bar- which includes NEON CAFE. THE BUGLE offices are there, too. The GYPSY SHOW BAR is at 7350 Paradise Drive; (Tel. 731-1919). Plus: ALAMBRA ALANO, 517 East Naples, (behind Angles)- Lesbian and Gay Alcoholics Anonymous. ",****,"Bars, Clubs, Coffeehouses",,,,1991
Aunt Violet's Bookbin & Menagerie,Lesbian / Gay Bookstore,4733 Roosevelt Way,,,Seattle,WA,"Tel. 63-BOOKS. Books bought and sold/homosexualities/Lesbiana/surrealism/art/decadence/erotica. But do they sell GAIA'S GUIDE? (After all, GAIA does meet the above mentioned qualifications, nicely...). ",,,,,,1991
LLewellyn's Welsh Pub,Restaurants,4747 McPherson,,,St Louis,MO,"Tel. 361-3003. VERY friendly place, excellent food at reasonable prices. ",*,Restaurants,,,,1991
Dodd's Books,Bookstores,4818 E 2nd St,,,Long Beach,CA,Tel. 438-9948. Feminist/gay/lesbian titles. They sell GAIA'S GUIDE. ,,,,,,1991
Metropolitan Community Church,Religious Groups,4825 9th Ave,,,St Petersburg,FL,North; Tel. 323-5857. ,,,,,,1991
Club 22,Bars,4882 Lankershim Blvd,,,North Hollywood,CA,"91601; Tel. (818) 760-9792. Disco with DJ, Occasional live entertainment. Open: 3pm-2am, seven days a week. ",****,"Bars, Clubs, Coffeehouses",,,,1991
Katzz,Bars,4900 22nd Ave,,,St Petersburg,FL,Gulf Port,**,"Bars, Clubs, Coffeehouses",,,,1991
Kindred Spirits,Bars,4902 Richmond,,,Houston,TX,Tel. 623-6135. ,****,"Bars, Clubs, Coffeehouses",,,,1991
Faces,Bars,4910 Edgewater Dr,,,Orlando,FL,"32810; Tel. 291-7571. Pool tables/small dance floor/drag shows. Bowling teams/softball teams/special women's entertainment on occasion. open: 4pm-2am/7days a week. Friendly, community minded women, good reports, too-be sure and say 'hi' from GAIA. ",***,"Bars, Clubs, Coffeehouses",,,,1991
Desert Moon,Bars,5039 Willis St,,,Dallas,TX,75206; Tel. 828-4471. Lesbian super-bar. ,****,"Bars, Clubs, Coffeehouses",,,,1991
Rumours,Bars,5039 Willis St,,,Dallas,TX,Tel. 828-4471. ,****,"Bars, Clubs, Coffeehouses",,,,1991
The Patio,Restaurants,5102 Classen,,,Oklahoma City,OK,Tel. 843-8600. Great charcoal broiled hamburgers- (wish to hell they's send one over here to me in London)- & open & days a week from 7am-10pm. ,,,,,,1991
El Mar Vista,Guest Houses,5115 Ironwood,,,Soquel,CA,95073; Tel. 476-5742. ,,,,,,1991
Women & Children First,Feminist Bookstore,5233 N Clark St,,,Chicago,IL,"60640; Tel. (312) 769-9299. Feminist/lesbian/gay/non-sexist children titles. GAIA'S GUIDE, posters, buttons, records, cards & gifts, plus mail order service, bulletin board/info/referrals, and author's nights. Open Monday-Friday, 11am-7pm/Thursday, 11am-8pm/Saturday, 10am-6pm/Sunday, 12 noon-5pm. Say 'hi' from GAIA. ",,,,,,1991
My Friend's Place,Bars,5400 SE Hawthorne,,,Gainesville,FL,Tel. 373-4128. 'Progressive' crowd. ,*,"Bars, Clubs, Coffeehouses",,,,1991
Janbar's ,Bar/Restaurant,5460 N State Rd,,,Fort Lauderdale,FL,Suite 201-; Tel. 733-4463. Gourmet Menu. 2 for 1 Cocktails: Sunday & Tuesday. Live Entertainment. 'Classy'. ,****,Bar / Restaurants,,,,1991
Metropolitan Community Church,Religious Groups,5501 34th St,,,Lubbock,TX,79407; Tel. 792-5562. ,,,,,,1991
Just Magic,Information Services/Organizations,5503 Brownfield Highway,,,Lubbock,TX,Tel. 799-2016. ,,,,,,1991
Boxers,Bars,5504 Chapel Hill Blvd,,,Durham,NC,Tel. 489-7678. (Located between Durham and Chapel Hill at Straw Valley Shopping Center. Opens at 5pm every day. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Mystic Moon,Feminist Bookstore,5509 Magazine St,,,New Orleans,LA,70115: Tel. (504) 891-4266. ,,,,,,1991
Desert Hearts,Bars,5526 Troost,,,Kansas City,MO,64131; Tel. (816) 523-9399. A new & exciting women-only club. Recommended. Say 'hi' from GAIA. ,****,"Bars, Clubs, Coffeehouses",,,,1991
Big Mary's,Bars,5600 4th St,,,Marrero,LA,Tel. 340-8839. ,**,"Bars, Clubs, Coffeehouses",,,,1991
The Book Oasis For Women,Women's Bookstore,5604 Meadowcrest Ln,,,Nashville,TN,37209. ,,,,,,1991
Preston's,Bars,5618 Asher Ave,,,Little Rock,AR,Tel. 562-7531. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Isis,Metaphysical Bookstore,5701 E Colfax,,,Denver,CO,"(at Ivanhoe Street); Tel. 321-0897. Woman owned. Everything on offer, from astrology to videos. ",,,,,,1991
Springhill Farm,Lesbian/Gay Luxury Cabins-Reosrt,5704 Highpoint Rd,,,Glenford,OH,"Located nine miles south of Indiana and 30 miles east of Columbus, Oh;- Deluxe cabins for two, including private bath, kitchen, all utensils, linens, and a wood burning fireplace as well as electric heat. A gazebo outside the cabins houses a hot tub. The lodging facility is a unique three story renovated barn with 4 rooms for guests, shared baths and kitchen. A recreational room with pool table is on the lower level. The lodging facility overlooks the swimming pool and beyond that, a fishing pond. Thirty wooded acres provide our guest with trails for walking. Cabins are open all seasons; lodging facility, May-October. Sorry, NO smoking. Reservations requireed. Cost: $45.00/May-October or $40.00/November-April. GREAT reports about this wonderful place always come in, be sure and say 'hi' from GAIA. ",,,,,,1991
Playhouse,Bars,5727 Nash,,,Dallas,TX,Tel. 350-9814. ,****,"Bars, Clubs, Coffeehouses",,,,1991
Bold Moon Farm,Camping Space,5780 Plowfield Rd,,,McLeansville,NC,"27301; Tel. 375-3764. 'We welcome LESBIANS to share our land and our work.' Their land borders a beautiful little river. Write or phone in advance, NO drop-ins. ",,,,,,1991
"New York, New York",Bars/Restaurants ,5801 Ellsworth ,,,Pittsburgh,PA,at Maryland Ave; Tel. 661-5600. ,*,Bar / Restaurants,,,,1991
Whispers,Bars,5873 North Atlantic Avenue,,,Long Beach,CA,(née Whistle Stop) Tel. 422-7927. ,****,"Bars, Clubs, Coffeehouses",,,,1991
Metropolitan Community Church,Religious Groups,5879 Washington Blvd,,,Los Angeles,CA,Culver City; Tel. (213) 930-1600. ,,,,,,1991
Skip Away,Travel Agency,5900 Central Ave,,,St Petersburg,FL,Suite 'K' -; Tel. (813) 381-1038. 'YOUR Full Service Travel Agency. Complete confidentiality guaranteed.' Ask for Karen. 24 hour Emergency Answering Service/Free Ticket Delivery/ Evening appointments available. ,,,,,,1991
Metropolitan Community Church,Religious Organization,5900 S Stemmons,,,Denton,TX,76205; Tel. 1-800-497-HMCC. ,,,,,,1991
Mom's,Women's Bed & Breakfast,5903 W Cortez,,,Glendale,AZ,"Tel. (602) 979-2869; 85304. 'Mom's is your home away from home, intended for traveling executive & professional women. Small, intimate private home. A hide-a-way for relaxing & refreshing yourself.' Large swimming pool with water play area/Continental Breakfast or Full (arrangement at time of booking)/Reading room/Fireplace/TV Room/Guest House with pool table. Smoking permitted on comfortable patio lounge only. Extremely tasteful décor. The 'Green Room'; Mirrored Wall/9ft Circular Bed-Red satin Bed Linens/Sunken Tub/Separate Shower/ Refrigerator ($65.00 for 2)/Single Studio: 'A Special Place To Reflect And Collect One's Self' ($45.00/but can accommodate 2;+ $10.00. 10% discount for 1 day stay or longer. All rooms receive a complimentary fruit basket for 5 day stay or longer. Female tour guide available-at a nominal fee- upon request for night life or daytime sightseeing. be sure to tell betty 'hi' from GAIA. Otherwise, discretion please. ",,,,,,1991
Mom's ,"Guest House/Bed And Breakfast, Etc.",5903 W Cortez,,,Glendale,AZ,"85304; Tel. 979-2869. Women only bed and breakfast, recommended, say 'hi' from GAIA. ",,,,,,1991
Cheers ,Bars,5922 S Dixie Highway,,,Miami,FL,Tel. 667-4753. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Calamity's,Bars,5922 S University,,,Little Rock,AR,"Tel. 562-9041. Monday-Friday, 3pm-1am & Saturday, noon-midnight. ",****,"Bars, Clubs, Coffeehouses",,,,1991
California State University Sacramento Women's Resource Center,Women's Center,6000 J St,,,Sacramento,CA,95819; Tel. 278-7388. Services/support groups/peer counseling/sponsors & educational events. ,****(*),Centers,,,,1991
Janet S. Esign,Attorneys,6100 Martway,,,Mission,MO,"suite 26, Shawnee Mission, KS, 66202-3341; Tel. (913) 432-7077. ",,,,,,1991
Hershee Bar,Bars,6117 Sewell's Point Rd,,,Norfolk,VA,Tel. 853-9842. ,****,"Bars, Clubs, Coffeehouses",,,,1991
North Forty,Bars,6316 Denton Dr,,,Dallas,TX,Tel. 350-6327. ,****,"Bars, Clubs, Coffeehouses",,,,1991
Sweet Sensations ('Sweets') ,Bars,6322 20th Ave,,,New York City,NY,"Tel. (212) 232-1605 + HOTLINE: (212) 435-2580. ""Brooklyn's ONLY gay video dance club'. ",***,"Bars, Clubs, Coffeehouses",,,,1991
Orban Hotel,Hotels/Motels/Guest Houses Etc.,6364 Yucca St,,,Hollywood,CA,90028; Tel (213) 466-0524. (1/2 mile south of Cahuenga Exit). Minutes to Beverly Hills/Downtown/The Valley. Color TV in all rooms. Refrigerator and microwave available. Operated by two in all rooms. Refrigerator and microwave available. Operated by two very nice women. Probably your best bet in the L.A. area. ,,,,,,1991
C.R. Club,Bars,6405 Market St,,,Millbourne,PA,Tel. 352-9762. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Stella Street,Bars,6425 Tidewater Dr,,,Norfolk,VA,Tel. 857-6610. ,**,"Bars, Clubs, Coffeehouses",,,,1991
MSA Club,Bars,6505 Market St,,,Millbourne,PA,(Upstairs); Tel. 352-9762. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Willow,Women's Retreat ,6517 Dry Creek Rd,,,Napa,CA,"94558; Tel. 944-8173. Secluded women's retreat on 40 acres. Hot-tub, sauna, tennis court and swimming pool. Private bedrooms with bath-double with bath: $75.00 Reservations required. They do keep a dog on the premises (but no other dogs allowed). Clientele: mostly Lesbian. Say 'hi' from GAIA. ",,,,,,1991
Mama Bear's News & Notes,Publications,6536 Telegraph Ave,,,Oakland,CA,"94609; Tel. (415) 428-9684. Packed full of lesbian and feminist info on the East Bay Area. Huge local resource list for groups, etc. Also very useful classified section, book reviews, and much more. Pick one up at Mama Bear's & find out what's new to the S.F./Oakland scene. ",,,,,,1991
Mama Bear's,Feminist Bookstore/Coffeehouse/Art Gallery,6536 Telegraph Ave,,,Oakland,CA,"(in Oakland at 66th Street); Tel. (415) 428-9684. Take Ashby exit off Highway 80, right at Telegraph, 4 1/2 blocks (20 minutes from S.F.) Coffee house- featuring the very best in women's entertainment/arts and crafts gallery/poetry readings/new and used women's books. Emphasis on women's spirituality. WOMEN ONLY in the evenings. 'A little isle of Lesbos'. They now sell crafts and jewelry, have their own newsletter and newspaper. M.B.'s sells GAIA'S GUIDE. Say 'hi' from GAIA. Open 10am-7pm every day. Now: outdoor patio and Sunday brunch.  ",,,,,,1991
The White Horse Inn,Bars,6551 Telegraph Ave,,,Oakland,CA,"(at 56th) Oakland; Tel. 652-3820. The first time I was there was 1956 and please, Capital Gay/London, don't read 'typo' where 'typo' there is none- 1956 I compute and 1956 it is, just like the Finocchio fiasco of 1955, etc., etc.",*,"Bars, Clubs, Coffeehouses",,,,1991
Railroad Crossing,Bars,6640 E 8 Mile,,,Detroit,MI,Tel. 891-1020. ,****,"Bars, Clubs, Coffeehouses",,,,1991
Carillon Hotel,Bars,6801 Collins Ave,,,Miami Beach,FL,"Miss Kay's Lounge (entrance on right side of lobby) Tel. 868-5454/ext 7001. ""Miami Beach's Newest Alternative Bar"". LADIES NIGHT every Wednesday, 8pm till late Happy Hour 7 days a week, 4-9pm. ",**(**),"Bars, Clubs, Coffeehouses",,,,1991
Key Largo,Bars,6900 N Orange Blossom Trail,,,Orlando,FL,"32810; Tel. (407) 291-0686. ""A Ladies' Entertainment Complex"" including: 3bars/live entertainment/separate disco/full liquor license/large game room/ valet parking/Olympic size swimming pool! (They even offer a shuttle bus service to other bars). 'Very nice', says Jamie Fox. ",****,"Bars, Clubs, Coffeehouses",,,,1991
Kevin's ,Bars,6910 S Dixie HIghway,,,West Palm Beach,FL,Tel. 586-2330. ,*,"Bars, Clubs, Coffeehouses",,,,1991
Jan's Stowaway,Bar/Restaurant,6913 S Broadway,,,St Louis,MO,Serving food 11am-midnight. NOTE: Thursday nights is women only. ,**,Bar / Restaurants,,,,1991
Women About,Social Groups & Events,7100 Boulevard East ,,,Guttenberg,NJ,"The 'largest & oldest established lesbian social club in the tri-state area'. 120 indoor & outdoor activities per year/Membership $5.00/ Tel. (201) 481-0440; Or write: 7100 Boulevard East Apt. 14N, Guttenberg, 07093. ",,,,,,1991
Counseling Service,Info Services,7208 Creedmoor Rd,,,Raleigh,NC,"(suite 115), 27612; Tel. 848-0500. Feminist/gay counseling; individuals, couples and groups. ",,,,,,1991
The Mining Company,Bars,7209 Central ,,,Albuquerque,NM,NE; No phone. ,MGM**,"Bars, Clubs, Coffeehouses",,,,1991
Devonshire House,Guest Houses,7281 Lee Highway,,,Falls Church,VA,"7281 Lee Highway, 22042; Tel. 533-0874. Bed and Breakfast for women. Swimming pool/patio. 15 minutes from Washington center. Recommended. Say 'hi' from GAIA. ",,,,,,1991
Womanstuff,Feminist Store,7306 Maple Pl,,,Annadale,VA,"at Jag Hair, 7306 Maple Place, 22003; Tel. 256-8383. Books by, for and about women. Lesbian titles, gifts, cards, tapes, videos etc. Open: Tuesday & Friday till 7pm/Saturday till 4pm/Sundays, 11am-3pm. They sell GAIA'S GUIDE, be sure and say 'hi' from GAIA to Gerry. ",,,,,,1991
Jag Hair,Hair Salon,7306 Maple Pl,,,Annadale,VA,22003; Tel. 256-8383. ,,,,,,1991
Floyd's ,Bars,7350 W 4th,,,Reno,NV,Tel. 746-1660. ,**,"Bars, Clubs, Coffeehouses",,,,1991
The Fox,Bars,7520 Shawnee Mission Parkway,,,Overland Park,MO,Tel. (913) 384-0369. ,**,"Bars, Clubs, Coffeehouses",,,,1991
The Fox,Bars,7520 W 63rd St,,,Kansas City,KS,Tel. 384-0369. ,**,"Bars, Clubs, Coffeehouses",,,,1991
LAMBDA Passages,Gay/Lesbian Bookstores,7545 Biscayne Blvd,,,Miami,FL,"33138, (three blocks south of 79th Street & Biscayne Blvd); Tel. 754-6900 & Florida toll-free: 1-800-962-1169. Lesbian and gay literature, books, videos, guides, cards, antiques, art, & gifts for gay, lesbian & feminist communities. MAIL ORDER + ticket sales, posters & buttons, T-shirts & women's music + all local & national newspapers and magazines that are of interest to the lesbian & gay community. Author's nights/readings and a meeting room which is used by DIGNITY, etc. and more... Monday & Thursday, 11am-10pm/Fridays, 11am-midnight/Sundays, 1pm-7pm. Free parking in the rear. They sell GAIA'S GUIDE, be sure and say 'hi' from GAIA.",,,,,,1991
Tropical Dreams Bed and Breakfast,Hotels/Motels/Guest Houses Etc.,7600 SW 50th Ave,,,Miami,FL,"c/o Brewer, 33143; Tel. 666-5203. A private home with one suite. Lesbian owned, phone up first, no drop-ins. ",,,,,,1991
Beaux Arts,Coffee House/Art Gallery,7711 60th St ,,,Pinellas County,FL,33565; Tel. 544-7067. Established in 1911 and serves FREE coffee and tea; cold drinks at $.35. Art festivals/poetry reading/original song contests/movie and TV shows/plus women's entertainment and occasional drag shows. Outdoor patio. An established gay hang-out. Open daily 6:30pm-midnight. ,,,,,,1991
Center For Battered Women's Shelter Outreach/Lesbian Group,Battered Lesbians,7715-C Metro Dr. ,,,Austin,TX,Tel. 385-5181 or HOTLINE: 362-0602 or 928-9070. Counseling Office: 7715-C Metro Dr. ,,,,,,1991
Something Special,Something Special,7762 NW 14 Court,,,Miami,FL,"33147-5771; Tel. (305) 696-8826. [4 Years Old!] 'A Lesbian Venture... private dining experience for wimmin serving vegetarian meals daily & offering a ""wimmin only"" space. Open: 12 noon to 9pm, Monday-Saturday & Sundays, 2-7pm + Cottage Industry: lots on offer, from fruit to nuts (organic) + A Travelling Womyn's Sanctuary: tent site/hot & cold water/electricity; stays limited to 3 days, no pets + Events. Say 'hi' to Maryanne & Louise from GAIA. ",****(*),Bar / Restaurants,,,,1991
Ms. C's,Bars,7900 E Colfax,,,Denver,CO,Tel. 322-4436. Community-minded Lesbian super-bar. They hold benefits for the Battered Women's Shelter!-say 'hi' from GAIA when visiting this great new addition to our scene. ,****,"Bars, Clubs, Coffeehouses",,,,1991
Rudolpho's ,Restaurants,7963 Santa Monica Blvd,,,Los Angeles,CA,Tel. (213) 669-1226. Continental cuisine/desserts made at your own table/vast selection of cognacs/outdoor patio/Sunday brunch/cabaret in the Valentino room. Clientele: VERY lesbian. ,,,,,,1991
La Fabula,Restaurants,7963 Santa Monica Blvd,,,Los Angeles,CA,90046; Tel. (213) 650-8517. Lunch and Dinner. ,,,,,,1991
Lesbian News,Publications,7985 Santa Monica Blvd,,,Los Angeles,CA,"(suite 109-13) West Hollywood, 90046; Tel. (213) 656-0258/ext. 113. Essential for finding out what is happening in the L.A. area, events calendar/local resources including professional services/medical services/counsellors/etc. Useful want ads for home and apartment share, jobs, too. A variety of religious groups always advertise their activities in Lesbian News. Pick one up at any of the bookstores mentioned in GAIA'S GUIDE. $20.00, p.a./students & Unemployed, $7.00. No subs refused manager, 6507 Franrivers Ave, West Hills, CA. 91307. Send: Name, address, sip code & telephone no./make checks available to LN. Papers are mailed in a plain white envelope.",,,,,,1991
The Circle,Bars,8021 Pinebrook,,,San Antonio,TX,Tel. 341-2818. ,****,"Bars, Clubs, Coffeehouses",,,,1991
The Huntress,Bars,8122 Bolsa Ave,,,Midway City,CA,Tel. 892-0048. ,****,"Bars, Clubs, Coffeehouses",,,,1991
North County Battered Women's Support Group,Victim Services,8145 El Camino Real,,,Atascadero,CA,meets at the North County Women's Resource Center: 8145 El Camino Real (Atascedero) 6:30-8:30pm. Led by an MFCC. Tel. 461-1338. ,,,,,,1991
Healing Crystals,Goddess Crafts,8215 SE 13th St,,,Portland,OR,Tel. 234-2224. Similar to Crone Magic. ,,,,,,1991
Circus Of Books,Feminist Bookstore,8230 Santa Monica Blvd,,,West Hollywood,CA,90046. Some Lesbian/Gay titles. ,,,,,,1991
Holistic Health For Women/Lesbian Feminist Healthcare Center,Centers,8235 Santa Monica Blvd,,,Los Angeles,CA,"Tel. (213) 650-1508; 8235 Santa Monica Blvd- St. 201- West Hollywood (2 blocks west of Crescent Heights). ""Putting lesbian health in lesbians' hands- naturally!' Absolutely EVERYTHING on offer. ",,,,,,1991
Butterfield's,Restaurants,8426 Sunset Blvd,,,West Hollywood,CA,"(Valet Parking off Olive Dr-1 block east of La Cienega); Tel. 656-3055. reservations recommended. it's quite simply, romantic...",,,,,,1991
The Gasp,Bars,8514 Garden Grove Blvd,,,Garden Grove,CA,Tel. 638-7422. ,****,"Bars, Clubs, Coffeehouses",,,,1991
Foxes Lounge,Bars,8521 Central Ave,,,Albuquerque,NM,NE; Tel. 255-3060. ,**,"Bars, Clubs, Coffeehouses",,,,1991
The New Palms,Bars,8572 Santa Monica Blvd,,,Hollywood,CA,Tel. (213) 652-6188. 'Fridays... A Night Of Intrigue... at the friendliest Dance Club in the city. 'Full bar complimentary buffet. Sundays: Patio opens at 3pm.,****,"Bars, Clubs, Coffeehouses",,,,1991
Cricket Song Farm,Camping Space,8677 Boyer Rd,,,Bradford,OH,45306; Tel. 448-242 (Call before 9pm). Two lesbian women with 20 acres. Primitive camping available in woods. Phone or write; NO drop-ins. ,,,,,,1991
Christophers ,Bars,8689 Wilshire Blvd,,,Los Angeles,CA,"Tel. 657-5574. Brunch/Lunch/Dinner/Full Service Bar/Weekend Entertainment. Open: M-F, 11am-2pm. most major credit cards accepted. ",**(**),"Bars, Clubs, Coffeehouses",,,,1991
The Hideaway,Bars,8736 Parsons Blvd,,,New York City,NY,Tel. 657-4585. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Tootsies,Bars,8759 S US 1,,,Port St. Lucie,FL,"Tel. (407) 871-0957. Dancing/Music/Entertainment. The ONLY Night Spot in St. Lucie. Open: 7 days a week/Happy Hour, 7-9pm Monday-Friday. Sunday Tea Dance. ",**(**),"Bars, Clubs, Coffeehouses",,,,1991
Rusty Nail,Bars & Bar/Restaurants,9117 River Rd,,,Guerneville,CA,Tel. 887-1322. ,,,,,,1991
CarDan Farm,Guest Houses,9188 W Evans Creek Rd,,,Rogue River,OR,97537; Tel. 582-0145. Hot tub/pool/wooded trails. Country retreat for WOMEN-ONLY. ,*****,Lodging,,,,1991
Ms B's,Bars,9203 Buffalo Speedway,,,Houston,TX,Tel. 666-3356. Next door to The Ranch. Open: 7 days a week. ,****,"Bars, Clubs, Coffeehouses",,,,1991
The Ranch,Bars,9218 Buffalo Speedway,,,Houston,TX,"Tel. 666-3464. Open: Tuesday-Sunday, 7pm-2am. ",****,"Bars, Clubs, Coffeehouses",,,,1991
The Cabaret,Bars,9435 E Highway 20,,,Clear Lake,CA,Glenhaven; Tel. 998-1169. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Puss & Boots,Bars,9996 S Redwood Rd,,,Salt Lake City,UT,(P & B); Tel. 972-9730. ,****,"Bars, Clubs, Coffeehouses",,,,1991
Silver Fox,Bars,10095 Saich Way,,,Cupertino,CA,Tel. 255-3673. Neighborhood bar atmosphere. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Noo Zoo,Bars,10127 Coachlight ,,,San Antonio,TX,(in San Pedro); Tel. 341-4778. ,****,"Bars, Clubs, Coffeehouses",,,,1991
In Touch East,Bars,10437 burbank Blvd,,,North Hollywood,CA,Tel. (818) 508-7008. ,****,"Bars, Clubs, Coffeehouses",,,,1991
Blue Fish Cove,Women's Resort,10573 E Highway 20,,,Clear Lake,CA,"Mailing address: PO Box 1273, Clearlake Oaks, Ca. 95423; Tel. 998-1769. Lakefront resort with 7 housekeeping cottages, boats and other facilities. Say 'hi' from GAIA.It's women-owned and the clientele is mostly Lesbian. Rates: $30.00-$60.00 per night. ",,,,,,1991
Rumours,Bars,10622 Magnolia Blvd,,,North Hollywood,CA,Tel. (818) 506-9651. ,****,"Bars, Clubs, Coffeehouses",,,,1991
Gabriel's ,Bars,10630 Berea Rd,,,Cleveland,OH,"between Detroit Avenue & Madison Ave; Tel. (216) 281-1488. 3 level dance floor, games room, full service deli, free parking. 'Total entertainment complex for the Lesbian and Gay Community'. ",**,"Bars, Clubs, Coffeehouses",,,,1991
Advance Travel,Travel Agents,10700 NW Freeway,,,Houston,TX,"(suite 160), 77092; Tel. (800) 292-0500. WOMEN ONLY TOURS of the Caribbean. ",,,,,,1991
Sunset Boulevard,Bars,11201 Queens Boulevard,,,New York City,NY,Forest Hills; Tel. 830-9191. ,**(**),"Bars, Clubs, Coffeehouses",,,,1991
Legends,Bars,11719 Detroit,,,Lakewood,OH,Tel. 226-1199. ,***,"Bars, Clubs, Coffeehouses",,,,1991
River Bend Campground,"Hotel/Motels/Guest Houses/Resorts, etc",11820 River Rd,,,Forestville,CA,"95436; Tel. (707) 887-7662. Tent camping, sandy and sunny beach, etc. ",,,,,,1991
"Ash-Alcoholism Services For Homosexuals, INC",Service,11918 Garden Grove Blvd,,,Garden Grove,CA,"Tel. 573-9968/HOTLINE: (714) 534-5820. Nightly (AA) gay meetings, counseling, social and educational in a non-drinking environment. ",,,,,,1991
Metropolitan Community Church,Religious,12012 Magnolia Ave,,,Garden Grove,CA,L31; Tel. 636-6505. ,,,,,,1991
Happy Hour,Bars,12081 Garden Grove Blvd,,,Garden Grove,CA,Tel. 537-9097. ,****,"Bars, Clubs, Coffeehouses",,,,1991
Whittier House Bed and Breakfast,Guest Houses,12133 S Colima Rd,,,Whittier,CA,"90604; Tel. 941-7222. Spacious, early California Spanish style home on landscaped grounds. Private, romantic secure accommodation with: Sundeck/Outdoor spa/Jacuzzi/Barbeque for guest use/Cable T.V./VCR/Women's films aaaand LIMO Service. 10 minutes ti Disneyland/40 minutes to Universal Studios & central to L.A., Long Beach & Orange County Areas/6minutes to Knotts Berry Farm. Single and double room. On offer: ROMANTIC WEEKENDS (4 types to choose from...) Clientele: mostly lesbian. Say 'hi' to Diane and Lori from GAIA. ",,,,,,1991
Gay and Lesbian Community Services Center of Orange County,Centers,12832 Garden Grove Blvd,,,Garden Grove,CA,Suite 'A' 92643; Tel. 534-3261- (HOTLINE). ,***(**),"Bars, Clubs, Coffeehouses",,,,1991
