"title","description","type","city","state","country","publication","year","notes"
"The Bistro","","Bars/Clubs","Cumberland","MD","United States","Bob Damron's Address Book",1983,""
"The Block","around Public Library","Cruising Areas","Worcester","MA","United States","Bob Damron's Address Book",1983,""
"The Bookstore Southwest","","Book Store","Tuscon","AZ","United States","Bob Damron's Address Book",1983,""
"The Brook","(Disco)(Don't miss if any-where in the area) in rear (Sunday afternoon Tea Dance - Summers) (US 1) Exit 18 off I-95","Bars/Clubs","Westport","CT","United States","Bob Damron's Address Book",1983,""
"The Brook Cafe","(Disco)(Don't miss if anywhere in the area) in rear (Sunday afternoon Tea Dance - Summers) (US 1)Exit 18 off I-95","Bars/Clubs","Westport","CT","United States","Bob Damron's Address Book",1981,""
"The Bushes","Eakle Park","Cruising Areas","Amarillo","TX","United States","Bob Damron's Address Book",1981,""
"The Bushes","(Eakle Park)","Cruising Areas","Amarillo","TX","United States","Bob Damron's Address Book",1983,""
"The City","(Looks promising) Next to Brass Door","Restaurant","Seattle","WA","United States","Bob Damron's Address Book",1983,""
"The Clinic","(Some L)(WE*)","Bars/Clubs","New Orleans","LA","United States","Bob Damron's Address Book",1983,""
"The Closet","(Disco) 4 mi. N of Dover Downs","Bars/Clubs","Dover","DE","United States","Bob Damron's Address Book",1983,""
"The Club","('Carlo's')","Bars/Clubs","Indianapolis","IN","United States","Bob Damron's Address Book",1981,""
"The Club","(Disco)","Bars/Clubs","Allentown","PA","United States","Bob Damron's Address Book",1981,""
"The Club","(Disco)","Restaurant,Bars/Clubs","Ogunquit","ME","United States","Bob Damron's Address Book",1983,""
"The Club","(Burned - may be re-opening)","Bars/Clubs","Indianapolis","IN","United States","Bob Damron's Address Book",1983,""
"The Coach","(Some W, SM )(Sunday brunch) (Disco in back)","Restaurant,Bars/Clubs","Akron","OH","United States","Bob Damron's Address Book",1983,""
"The Compound","(Reservations essential)(617) 693-0648","Hotel","Martha's Vineyard","MA","United States","Bob Damron's Address Book",1981,"City in billing address differs from listed city in pdf (Pg. 236)"
"The Compound","(Reservations essential)(617) 693-0648","Hotel","Martha's Vineyard","MA","United States","Bob Damron's Address Book",1983,""
"The Cupboard","(Head shop, gifts, cards, etc.)","Business","Cincinnati","OH","United States","Bob Damron's Address Book",1983,""
"The Deep","(Some W, SM, FFA)(Cruisy sleeze bar)  (Enter at Jackson & Grant)","Bars/Clubs,Cruising Areas","Houston","TX","United States","Bob Damron's Address Book",1983,""
"The Dikes'","East-West Service Rd.","Cruising Areas","Hartford","CT","United States","Bob Damron's Address Book",1981,""
"The Dunes","Lake Shore County Road","Cruising Areas","Beverly Shores","IN","United States","Bob Damron's Address Book",1981,""
"The Dunes","","Cruising Areas","Beverly Shores","IN","United States","Bob Damron's Address Book",1983,""
"The Dunes' 'B.A.' Beach","about 1 mi. N . of parking lot at Henlopen St. Park","Cruising Areas","Rehoboth Beach","DE","United States","Bob Damron's Address Book",1981,""
"The Follies","(All-Male films, game room, 'wild back room', etc.)(Upstairs)","Bars/Clubs","Pittsburgh","PA","United States","Bob Damron's Address Book",1981,""
"The Follies","(All-Male films, game room, 'wild backroom', etc.)(Upstairs)","Bars/Clubs","Pittsburgh","PA","United States","Bob Damron's Address Book",1983,""
"The Garage","(Disco) 4310 Paradise Rd.","Bars/Clubs","Las Vegas","NV","United States","Bob Damron's Address Book",1981,""
"The Garage","(Disco)","Bars/Clubs","Las Vegas","NV","United States","Bob Damron's Address Book",1983,""
"The Gay Paper","(Publication)","Publication","Baltimore","MD","United States","Bob Damron's Address Book",1983,""
"The Grove","(twinkies, L)(Disco)(3.2 Beer)","Bars/Clubs","Denver","CO","United States","Bob Damron's Address Book",1983,""
"The Guide","(Publication)","Publication","Denver","CO","United States","Bob Damron's Address Book",1983,""
"The House","(Italian R) (Guest house) off Cambridge nr. Harvard (Allston)","Restaurant,Hotel","Boston","MA","United States","Bob Damron's Address Book",1981,""
"The Inn at Two Village Square","Tel: (207) 646-5779","Hotel","Ogunquit","ME","United States","Bob Damron's Address Book",1983,""
"The Jetties'","County Park at S. end -Showers, Beach, T-Room, Parking lot etc.","Cruising Areas","South Padre Island","TX","United States","Bob Damron's Address Book",1983,""
"The Kitchen","","Restaurant","Denver","CO","United States","Bob Damron's Address Book",1981,""
"The Kitchen","at Race","Restaurant","Denver","CO","United States","Bob Damron's Address Book",1983,""
"The Landing","(Disco)(Some L, YC)(C-AH-WE*)","Bars/Clubs","Dallas","TX","United States","Bob Damron's Address Book",1983,""
"The Lark","(Rte. 202 N.)","","Bridgeport","PA","United States","Bob Damron's Address Book",1981,""
"The Lark","(Rte. 202 N.)","Bars/Clubs","Bridgeport","PA","United States","Bob Damron's Address Book",1983,""
"The Levee","","Cruising Areas","Evansville","IN","United States","Bob Damron's Address Book",1981,""
"The Levee","","Cruising Areas","Evansville","IN","United States","Bob Damron's Address Book",1983,""
"The Lobby","(Disco) (Rte. 86 off I95)","Bars/Clubs","Newark","DE","United States","Bob Damron's Address Book",1981,""
"The Lobby","(Disco)(Rte. 896, 1/4 mi. N. of I-95)","Bars/Clubs","Newark","DE","United States","Bob Damron's Address Book",1983,""
"The Loft","(Formerly Town & Country)(Disco)(Swim pool) nr. Bryant College (N. Smithfield)","Bars/Clubs","Smithfield","RI","United States","Bob Damron's Address Book",1981,""
"The Loft","(Disco)(Swim pool)  nr. Bryant College (N. Smithfield)","Bars/Clubs","Smithfield","RI","United States","Bob Damron's Address Book",1983,""
"The Mall","Downtown -Midnight police curfew","Cruising Areas","Cleveland","OH","United States","Bob Damron's Address Book",1981,""
"The Mall","Downtown - policecurfew - 10 p.m.","Cruising Areas","Cleveland","OH","United States","Bob Damron's Address Book",1983,""
"The Mill","at Taylor's Crossing","Restaurant,Bars/Clubs","Idaho Falls","ID","United States","Bob Damron's Address Book",1983,""
"The News Stand","(Books & cruisy arcade)","Book Store,Cruising Areas","Boulder","CO","United States","Bob Damron's Address Book",1981,""
"The News Stand","(Books & cruisy arcade)","Book Store,Cruising Areas","Boulder","CO","United States","Bob Damron's Address Book",1983,""
"The Oaks","","Cruising Areas","Portland","ME","United States","Bob Damron's Address Book",1981,""
"The Oaks","off Park Ave.","Cruising Areas","Portland","ME","United States","Bob Damron's Address Book",1983,""
"The Palms","","Bars/Clubs","Greensboro","NC","United States","Bob Damron's Address Book",1981,""
"The Palms","(Some W, SM, L)","Bars/Clubs","Greensboro","NC","United States","Bob Damron's Address Book",1983,""
"The Park","(Some L, YC)","Restaurant","Roanoke","VA","United States","Bob Damron's Address Book",1981,""
"The Park","(Some L, YC)(Disco)","Restaurant,Bars/Clubs","Roanoke","VA","United States","Bob Damron's Address Book",1983,""
"The Parlor","","Bars/Clubs","Traverse City","MI","United States","Bob Damron's Address Book",1981,""
"The Pavilion","Ocean Beach - summers","Cruising Areas","Myrtle Beach","SC","United States","Bob Damron's Address Book",1981,""
"The Pavilion","Ocean Beach - summers","Cruising Areas","Myrtle Beach","SC","United States","Bob Damron's Address Book",1983,""
"The Pines","(Baths) (New & clean)","Bathhouses","Seattle","WA","United States","Bob Damron's Address Book",1981,""
"The Pines","(Baths)","Bathhouses","Seattle","WA","United States","Bob Damron's Address Book",1983,""
"The Pit","('Wild back room')","Bars/Clubs","New Orleans","LA","United States","Bob Damron's Address Book",1981,""
"The Pit","(Something for everyone)","Bars/Clubs","Wausau","WI","United States","Bob Damron's Address Book",1981,""
"The Pit","(Something for everyone)","Bars/Clubs","Wausau","WI","United States","Bob Damron's Address Book",1983,""
"The Pitts","","Bars/Clubs","Victoria","TX","United States","Bob Damron's Address Book",1981,""
"The Pitts","(Cl. Mon.)","Bars/Clubs","Victoria","TX","United States","Bob Damron's Address Book",1983,""
"The Place 76 Lounge","(Some L) Elyria - Loraine Holiday Inn","Bars/Clubs","Lorain","OH","United States","Bob Damron's Address Book",1981,""
"The Plaza","","Cruising Areas","Santa Fe","NM","United States","Bob Damron's Address Book",1981,""
"The Plaza","","Cruising Areas","Santa Fe","NM","United States","Bob Damron's Address Book",1983,""
"The Pub","","Restaurant","Lafayette","IN","United States","Bob Damron's Address Book",1983,""
"The Rail","(Good days)","Bars/Clubs","Salt Lake City","UT","United States","Bob Damron's Address Book",1983,""
"The Ranch","(Some W, OC)","Hotel","Provincetown","MA","United States","Bob Damron's Address Book",1981,""
"The Ranch","","Hotel","Provincetown","MA","United States","Bob Damron's Address Book",1983,""
"The Raven","(Liquor) Raven Hall","Restaurant","New Hope","PA","United States","Bob Damron's Address Book",1981,""
"The Rocks","Maymont Park 'BA ' at Riverfront","Cruising Areas","Richmond","VA","United States","Bob Damron's Address Book",1983,""
"The Rose","","Bars/Clubs","Wichita Falls","TX","United States","Bob Damron's Address Book",1983,""
"The Ruins","(Cruisy)(Enter thru 'active' parking lot in rear)","Restaurant,Bars/Clubs,Cruising Areas","Indianapolis","IN","United States","Bob Damron's Address Book",1981,""
"The Ruins","(Enter thru parking lot in rear)(S - Mon.)","Bars/Clubs","Indianapolis","IN","United States","Bob Damron's Address Book",1983,""
"The Saloon","","Bars/Clubs","Fremont","OH","United States","Bob Damron's Address Book",1981,""
"The Saloon","","Bars/Clubs","Fremont","OH","United States","Bob Damron's Address Book",1983,""
"The Stables","(Escorts) (202)387-7300","Escort and Model Services","Washington","DC","United States","Bob Damron's Address Book",1981,""
"The Stables","(Escorts) (202) 387-7300 (Beware)","Escort and Model Services","Washington","DC","United States","Bob Damron's Address Book",1983,""
"The Store","(Cards & gifts)","Business","Portland","OR","United States","Bob Damron's Address Book",1983,""
"The Strap","(AH-WE)","Bars/Clubs","Washington","DC","United States","Bob Damron's Address Book",1983,""
"The Tavern","","Restaurant","Painsville","OH","United States","Bob Damron's Address Book",1981,""
"The Tavern","","Restaurant,Bars/Clubs","Painsville","OH","United States","Bob Damron's Address Book",1983,""
"The Tavern","at Clay Hill Farm (Very M) (Reservations
required) 2 mi. W.","Restaurant","Ogunquit","ME","United States","Bob Damron's Address Book",1983,""
"The Tavern at Clay Hill Farm","(Very M)(Reservations required) 2 mi. W.","Restaurant","Ogunquit","ME","United States","Bob Damron's Address Book",1981,""
"The Village","(Disco) (Some L)(Cruisy)","Cruising Areas,Bars/Clubs","Anchorage","AK","United States","Bob Damron's Address Book",1981,""
"The Village","(Disco) (Some L)","Bars/Clubs","Anchorage","AK","United States","Bob Damron's Address Book",1983,""
"The Wall","block around High St.","Cruising Areas","Columbus","OH","United States","Bob Damron's Address Book",1981,""
"The Wall","block around High St. Maynard Ave, East Ave. & Patterson","Cruising Areas","Columbus","OH","United States","Bob Damron's Address Book",1983,""
"The Works","(Publication)","Publication","Indianapolis","IN","United States","Bob Damron's Address Book",1983,""
"Theatre XX","","Theatre","Wichita Falls","TX","United States","Bob Damron's Address Book",1981,""
"Theatre XX","","Theatre","Wichita Falls","TX","United States","Bob Damron's Address Book",1983,""
"Thirsty's Tavern","","Bars/Clubs","Seattle","WA","United States","Bob Damron's Address Book",1981,""
"This Is It","(Something for everyone)(WE*)","Restaurant,Bars/Clubs","Reading","PA","United States","Bob Damron's Address Book",1981,""
"This Is It","(WE ★ )(Open Sun.)","Restaurant,Bars/Clubs","Reading","PA","United States","Bob Damron's Address Book",1983,""
"This Is it","(Cruisy cocktail hour)","Bars/Clubs,Cruising Areas","Milwaukee","WI","United States","Bob Damron's Address Book",1981,""
"This Is it","(Cruisy cocktail hour)","Bars/Clubs,Cruising Areas","Milwaukee","WI","United States","Bob Damron's Address Book",1983,""
"Thor Book Store","","Book Store","Columbus","GA","United States","Bob Damron's Address Book",1981,""
"Thor Book Store","","Book Store","Columbus","GA","United States","Bob Damron's Address Book",1983,""
"Thorp Park","Sunset & WE","Cruising Areas","Flagstaff","AZ","United States","Bob Damron's Address Book",1983,""
"Three Knights Inn","Big Rapids Motel","Hotel","Big Rapids","MI","United States","Bob Damron's Address Book",1981,""
"Three Knights Inn","Big Rapids Motel","Bars/Clubs","Big Rapids","MI","United States","Bob Damron's Address Book",1983,""
"Three Sisters","(Disco)","Bars/Clubs","Denver","CO","United States","Bob Damron's Address Book",1981,""
"Three Sisters","(Disco)(Known as the 'six tits')","Bars/Clubs","Denver","CO","United States","Bob Damron's Address Book",1983,""
"Three-O-Seven Lounge","","Bars/Clubs","Phoenix","AZ","United States","Bob Damron's Address Book",1981,""
"Throckmorton Mining Co.","(Cruisy)","Bars/Clubs,Cruising Areas","Dallas","TX","United States","Bob Damron's Address Book",1981,""
"Throckmorton Mining Co.","(Cruisy)(Macho)","Bars/Clubs,Cruising Areas","Dallas","TX","United States","Bob Damron's Address Book",1983,""
"Thumper's Tavern","","Bars/Clubs","Hoquiam","WA","United States","Bob Damron's Address Book",1983,""
"Tickle Your Fancy","(Novelties, erotica, etc.)","Erotic Shop","Philadelphia","PA","United States","Bob Damron's Address Book",1983,""
"Tiger Paw News","","Book Store","Youngstown","OH","United States","Bob Damron's Address Book",1981,""
"Tiger Paw News","","Book Store","Youngstown","OH","United States","Bob Damron's Address Book",1983,""
"Tigers","(Some SM, W)(E Sun. - 'MidnightMadness')","Bars/Clubs","New Orleans","LA","United States","Bob Damron's Address Book",1981,""
"Tim's Playroom","(W & levi)(Some SM)(Sling room) at Lewis","Bars/Clubs","Tulsa","OK","United States","Bob Damron's Address Book",1981,""
"Tim's Playroom","(W & Levi)(Some SM)(go go boys) at Lewis","Bars/Clubs","Tulsa","OK","United States","Bob Damron's Address Book",1983,""
"Timbers","(Hustlers)","Bars/Clubs","Phoenix","AZ","United States","Bob Damron's Address Book",1983,""
"Time to Read Bookstore","","Book Store","Kansas City","MO","United States","Bob Damron's Address Book",1981,""
"Time to Read Bookstore","","Book Store","Kansas City","MO","United States","Bob Damron's Address Book",1983,""
"Timrod Park","","Cruising Areas","Florence","SC","United States","Bob Damron's Address Book",1983,""
"Tinker's","","Restaurant","Rochester","MN","United States","Bob Damron's Address Book",1983,""
"Titan Room Books","","Book Store","Philadelphia","PA","United States","Bob Damron's Address Book",1983,""
"Titticut Follies Guest House","","Hotel","Martha's Vineyard","MA","United States","Bob Damron's Address Book",1981,"City in billing address differs from listed city in pdf (Pg. 236)"
"Titticut Follies Guest House","","Hotel","Martha's Vineyard","MA","United States","Bob Damron's Address Book",1983,""
"Tivoli's","(Very M, YC) (Disco)","Bars/Clubs","Tuscaloosa","AL","United States","Bob Damron's Address Book",1983,""
"Todd's Other Side","(Disco)","Bars/Clubs","Detroit","MI","United States","Bob Damron's Address Book",1981,""
"Todd's Other Side","(Disco)","Bars/Clubs","Detroit","MI","United States","Bob Damron's Address Book",1983,""
"Todd's Sway Lounge","","Bars/Clubs","Detroit","MI","United States","Bob Damron's Address Book",1983,"Address found here: https://detroitpunkarchive.com/venues/todds/"
"Todd’s Sway Lounge","","Bars/Clubs","Detroit","MI","United States","Bob Damron's Address Book",1981,""
"Together","(Disco)(Bar downstairs)(Best Mondays)","Bars/Clubs","Boston","MA","United States","Bob Damron's Address Book",1981,""
"Tom Cat","(May be opening soon - inquire locally)","Bars/Clubs","State College","PA","United States","Bob Damron's Address Book",1981,""
"Tom Cat Book Store","(Downstairs)(Cruisy)(Open 24 hours)","Book Store,Cruising Areas","Philadelphia","PA","United States","Bob Damron's Address Book",1981,""
"Tom Cat Book Store","(Downstairs)(Cruisy)(Open 24 hours)","Book Store,Cruising Areas","Philadelphia","PA","United States","Bob Damron's Address Book",1983,""
"Tom Kat Theatre","","Theatre","Portland","OR","United States","Bob Damron's Address Book",1981,""
"Tommy & Clydes","(wed. strip nites)","Bars/Clubs","Phoenix","AZ","United States","Bob Damron's Address Book",1983,""
"Tony's","('Drags')(WE*)","Bars/Clubs","Oklahoma City","OK","United States","Bob Damron's Address Book",1981,""
"Tony's","('Drags')(WE-only*)","Bars/Clubs","Oklahoma City","OK","United States","Bob Damron's Address Book",1983,""
"Tony's Cafe","","Restaurant","Lebanon","NH","United States","Bob Damron's Address Book",1981,""
"Toole Box","(Cruisy maze & 'wild back room' & disco too!) (Enter thru lobby of Fun Tyme Hotel)","Bars/Clubs,Cruising Areas,Hotel","Tuscon","AZ","United States","Bob Damron's Address Book",1981,""
"Top Hat","(Best bet)","Bars/Clubs","Missoula","MT","United States","Bob Damron's Address Book",1981,""
"Top Hat","","Bars/Clubs","Missoula","MT","United States","Bob Damron's Address Book",1983,""
"Top of the Rail","(Disco)(Above Brass Rail)","Bars/Clubs","Atlantic City","NJ","United States","Bob Damron's Address Book",1981,""
"Tortilla Flats","(Mexican R)","Restaurant","New Orleans","LA","United States","Bob Damron's Address Book",1981,""
"Tortilla Flats","(Mexican R) at Decatur","Restaurant","New Orleans","LA","United States","Bob Damron's Address Book",1983,""
"Touche Lounge","('Miss T's')(Best at cocktail hour) Royal Orleans Hotel","Bars/Clubs,Hotel","New Orleans","LA","United States","Bob Damron's Address Book",1981,""
"Tower Grove Park","(AYOR - many arrests)","Cruising Areas","St. Louis","MO","United States","Bob Damron's Address Book",1983,""
"Tower Grove Park (AYOR - many arrests)","(AYOR - many arrests)","Cruising Areas","St. Louis","MO","United States","Bob Damron's Address Book",1981,""
"Tower Mall","T-Rooms","Cruising Areas","Norfolk","VA","United States","Bob Damron's Address Book",1983,""
"Tower News Stand","(Books)","Book Store","Lowell","MA","United States","Bob Damron's Address Book",1981,""
"Tower News Stand","(Books)","Book Store","Lowell","MA","United States","Bob Damron's Address Book",1983,""
"Town Baths","(WE*)(Scruffy)","Bathhouses","Great Falls","MT","United States","Bob Damron's Address Book",1981,""
"Town Beach","E. & W. ends - late at night","Cruising Areas","Provincetown","MA","United States","Bob Damron's Address Book",1981,""
"Town Beach","E. & W . ends - late at night","Cruising Areas","Provincetown","MA","United States","Bob Damron's Address Book",1983,""
"Town Crier Books","","Book Store","Topeka","KS","United States","Bob Damron's Address Book",1983,""
"Town Hall Square","(late nights*)","Cruising Areas","Provincetown","MA","United States","Bob Damron's Address Book",1983,""
"Town House","(Bar with (OC) - 'sing along' is in back through called T h e G allery')","Restaurant,Bars/Clubs","Provincetown","MA","United States","Bob Damron's Address Book",1981,""
"Town House","(Many L)(Disco)","Bars/Clubs","St. Paul","MN","United States","Bob Damron's Address Book",1981,""
"Town House","(Disco)(Looks promising)","Bars/Clubs","Memphis","TN","United States","Bob Damron's Address Book",1981,""
"Town House","(Many L)(Disco)(Mens nite Wed. & Sun.)","Bars/Clubs","St. Paul","MN","United States","Bob Damron's Address Book",1983,""
"Town House","(Bar with (OC) - 'sing along' is in back through (M )(R) called T he Gallery') & (Disco)(Downstairs)","Restaurant,Bars/Clubs","Provincetown","MA","United States","Bob Damron's Address Book",1983,""
"Town House Motel Bar","","Bars/Clubs","Fargo","ND","United States","Bob Damron's Address Book",1981,""
"Town Pump Bar","","Restaurant","St. Paul","MN","United States","Bob Damron's Address Book",1983,""
"Town Square","","Cruising Areas","St. Paul","MN","United States","Bob Damron's Address Book",1983,""
"Town Tavern","(Disco)(Some L)","Bars/Clubs","York","PA","United States","Bob Damron's Address Book",1981,""
"Town Tavern","(Disco)(Some L, M , RT)","Bars/Clubs","York","PA","United States","Bob Damron's Address Book",1983,""
"Town Tavern","at Lemon","Bars/Clubs","Lancaster","PA","United States","Bob Damron's Address Book",1983,""
"Towne Cinema","","Cruising Areas","Columbus","OH","United States","Bob Damron's Address Book",1981,""
"Towne Cinema","","Cruising Areas","Columbus","OH","United States","Bob Damron's Address Book",1983,""
"Towne Theatre","('Wild balcony & T-Room)","Cruising Areas,Theatre","St. Louis","MO","United States","Bob Damron's Address Book",1981,""
"Towne Theatre","(Wild balcony & T-Room )","Cruising Areas,Theatre","St. Louis","MO","United States","Bob Damron's Address Book",1983,""
"Townhouse Beer Lounge","","Bars/Clubs","Hattiesburg","MS","United States","Bob Damron's Address Book",1983,""
"Towson Books","","Book Store","Towson","MD","United States","Bob Damron's Address Book",1981,""
"Towson Books","","Book Store","Towson","MD","United States","Bob Damron's Address Book",1983,""
"Toyon","(Disco)(Some L)","Bars/Clubs","Bellingham","WA","United States","Bob Damron's Address Book",1983,""
"Tracy's","(Disco)","Bars/Clubs","Tulsa","OK","United States","Bob Damron's Address Book",1983,""
"Trade Winds","","Hotel","Provincetown","MA","United States","Bob Damron's Address Book",1981,""
"Trade Winds","","Hotel","Provincetown","MA","United States","Bob Damron's Address Book",1983,""
"Trader & Trapper","","Restaurant","Moorhead","MN","United States","Bob Damron's Address Book",1983,""
"Tradewinds","(Some B,OC, RT, drags)","Bars/Clubs","Roanoke","VA","United States","Bob Damron's Address Book",1983,""
"Tradewinds II","(Cruisy)(Some W, SM, YC)(Open Sundays)(Now has 'Fort Dicks' - adj. W - Disco - D)","Bars/Clubs,Cruising Areas","Columbus","OH","United States","Bob Damron's Address Book",1981,""
"Tradewinds II","(Some W, SM, YC)(Open Sundays)(Cruisy)(Now has 'Fort Dicks' - adj. W - Disco - D)","Bars/Clubs,Cruising Areas","Columbus","OH","United States","Bob Damron's Address Book",1983,""
"Trading Post","(SM-W-mens bar at Cabaret)","Bars/Clubs","Kansas City","MO","United States","Bob Damron's Address Book",1983,""
"Trading Post Spa","(Baths)","Bathhouses","Albuquerque","NM","United States","Bob Damron's Address Book",1981,""
"Trading Post Spa","(TPs)(WE*)(Baths)","Bathhouses","Albuquerque","NM","United States","Bob Damron's Address Book",1983,""
"Trail ways Bus Depot","","Cruising Areas","Alexandria","LA","United States","Bob Damron's Address Book",1983,""
"Trailw ays Bus Depot","","Cruising Areas","Alexandria","LA","United States","Bob Damron's Address Book",1981,""
"Trailways Bus Depot","","Cruising Areas","Charlotte","NC","United States","Bob Damron's Address Book",1981,""
"Trailways Bus Depot","","Cruising Areas","Columbus","GA","United States","Bob Damron's Address Book",1981,""
"Trailways Bus Depot","(Parking lot) (Opp. Club Gemini)","Cruising Areas","Greenville","SC","United States","Bob Damron's Address Book",1981,""
"Trailways Bus Depot","","Cruising Areas","Gulfport","MS","United States","Bob Damron's Address Book",1981,""
"Trailways Bus Depot","","Cruising Areas","Cheyenne","WY","United States","Bob Damron's Address Book",1981,""
"Trailways Bus Depot","","Cruising Areas","Johnson City","TN","United States","Bob Damron's Address Book",1981,""
"Trailways Bus Depot","","Cruising Areas","Fayetteville","NC","United States","Bob Damron's Address Book",1981,""
"Trailways Bus Depot","","Cruising Areas","Meridian","MS","United States","Bob Damron's Address Book",1981,""
"Trailways Bus Depot","","Cruising Areas","Johnson City","TN","United States","Bob Damron's Address Book",1983,""
"Trailways Bus Depot","","Cruising Areas","Cheyenne","WY","United States","Bob Damron's Address Book",1983,""
"Trailways Bus Depot","","Cruising Areas","Charlotte","NC","United States","Bob Damron's Address Book",1983,""
"Trailways Bus Depot","","Cruising Areas","Fayetteville","NC","United States","Bob Damron's Address Book",1983,""
"Trailways Bus Depot","","Cruising Areas","Huntsville","AL","United States","Bob Damron's Address Book",1983,""
"Trailways Bus Depot","","Cruising Areas","Columbus","GA","United States","Bob Damron's Address Book",1983,""
"Trailways Bus Depot","","Cruising Areas","Gulfport","MS","United States","Bob Damron's Address Book",1983,""
"Trailways Bus Depot","","Cruising Areas","Meridian","MS","United States","Bob Damron's Address Book",1983,""
"Trailways Bus Depot","(Parking lot) (Opp. Club Gemini)","Cruising Areas","Greenville","SC","United States","Bob Damron's Address Book",1983,""
"Trailways Bus Depot & vicinity","('Hustlers')","Cruising Areas","Wichita","KS","United States","Bob Damron's Address Book",1981,""
"Trailways Bus Depot & vicinity","('Hustlers')","Cruising Areas","Wichita","KS","United States","Bob Damron's Address Book",1983,""
"Trammpp's","(Disco)","Bars/Clubs","Lansing","MI","United States","Bob Damron's Address Book",1981,""
"Trammpp's","(Disco)","Bars/Clubs","Lansing","MI","United States","Bob Damron's Address Book",1983,""
"Trans American Travel Service","","Travel Service","Troy","MI","United States","Bob Damron's Address Book",1981,""
"Trans American Travel Service","","Travel Service","Troy","MI","United States","Bob Damron's Address Book",1983,""
"Transformer Club","","Bars/Clubs","Parkersburg","WV","United States","Bob Damron's Address Book",1983,""
"Trapp","(Some W, L)(Open days)(Home of the Knights of Malta)","Bars/Clubs","Reno","NV","United States","Bob Damron's Address Book",1981,""
"Trapp","(Some W, L)(Open days)","Bars/Clubs","Reno","NV","United States","Bob Damron's Address Book",1983,""
"Travel Consultant","","Travel Service","Southfield","MI","United States","Bob Damron's Address Book",1983,""
"Travel Studio","","Travel Service","Phoenix","AZ","United States","Bob Damron's Address Book",1983,""
"Travel Tech","(Travel Agency)","Travel Service","Houston","TX","United States","Bob Damron's Address Book",1983,""
"Travelers Club","Tilden II (Disco)(Looks promising) (E. Liberty)","Bars/Clubs,Restaurant","Pittsburgh","PA","United States","Bob Damron's Address Book",1983,""
"TraveLodge","","Restaurant","Alexandria","LA","United States","Bob Damron's Address Book",1983,""
"Travelodge","Downstairs T-Room","Cruising Areas","Helena","MT","United States","Bob Damron's Address Book",1981,""
"Travelodge","T-Room (Downstairs)","Cruising Areas","Helena","MT","United States","Bob Damron's Address Book",1983,""
"Travis Park","","Cruising Areas","San Antonio","TX","United States","Bob Damron's Address Book",1981,""
"Travis Park","","Cruising Areas","San Antonio","TX","United States","Bob Damron's Address Book",1983,""
"Travis's","(Good days)(S-WE)","Bars/Clubs","New Orleans","LA","United States","Bob Damron's Address Book",1981,""
"Travis's","","Bars/Clubs","New Orleans","LA","United States","Bob Damron's Address Book",1983,""
"Trax","(Some levi, W, SM) (D.J. but no D)","Bars/Clubs","Phoenix","AZ","United States","Bob Damron's Address Book",1983,""
"Traxx","(Disco)(Some L, M)","Bars/Clubs","Cleveland","OH","United States","Bob Damron's Address Book",1981,""
"Traxx","(Disco)(Some L, M )","Bars/Clubs","Cleveland","OH","United States","Bob Damron's Address Book",1983,""
"Treasure Chest","(Books)","Book Store","Portland","ME","United States","Bob Damron's Address Book",1981,""
"Treasure Chest II Bookstore","","Book Store","Waterville","ME","United States","Bob Damron's Address Book",1983,""
"Tree Top","","Restaurant","Moorhead","MN","United States","Bob Damron's Address Book",1981,""
"Tree Tops","(Some L)","Bars/Clubs","Asheville","NC","United States","Bob Damron's Address Book",1981,""
"Trends","(Disco)(Also adj. Garage Disco)","Bars/Clubs","Columbus","OH","United States","Bob Damron's Address Book",1983,""
"Tri-City Mall","","Cruising Areas","Mesa","AZ","United States","Bob Damron's Address Book",1981,""
"Tri-City Mall","","Cruising Areas","Mesa","AZ","United States","Bob Damron's Address Book",1983,""
"Tri-State News","(Books)","Book Store","Durham","NC","United States","Bob Damron's Address Book",1981,""
"Triangle","(Cruisy john)(D on's Alley - 'wild' downstairs room)(AH, Fri & Sat)","Bars/Clubs,Cruising Areas","Denver","CO","United States","Bob Damron's Address Book",1981,""
"Triangle","(Cruisy john)(Don's Alley - 'wild' downstairs room) (AH, Fri & Sat)","Bars/Clubs,Cruising Areas","Denver","CO","United States","Bob Damron's Address Book",1983,""
"Triangle News","(Cruisy back room)","Cruising Areas","Pittsburgh","PA","United States","Bob Damron's Address Book",1983,""
"Triangle Tavern","(Cruisy - Looks promising)","Bars/Clubs,Cruising Areas","Passaic","NJ","United States","Bob Damron's Address Book",1983,""
"Trilogy Book Store","","Book Store","Denver","CO","United States","Bob Damron's Address Book",1981,""
"Trilogy Book Store","","Book Store","Denver","CO","United States","Bob Damron's Address Book",1983,""
"Trix's All Star","","Bars/Clubs","Green Bay","WI","United States","Bob Damron's Address Book",1983,""
"Trixie's","(River City Ent.)(Book store & 'wild back room')","Book Store","Louisville","KY","United States","Bob Damron's Address Book",1981,""
"Trolley","(Looks promising)","Restaurant","Norfolk","VA","United States","Bob Damron's Address Book",1983,""
"Trolley Stop","","Restaurant","Ogunquit","ME","United States","Bob Damron's Address Book",1981,""
"Tropique","('Teenie hoppers') Next to Bear Hollow","Bars/Clubs","Portland","OR","United States","Bob Damron's Address Book",1981,""
